iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,Random #
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-drdpr,,,0.244225252
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8zm9v,,,0.1514564059
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9mxxc,,,0.5612456501
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3vtfc,,,0.2562411116
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v5gst,,,0.9069006934
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-t6s5l,,,0.612175762
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pjl0w-v2,,,0.9441039711
1a (no official IUPAC name provided),"PBS (pH 7.4, 10 mM, 20% DMSO)",809,843,null,117000 (809 nm),"No official IUPAC name, incomplete data for some fields",chemrxiv_10.26434_SLASH_chemrxiv-2023-n2wqd,,,0.5665032258
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-1jsp4,,,0.9603422706
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-t000n,,,0.7832621848
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8nlsb,,,0.6566047054
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-dclvh-v2,,,0.160211867
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g65b9,,,0.9182346023
Coumarin-OX,PBS 7.4,null,465,0.041,null,83-fold faster chemiexcitation rate than Coumarin-AD,chemrxiv_10.26434_SLASH_chemrxiv-2023-07737,,,0.8968952748
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fhnns,,,0.3395366799
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lsr77,,,0.9645161207
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qp5bb,,,0.1065764369
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-69kfr,,,0.8597589438
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wltcr-v2,,,0.2510121791
N-FLAP1a,DCM,402,null,0.02,3.8×10^4 (402 nm),Dual emission with low ΦFL and short τFL,chemrxiv_10.26434_SLASH_chemrxiv-2024-nbknv,,,0.9487610625
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bx90w,,,0.0385054247
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sp5gg,,,0.8893834928
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9f7qq,,,0.5203877911
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gmpmg-v2,,,0.1575505638
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pj99z,,,0.381266431
"1,1-bis(diphenylphosphino)methane)-2-(2-thienyl-κ-3-C)pyridine-κ,N platinum(II)",20% diiodomethane (DIM):dichloromethane (DCM),460,600,null,null,"Dual emitting complex with fluorescence and phosphorescence, peak emission wavelengths reported",chemrxiv_10.26434_SLASH_chemrxiv-2024-gkjgv,,,0.0862907383
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r1jz0,,,0.3483154597
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-j68gq,,,0.6385521253
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6h3sg,,,0.4675536831
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xz77q,,,0.7862248344
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-scchg,,,0.8807899118
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fgxxm-v2,,,0.4286895301
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-3fh1t-v3,,,0.3564166692
"Oxetanyl-phenoxy-1,2-dioxetane (Diox 14)",Acetone,null,410,null,null,2662-fold faster chemiexcitation rate than Diox 1,chemrxiv_10.26434_SLASH_chemrxiv-2023-07737,,,0.6116105244
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5c8lr,,,0.3124012938
Ju6HI,null,512,610,0.13,"23,000 (512 nm)",null,chemrxiv_10.26434_SLASH_chemrxiv-2022-m2qsj,,,0.6133086954
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jr8cp,,,0.8320408151
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-900l3,,,0.6752268197
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-q3wlz,,,0.4167467116
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4vg2s,,,0.512223457
"1-Ethyl-3-methyl-2-[5-(2,6-dimethyl-4H-pyran-4-ylidene)pent-4-en-2-yl]-7-trifluoromethyl-1,3,2-benzodioxaborole",null,620,630,null,"110,000 (620 nm)",Bis(trifluoromethyl)-carborhodamine dye with ethylamine auxochrome substitution,chemrxiv_10.26434_SLASH_chemrxiv-2024-7p8dl,,,0.1047471708
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6m8s1,,,0.6963305098
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-33j02,,,0.0343181258
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xhj85,,,0.7583001945
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3sg08,,,0.2881168844
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-64h6v,,,0.6754550952
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ld2jz,,,0.9980405278
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-48v11-v2,,,0.4350309835
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5kzm8,,,0.1479872598
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0cprf,,,0.1373129846
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3d5f7,,,0.0328609853
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9s46z,,,0.4581020286
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9qlwd,,,0.0300604899
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lbswf,,,0.3102687229
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-75czv,,,0.7715319023
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8djc9,,,0.9992149174
"1,2-Bis(4-(4,4'-bis(phenyl)but-3-en-1-yl)styryl)benzene (DMTPE)",CDCl3,null,null,null,null,"Inert to photochemical reactions, slight promotion of cyclobutane formation with triplet sensitizer BP",chemrxiv_10.26434_SLASH_chemrxiv-2022-qn64t,,,0.8369516695
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tjwhm,,,0.3357674975
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l5j08,,,0.5650313515
"5,10,15-Tris(p-tolyl)corrolato)rhenium(V) sulfide",dichloromethane,276,null,0,null,Re[TpCH3PC](S) exhibits a Soret maximum at 391 nm.,chemrxiv_10.26434_SLASH_chemrxiv-2024-z0sws,,,0.5089635907
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-rx3hw,,,0.249691359
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1h1z0,,,0.6968083272
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dnqpd,,,0.1341435879
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3xd1k,,,0.9156905799
"5,10,15-Tris(pentafluorophenyl)corrolato)rhenium(V) sulfide",dichloromethane,276,null,0,null,Re[TpCF3PC](S) exhibits a Soret maximum at 391 nm.,chemrxiv_10.26434_SLASH_chemrxiv-2024-z0sws,,,0.5670531595
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-7gsv8,,,0.0332482532
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-glvvh,,,0.1311039522
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nrk8m-v2,,,0.6904474732
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fdgcn,,,0.4606847186
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d506k-v2,,,0.3569366643
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-m6t16,,,0.8672763053
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-chjqg,,,0.3810754064
IBFPO-3j,DCM (dichloromethane),413,643,0.514,null,High Type-I ROS generation efficiency for photodynamic therapy in hypoxic environment,chemrxiv_10.26434_SLASH_chemrxiv-2024-lp619,,,0.3753044119
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-918dp-v4,,,0.347564941
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-77qnb,,,0.7566065721
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sh0nq,,,0.1333813448
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-mk6js,,,0.2419399982
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-trwx9,,,0.6835736304
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8kzsh,,,0.46280452
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5v5s8,,,0.6773680053
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lwfg6,,,0.2565881559
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-m38mp,,,0.4313545737
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-tl4vj,,,0.3439038601
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sbk3g-v2,,,0.2051124745
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nktzq,,,0.020725294
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-7xwl7,,,0.2593722504
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sgwcn,,,0.8603931258
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tc9ms,,,0.2744277183
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-z3dlp-v2,,,0.1194678573
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5sfz2,,,0.2760916217
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fvvlt,,,0.0776519289
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gfwlr,,,0.5318112103
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-1n77x,,,0.1220398089
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4t60s,,,0.9627831113
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v23n6,,,0.3881705776
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v787g-v2,,,0.0468677867
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nrfzl,,,0.9167133288
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-vnn47-v2,,,0.5559161219
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w5dbg-v2,,,0.7467358625
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c071p,,,0.5251900086
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l31n8,,,0.4943769996
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7gk9q,,,0.946585818
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-s6117,,,0.6975776898
"2c (no official IUPAC name provided, using label for demonstration purposes)",DCM,410,609,0.14,22000 (410 nm),null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nnfhh,,,0.2948501245
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bczdm,,,0.9431334131
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gh8fz-v3,,,0.3370980714
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-59xhv,,,0.5952848778
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-80fg1,,,0.83241756
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tzs1z,,,0.9449004601
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l0n7g,,,0.6336871213
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-crdrh,,,0.6483509343
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-2c5j2,,,0.2661058002
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bsbmj,,,0.7148231936
"2,3-Bis(4-phenylthiophen-2-yl)-5,6-dicyano-7-indanone",Tetrahydrofuran (THF),818,null,0.0186,2.43×10^4 (818 nm),Lower molar absorptivity compared to fluorinated counterpart,chemrxiv_10.26434_SLASH_chemrxiv-2023-pn7db,,,0.9016021022
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5b3pf,,,0.9091795613
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-31l4k,,,0.6051403212
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-9vlxl-v2,,,0.6320629751
"N-1,3-dimethyl butyl-N'-phenyl quinone diamine (6QDI)",methanol,420,null,null,null,"Neutral counterpart, not responsible for the red color observed in 6PPD reactions",chemrxiv_10.26434_SLASH_chemrxiv-2023-pjftb,,,0.8156327088
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dlkgl,,,0.6107844424
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hpbl9,,,0.3416515214
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-11sc4,,,0.2765396477
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-501qf,,,0.1571281201
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s6n9r-v2,,,0.7334090946
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jpwvn,,,0.7483337009
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c9nwc,,,0.3200022629
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l11xx-v3,,,0.1607340644
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dx1qv,,,0.0434615214
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-p4rn7,,,0.7224724076
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h6mw9,,,0.0440360652
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zfhsx,,,0.2831704721
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0qlff,,,0.3052813164
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sm4gx,,,0.6845100387
"1-(Difluoroazetidin-1-yl)-3-methyl-2-[5-(2,6-dimethyl-4H-pyran-4-ylidene)pent-4-en-2-yl]-7-trifluoromethyl-1,3,2-benzodioxaborole",null,630,641,null,"91,000 (630 nm)",Bis(trifluoromethyl)-carborhodamine dye with difluoroazetidine auxochrome substitution,chemrxiv_10.26434_SLASH_chemrxiv-2024-7p8dl,,,0.1317374541
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h8h99,,,0.762075017
"4,4-difluoro-4-bora-3a,4a-diaza-s-indacene",null,517,null,null,null,null,pubmed_11547857,,,0.781399969
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-090f6,,,0.6077863253
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g3vzg,,,0.1590556703
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-ph3qr-v2,,,0.8608376428
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r8zg8,,,0.9298069023
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3n8wx-v4,,,0.5732407991
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1jcnw,,,0.2665914111
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-zdmf1-v3,,,0.3248030539
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-13rlh,,,0.9040689901
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-mjsz8,,,0.1934472797
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-6jm2g,,,0.2545790544
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r1wz8,,,0.3855051906
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qqq0k-v2,,,0.9361621812
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3fj7g,,,0.8146659108
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8hv7c,,,0.0049125338
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9sdkm,,,0.1055350245
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wlx21,,,0.629132163
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4h3x8,,,0.3629391361
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qd42r,,,0.9343182305
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-k62t5,,,0.077746189
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cgnhq,,,0.9721208571
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9hmsb,,,0.4577570516
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-p7p42,,,0.4135451387
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-qqvd6,,,0.3831398035
"1-Hydroxydibenzo[j,l]fluoranthene",CH2Cl2,400,537,null,null,Hyperchromic shift under basic conditions,chemrxiv_10.26434_SLASH_chemrxiv-2023-7mzbq,,,0.0851872701
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8fd43,,,0.2696547692
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-kgp7h,,,0.415048542
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2nf51,,,0.2785275779
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mtk6s,,,0.0449099815
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-j0229-v2,,,0.2598713813
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qjjtn-v2,,,0.8702598992
"Imidazo[1,2-a]pyridinium triflate core (4e)",methanol or PBS/DMSO 99:1 v/v,293,412,0.68,5300 (293 nm),Complementary fluorophore properties,pubmed_11497256,,,0.1713268775
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-jh0h7-v2,,,0.9079786609
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1t00j,,,0.246323881
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-khl9g,,,0.2569270984
1a,NH4HCO3 buffer (pH 8.0),309,385,0,2.2 × 10^4 (385 nm),Electrophile with methyl as cargo,chemrxiv_10.26434_SLASH_chemrxiv-2023-83gph,,,0.3162812206
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gb117,,,0.066228003
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v6t5v,,,0.8215647601
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-p693m,,,0.8650647912
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5h5l5,,,0.8058965029
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-b4g1x-v2,,,0.4676807588
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3rb2t,,,0.7575220552
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-x86xp,,,0.6509331893
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1k5kc,,,0.8530134617
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sbh10,,,0.9824025144
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7mdj7,,,0.0948155255
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bg1f9,,,0.2929151035
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-g0j05,,,0.1525000674
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-19ggm-v2,,,0.3006080266
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-gnpvz,,,0.7451244541
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jjx9l,,,0.3302649362
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-cmgsv,,,0.3417963311
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-k4ndr,,,0.7649894524
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3ppd2,,,0.763407687
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sq3xn,,,0.2200232905
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s4hlm,,,0.3439402294
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h00ht,,,0.5361222785
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-v6r5q,,,0.77398853
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-h0w52,,,0.5368778196
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hhj39,,,0.468864555
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5bq6r-v2,,,0.925251333
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-brj46,,,0.7040287277
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xl6w3,,,0.331471957
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9z422,,,0.433883525
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-00vcg-v3,,,0.1659103308
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-svc4t,,,0.6448010802
IR780-Ph(OMe),Ethanol,764,788,0.34,2.46×10^5 (764 nm),Ortho-methoxy substituted aryl modification,chemrxiv_10.26434_SLASH_chemrxiv-2024-z8l9r,,,0.7329762476
DMA-CN-BP,ACN,344,455,null,null,Shows traditional TBCT with incomplete charge separation,chemrxiv_10.26434_SLASH_chemrxiv-2023-b8rbg,,,0.1410628792
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-80b4l-v2,,,0.0925539772
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-lck31-v2,,,0.3720785626
Pyridazine adduct of MBTPA-Tz (MBTPA-Pz),water,null,636,null,null,"Strong emission in aggregates, restricted TICT formation due to limited free volume and hydrophobic environment",chemrxiv_10.26434_SLASH_chemrxiv-2023-0tz14,,,0.8742896696
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3vwf1,,,0.8348420965
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0q3fn,,,0.1302580638
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qrnt9,,,0.6485276709
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sx3sw,,,0.3353539428
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-2h0fw,,,0.9211998924
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7vbk7-v2,,,0.0490603847
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sxjwr,,,0.1679168053
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-cgvdm,,,0.4798004844
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-k0z70,,,0.0290563963
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6q9mp,,,0.5233364892
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-f301n,,,0.0091880774
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-cr0q8,,,0.2291166789
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n31xc,,,0.7296168453
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4kzrn,,,0.6345231705
methylene-bridged [6]cycloparaphenylene ([6]MCPP) dication,CH2Cl2,745,null,0.23,null,remarkably stable in air with a half-life of 26 hours,chemrxiv_10.26434_SLASH_chemrxiv-2024-jh80w,,,0.0472589862
"5-(4-(10-Ethyl-7-formyl-10H-phenothiazin-3-yl)phenyl)-10,15,20-triphenylporphyrin Indium(III) complex",Dichloromethane (DCM),425,660,0.3,null,"Central metal: Indium(III), synthesized from porphyrin 2",pubmed_11575637,,,0.0321914374
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qv422-v2,,,0.100576909
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7wxck,,,0.5037251897
