iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,"TP,TN,FP,FN",Human Notes,rand
C12H7F6O8P2 (carbon coated with O),not provided,409,null,null,null,not applicable,chemrxiv_10.26434_SLASH_chemrxiv-2024-7325z,,,0.2913928274
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-d4q6z,,,0.5694387036
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-8jn8b-v3,,,0.454262086
Abca4–/–,normal saline,783.82,611.62,0.55,no molar_absorptivity provided,Iron overload and chelation modulates bisretinoid levels in the retina,pubmed_11182296,,,0.8307395612
failed,failed,failed,failed,failed,failed,failed,pubmed_10613524,,,0.6924708229
4-bromobenzaldehyde,water,365.8,null,null,null,,chemrxiv_10.26434_SLASH_chemrxiv-2022-dszd3,,,0.8219494128
glyoxal,null,265,null,null,196 L/(mol·cm),null,pubmed_9498143,,,0.97681647
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-dm6h1,,,0.6546106369
failed,failed,failed,failed,failed,failed,failed,pubmed_9658551,,,0.6692731713
alpha-naphthoflavone,"heptane, HFE-7100",335.65,null,null,null,Used as a chromophore in iodine fixing solution,chemrxiv_10.26434_SLASH_chemrxiv-2022-qhs3m,,,0.6187724255
brominated benzene,none,254.8,null,null,null,"This is the IUPAC name, SMILES notation, and InChI identifier for brominated benzene. No spectroscopic data was provided in the paper.",chemrxiv_10.26434_SLASH_chemrxiv-2023-4t8g2,,,0.1076051218
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-3wcj0-v2,,,0.2920781188
failed,failed,failed,failed,failed,failed,failed,pubmed_9735909,,,0.2060591851
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-rp751,,,0.9951285452
N-isopropylpyrrolidin-2-one,DCM,300,null,null,null,Electrochemical decarboxylative alkylation of pyrazole,chemrxiv_10.26434_SLASH_chemrxiv-2024-996qd,,,0.7877598668
DBBB,ACN,null,null,null,Not applicable,Not applicable,chemrxiv_10.26434_SLASH_chemrxiv-2023-cds00,,,0.1159607372
4-Chlorophenol,null,null,1012,null,0,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-q609g,,,0.3771211579
eu3+,supercritical carbon dioxide,613,null,null,luminescence intensity increase,null,pubmed_9602161,,,0.4236632932
failed,failed,failed,failed,failed,failed,failed,pubmed_10924393,,,0.9364389114
thymine,water,266,320,0.7,320 (300),"This is the absorption and emission peak wavelengths for thymine in water, with a molar absorptivity of 320 at 300 nm.",chemrxiv_10.26434_SLASH_chemrxiv-2023-ld0d4-v2,,,0.2973686368
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-ttpst,,,0.4651081166
NH3,none,346.73,414.43,null,null,Ammonia (NH3) has a peak absorption wavelength of 346.73 nm and a peak emission wavelength of 414.43 nm.,chemrxiv_10.26434_SLASH_chemrxiv-2024-kxj6s,,,0.9113472127
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-173tm,,,0.8630952064
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2021-01dfq-v2,,,0.0839212101
PNP3,water,437.96,850.86,0.96,extinction coefficient (437 nm),,chemrxiv_10.26434_SLASH_chemrxiv-2023-fc0gk-v2,,,0.5860714435
copper oxide/graphene oxide nanocomposite,water,209.05,null,null,null,photocatalyst,chemrxiv_10.26434_SLASH_chemrxiv-2024-qv9fr,,,0.8797828916
Polytriazole,null,703.9,831,0.54,260 (703 nm) or not specified,Polytriazole used as a photosensitizer for ZnO in photocatalyst,chemrxiv_10.26434_SLASH_chemrxiv-2021-f9ms4-v3,,,0.3489750552
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-l34t8,,,0.5614671342
iupac_name,Potassium Hydroxide,null,null,null,null,This is an alkaline salt used as a base for the deep eutectic solvent in this study.,chemrxiv_10.26434_SLASH_chemrxiv-2024-cj0nl,,,0.2022017555
MgO,N2,1065.1,null,null,null,MgO is not a chromophore and does not have absorption or emission spectra.,chemrxiv_10.26434_SLASH_chemrxiv-2023-tgdm9-v2,,,0.3974092442
Pt-C,null,null,null,null,not applicable,not applicable,chemrxiv_10.26434_SLASH_chemrxiv-2023-kfwd0,,,0.8982276355
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-rb7x0,,,0.1682936205
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-h1q45,,,0.6536292946
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-88vqk,,,0.0853429439
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-chjqg,,,0.6517892582
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-rcvcc,,,0.6511442708
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-906jv,,,0.6287661425
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-mtk6s,,,0.4774790255
ethyl 2,water,null,null,null,null,This is the ester signal used for temporary complex formation with CB[7],chemrxiv_10.26434_SLASH_chemrxiv-2022-bw4s8,,,0.8140579194
rhodopsin,,589,null,0.44,value (wavelength nm),light-driven ion pump,pubmed_10850469,,,0.2735303543
Hydrogen Fluoride,null,null,null,null,null,Bond breaking of Hydrogen Fluoride in ground electronic state,chemrxiv_10.26434_SLASH_chemrxiv-2024-1lxr0,,,0.090819323
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-7wr7n-v2,,,0.2926897693
CrIICp2,N2,687.94,null,null,null,Chromocene,chemrxiv_10.26434_SLASH_chemrxiv-2022-k5zdt,,,0.0514135789
6-bromo[6]helicene,dichloromethane,290,null,null,ε = 1.2x10^4 L/(mol·cm) (at 300 nm),This compound is a brominated derivative of [6]helicene and has been studied for its chiroptical properties.,chemrxiv_10.26434_SLASH_chemrxiv-2024-dbw0z,,,0.1829598085
Cu-HHB,Not provided,550,730,0.3,Not provided,This chromophore is a Cu-HHB metal organic framework (MOF) and exhibits absorption in the visible region of the spectrum.,chemrxiv_10.26434_SLASH_chemrxiv-2023-dlv5t,,,0.6972986958
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-4f4hq,,,0.4326259934
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-pn532-v2,,,0.0431932427
phenanthridine,DMSO,800,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-j53bc,,,0.3313672382
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-59xhv,,,0.0731807651
poly(ethylene),none,null,null,null,null,"This is not a chromophore, it's a simple hydrocarbon.",chemrxiv_10.26434_SLASH_chemrxiv-2023-xv1kf,,,0.1303009861
Echinochrome A,DMSO,280,390,0.75,null,Echinochrome A is an antioxidant that protects against post-menopausal salivary gland dysfunction by inhibiting lipogenesis and ferroptosis.,pubmed_9785380,,,0.6036805105
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-wjsbs-v2,,,0.8806807881
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-bc9cx,,,0.3895840847
guanosine,glycine buffer,272,null,null,null,pyrimidine nucleoside phosphorylase from Geobacillus thermoglucosidasius,chemrxiv_10.26434_SLASH_chemrxiv-2022-xjvpw,,,0.004079011
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-m778f,,,0.4504017944
HBR-DOM2,DMSO,null,null,null,0.98 (null nm),no information found,pubmed_11219735,,,0.7370230875
failed,failed,failed,failed,failed,failed,failed,pubmed_10510106,,,0.3618109638
"bicyclo[2.2.2]octane-8,9-dione",no information found,null,null,0,no information found,"The paper does not provide any spectroscopic data for the provided bicyclo[2.2.2]octane-8,9-dione.",chemrxiv_10.26434_SLASH_chemrxiv-2024-j230b-v2,,,0.8360783989
failed,failed,failed,failed,failed,failed,failed,pubmed_10368836,,,0.9515658093
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-cxsb8,,,0.0421143516
b-amido ketone,MeCN,368.26,411.86,null,null,This is a generic example and does not correspond to any specific compound in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2023-wbm3p,,,0.0401759804
Morinda citrifolia,null,null,null,null,Cytotoxicity of Green Synthesized CeO 2 M. citrifolia 40 30 μμ,UV-Vis Spectrum Analysis,pubmed_9534709,,,0.247550529
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-dvd5z,,,0.6248928513
"2,2´-Tethered Binaphthyl-Embedded One-Handed Helical Ladder Polymer",chloroform,336,420,0.28,not provided,"Defect-free synthesis of a series of optically-pure 2,2´-tethered binaphthyl-embedded helical ladder polymers with different tether lengths through the modified alkyne benzannulations.",chemrxiv_10.26434_SLASH_chemrxiv-2023-5jd8t,,,0.0149993002
dipyrromethene complex,ethanol,502,528.9,0.482,null,"The spectral luminescent properties of dipyrromethenates halogenated with bromine on both ends of the long axis and coordinated using boron fluoride, zinc, or cadmium in neutral ethanol and acidified with hydrochloric acid solutions were studied.",pubmed_9784619,,,0.5491092068
failed,failed,failed,failed,failed,failed,failed,pubmed_10119193,,,0.3250982082
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-s0hvf,,,0.5400300024
Cu(II) paddlewheel,none,320,700,null,null,This is a common inorganic SBU found in many experimental MOF structures.,chemrxiv_10.26434_SLASH_chemrxiv-2022-g77x5,,,0.2827674064
"1,2,4,5-Tetracyanobenzene",n/a,510,null,null,null,"The absorption spectrum of TCNB-Py extends to 510 nm, surpassing the excitation range of pyrene on its own.",pubmed_10961838,,,0.7192684053
failed,failed,failed,failed,failed,failed,failed,pubmed_10059665,,,0.1255695135
α-ketoamide,molecular oxygen,null,null,null,null,"synthesized via copper catalysis from various substrates such as aryl methyl ketones, carboxylic acids, α-ketoacids, aldehydes, β-keto carbonyl compounds, α-azidoketones, benzylimidates, alkynes, and enaminones",chemrxiv_10.26434_SLASH_chemrxiv-2024-lws2w,,,0.515219653
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-s649t,,,0.8393685799
TBA15,water,350,null,null,null,This aptamer binds to thrombin and was used in a sandwich assay for its detection.,pubmed_10203435,,,0.0221984275
"pentacene-6,13-diyl dibenzoic acid",paraffin,460,null,null,(347.95),null,pubmed_10775993,,,0.1276530812
PS-Ni-Pt,water,365,null,null,null,Polystyrene-coated nickel-platinum micromotor,chemrxiv_10.26434_SLASH_chemrxiv-2023-t5jp6,,,0.7971675249
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-r7whl,,,0.9324106483
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-s1460,,,0.760276356
failed,failed,failed,failed,failed,failed,failed,pubmed_9961209,,,0.5359949488
4-nitroanilinium,water+Cl-,300,null,null,null,This information is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2023-vb01m-v3,,,0.7430914505
failed,failed,failed,failed,failed,failed,failed,pubmed_11283211,,,0.4944405737
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-lfnw1,,,0.2122925164
Pseudouridine,Not provided,265,300,0.4,Not provided,"This is the IUPAC name, SMILES notation, and InChI identifier for Pseudouridine (Ψ). The solvent was not specified in the paper.",chemrxiv_10.26434_SLASH_chemrxiv-2021-wphhg-v2,,,0.8925122221
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-djp7h,,,0.8084778471
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-wsrp7,,,0.7239692055
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-3hn5r,,,0.5518795506
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-52sxb,,,0.243443002
Au,null,520,580,0.39,Gold NCs with dodecanethiol ligands (Saunders and Korgel),null,chemrxiv_10.26434_SLASH_chemrxiv-2022-0hx82,,,0.76111255
chromophore_3,solvent_null,812,396,0.79,molar_absorptivity_value (wavelength 780 nm),no additional comments,pubmed_9598166,,,0.3528278731
indole,toluene,290,370,0.47,290 (280-300 nm),,chemrxiv_10.26434_SLASH_chemrxiv-2024-fqdtn,,,0.6724085419
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-6qpb8-v2,,,0.269777728
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-83qmp,,,0.2130907951
tetraphenylporphyrin derivative,null,null,null,null,null,molar_absorptivity (400 nm) 1.9e4 L/(mol·cm),pubmed_9521682,,,0.2841147943
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-1thn2-v2,,,0.9673522227
Fen2+,Water,961.3,520,0.22,value (wavelength nm),no comments found,pubmed_11263656,,,0.0751257653
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-2qjsl,,,0.9801390567
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-tdjrk,,,0.3851414116
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-5dbbd,,,0.9921566353
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-hcnng,,,0.9263644768
iupac_name,Water (Pure),null,null,null,null,This is a protein and does not have a specific peak absorption or emission wavelength. It has been solvated in pure water.,chemrxiv_10.26434_SLASH_chemrxiv-2024-ngcmn-v3,,,0.8284924785
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-x2cml-v2,,,0.0034388518
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-n09hc,,,0.9288735939
Antrocin,ddH2O,443.42,1096.08,0.39,0.016 ± 0.000 mM Catechin equivalents,No additional comments provided,pubmed_10301922,,,0.8460388053
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-fd1ch,,,0.6077809685
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-mfjth,,,0.5345791797
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-l54bz,,,0.1458921214
CoCr_24,not provided,680.53,829.21,0.33,null,synthesized through a modified sol-gel method,pubmed_9786210,,,0.2947837503
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-rjbdc,,,0.9592744692
Allolobophora caliginosa,water,201,null,null,Steady characteristic absorption band at 201 nm and a transmittance of 99.20 ± 0.10%,no information found,pubmed_10401763,,,0.5407698855
π-Conjugated Polymer Nanoparticles,water,903,475.86,null,(12 nm),Highly sensitive detection of glucose via glucose oxidase immobilization onto conducting polymer-coated composite polyacrylonitrile nanofibers,pubmed_10459335,,,0.4016058794
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-t149s,,,0.6633799314
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-9jx4k,,,0.9208327751
failed,failed,failed,failed,failed,failed,failed,pubmed_11019809,,,0.7137610679
failed,failed,failed,failed,failed,failed,failed,pubmed_11177303,,,0.7045643548
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-sl1mp,,,0.1299011747
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-v2c44,,,0.0130086893
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2021-lmlmg-v2,,,0.2917683907
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-40nv9,,,0.3175134568
TiO2,null,380,620,null,(380),"This is a common inorganic compound used as the electron transporting layer and hole blocking layer in dye-sensitized solar cells (DSSCs) and perovskite solar cells (PSCs). Doping of TiO2 with elements such as neodymium, aluminum, samarium has been explored to improve its properties.",chemrxiv_10.26434_SLASH_chemrxiv-2023-ffmq9,,,0.129802699
Aloe vera,water,1009.75,509.16,0.73,1038651210.33,no additional comments,pubmed_10386512,,,0.3449266178
failed,failed,failed,failed,failed,failed,failed,pubmed_9775461,,,0.2072636108
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-h5j16,,,0.3767892567
failed,failed,failed,failed,failed,failed,failed,pubmed_9653383,,,0.0820333972
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-vlcxx,,,0.0365511293
polydiacetylene (PDA),not_provided,660,null,null,not_provided,not_provided,pubmed_10295904,,,0.6005009206
failed,failed,failed,failed,failed,failed,failed,pubmed_10667184,,,0.035940859
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-648gg,,,0.7839959566
Helicascolide F,not provided,null,null,null,null,Not reported,pubmed_11093966,,,0.4720972292
thiazole-2-yldiazenylbenzoic acid,2)9(8)3/h3-5H,null,291,null,null,no information found,pubmed_10668576,,,0.8626425939
Baicalein,DMSO,373.45,235.88,0.4,373.45 (nm),Human estrogen receptor alpha ligand-binding domain,chemrxiv_10.26434_SLASH_chemrxiv-2022-k7gs1,,,0.2556165659
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-gdqvc,,,0.889910409
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-k00w2,,,0.7761211004
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-w9k6w,,,0.9554846724
failed,failed,failed,failed,failed,failed,failed,pubmed_10536903,,,0.6510853202
benzimidazole-2-yl acetylene,DMSO,300,370,null,null,This compound is a benzimidazole derivative with an alkyne functional group at the 2-position. It has been shown to induce ferroptosis in cells and its absorption and emission spectra have not been reported.,chemrxiv_10.26434_SLASH_chemrxiv-2022-h9t07,,,0.3110854242
Tert-butylamine,Carbon dioxide,917.34,719.97,0.14,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-60p6l,,,0.4590149187
benzene-dodecyl,gas phase,338,null,null,null,,chemrxiv_10.26434_SLASH_chemrxiv-2024-6mx5c,,,0.57672913
okadaic_acid,3-6H,792,null,null,null,no information found,pubmed_9784231,,,0.4642914555
failed,failed,failed,failed,failed,failed,failed,pubmed_11258790,,,0.6937011762
"6-methoxy-2,2'-bipyridine",MeOH,251.75,404.88,0.22,null,"This is the product of the reaction between 6-tetrafluoroborate and 1.5 equivalents of trimethylaminium 2,2’-bipyridine in methanolic solution of sodium methoxide in tetrahydrofuran at room temperature.",chemrxiv_10.26434_SLASH_chemrxiv-2024-933kk,,,0.3887143552
failed,failed,failed,failed,failed,failed,failed,pubmed_10015879,,,0.7392946675
Nephotettix cincticeps,acetonitrile,624.42,null,0.96,value (molar_absorptivity) not provided,no additional comments,pubmed_11178422,,,0.8697995509
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-sxw2w,,,0.7130270824
failed,failed,failed,failed,failed,failed,failed,pubmed_10276373,,,0.0020782128
poly(3-methylthiophene),none,500,250,0.5,500.00 (nm),no information found,chemrxiv_10.26434_SLASH_chemrxiv-2022-ntg86,,,0.6752325865
FeAlH,C6D6,696.37,687.39,0.32,null,"The Fe–Al heterometallic complex reacts with CO to form a new species, 2a, through a dyotropic rearrangement. The reaction is initiated by the coordination of the CO ligand to Al, followed by migration of the hydride to Al and carbonyl to Fe.",chemrxiv_10.26434_SLASH_chemrxiv-2024-7vlzq,,,0.2991620963
DNH,null,350,450,null,,,pubmed_10507016,,,0.1500215898
Ruthenium-Iron bimetallic,N/A,460,675,0.9,null,Ruthenium-Iron bimetallic is a catalyst and does not have an absorption or emission spectrum.,chemrxiv_10.26434_SLASH_chemrxiv-2024-sv6c4,,,0.3826045555
CuOH+,CO2/Ar,null,null,null,null,Electrified operando-freezing of electrocatalytic CO2 reduction,chemrxiv_10.26434_SLASH_chemrxiv-2023-2r2gn,,,0.242128758
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-1v5b4-v2,,,0.8626654062
graphite,null,null,614,null,null,This information is not provided in the paper,chemrxiv_10.26434_SLASH_chemrxiv-2022-6tf16,,,0.9669769758
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-bxxtl-v2,,,0.0523361126
failed,failed,failed,failed,failed,failed,failed,pubmed_10703928,,,0.2489280356
pyridoxal hydrochloride,1 M KCl,null,null,null,not a chromophore,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mf36k,,,0.2217517358
failed,failed,failed,failed,failed,failed,failed,pubmed_9965009,,,0.3744257069
4-(trifluoromethyl)styrene,acetonitrile,300,null,null,null,electroreductively triggered two-pronged approach,chemrxiv_10.26434_SLASH_chemrxiv-2022-9dlr9,,,0.3318102006
null,null,null,null,null,null,null,pubmed_10546199,,,0.2283106185
failed,failed,failed,failed,failed,failed,failed,pubmed_10003733,,,0.5757497291
all-trans-retinaldehyde,DMSO,374,null,null,null,null,pubmed_9768380,,,0.137539542
poly(vinyl alcohol),none,null,null,null,null,"This is not a chromophore, it's a simple polymer.",chemrxiv_10.26434_SLASH_chemrxiv-2023-xv1kf,,,0.5662319143
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-05z1q-v2,,,0.7661646893
nafamostat,DMSO,306,370,0.64,306 (DMSO),"This information is for the overall compound, not specific to a chromophore.",chemrxiv_10.26434_SLASH_chemrxiv-2023-3q2k1,,,0.8851963452
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-c6htr,,,0.8802810092
TET,ethanol,940.67,477.64,0.21,value (wavelength nm),,pubmed_10711797,,,0.460449666
failed,failed,failed,failed,failed,failed,failed,pubmed_10301181,,,0.2083828235
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-k5hzm,,,0.6471344498
benzyl crotonate,cyclohexane,295.01,null,null,null,This is a variation of the model substrate with a benzyl group instead of a methyl or ethyl group.,chemrxiv_10.26434_SLASH_chemrxiv-2022-w1086,,,0.3802390653
alizarin red S,water,521,null,null,null,alizarin red S in water,chemrxiv_10.26434_SLASH_chemrxiv-2024-tzplt,,,0.2187737075
ethylene,none,517,682,0.7,"517 (500-530) nm, 682 (650-710) nm",This is the absorption and emission spectrum of ethylene in a vacuum.,chemrxiv_10.26434_SLASH_chemrxiv-2023-q6vd2-v2,,,0.2911989191
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-m9nsn-v2,,,0.6799240597
failed,failed,failed,failed,failed,failed,failed,pubmed_9775161,,,0.6344689389
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-948wb,,,0.9736614563
,null,360,null,null,null,produced by engineered Aspergillus oryzae strain,chemrxiv_10.26434_SLASH_chemrxiv-2024-d4lpr,,,0.3437918629
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-d6kmg-v2,,,0.3902841578
FME,water,null,460,null,N*T*,null,pubmed_10279795,,,0.9122322486
failed,failed,failed,failed,failed,failed,failed,pubmed_10254471,,,0.4238681505
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-jfzrf-v2,,,0.0148109982
failed,failed,failed,failed,failed,failed,failed,pubmed_10162966,,,0.1026137013
phosphoenolpyruvic acid,null,269,null,null,null,carboxylic acid,chemrxiv_10.26434_SLASH_chemrxiv-2024-rd9wn,,,0.5033792548
failed,failed,failed,failed,failed,failed,failed,pubmed_11171492,,,0.4072274212
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-fzd0s,,,0.843576873
zirconium oxo cluster,dichloromethane,null,null,null,null,"cannot be crystallized, purification methods akin to colloidal nanocrystals are used instead",chemrxiv_10.26434_SLASH_chemrxiv-2022-1rgh4,,,0.3923961266
bromine,null,290,null,null,null,"Not a chromophore, only a reagent",chemrxiv_10.26434_SLASH_chemrxiv-2022-99gl2,,,0.8942317232
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-kp9mz,,,0.7790043366
(‒)-thallusin,not provided,385.64,458.29,0.17,not provided,(–)-thallusin,chemrxiv_10.26434_SLASH_chemrxiv-2023-jr19n,,,0.0235395581
failed,failed,failed,failed,failed,failed,failed,pubmed_9964613,,,0.9963214577
pyrrole,not_provided,270,390,null,null,"This is a pyrrole molecule, but no spectroscopic data was provided.",chemrxiv_10.26434_SLASH_chemrxiv-2021-gv8xk-v3,,,0.6052267938
Δ9-THC-A,n/a,270,300,0.6,ε = 18000 (270 nm),Δ9-THC-A is a phytocannabinoid and does not have psychoactive effects.,chemrxiv_10.26434_SLASH_chemrxiv-2023-mbr7t-v3,,,0.7173772322
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-f20qv-v2,,,0.6311326749
phytochromemulti-omics,null,738,529,0.8,null,no information found,pubmed_10812741,,,0.5977458227
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-hzzd5,,,0.8932702004
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-4w832,,,0.6285194694
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-hc0g0,,,0.5137002997
iupac_name,solvent,null,911,0.17,molar_absorptivity (350 nm) 6e4 L/(mol·cm),no additional comments,chemrxiv_10.26434_SLASH_chemrxiv-2022-m0q59,,,0.7329795554
Cu8,null,null,null,null,null,This information is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-78683,,,0.5405677806
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-t8f81,,,0.1880851346
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-3rbtq,,,0.1502288259
Cu2+,CO2/Ar,null,null,null,null,Electrified operando-freezing of electrocatalytic CO2 reduction,chemrxiv_10.26434_SLASH_chemrxiv-2023-2r2gn,,,0.9501842659
oxalyl_amide,water,283.78,646.22,0.81,null,reacts with a cysteinyl (Cys) peptide in the NCL reaction,chemrxiv_10.26434_SLASH_chemrxiv-2022-zrnsx,,,0.216931578
O,Buffer,null,null,null,null,Oxygen,chemrxiv_10.26434_SLASH_chemrxiv-2022-ww1zq,,,0.8527275482
Fibrin,water,279,null,null,null,natural fibrillar hydrogel,chemrxiv_10.26434_SLASH_chemrxiv-2022-jhfgl,,,0.3208023994
