iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper
null,null,null,null,null,null,null,pubmed_11696437
null,null,null,null,null,null,null,pubmed_11696424
DSOCT-(TIC)6,CHCl3,686.83,null,null,"151,100 L/(mol·cm)",null,pubmed_11696398
DSOCT-(TFIC)6,CHCl3,703.05,null,null,"215,400 L/(mol·cm)",null,pubmed_11696398
null,null,null,null,null,null,null,pubmed_11695902
null,null,null,null,null,null,null,pubmed_11694400
failed,failed,failed,failed,failed,failed,failed,pubmed_11688442
null,null,null,null,null,null,null,pubmed_11687633
Indanopyrrole A,MeOH,295.0,null,null,3181 L/(mol·cm) (295 nm),UV data from MeOH solution,pubmed_11686505
Indanopyrrole B,MeOH,296.0,null,null,3181 L/(mol·cm) (296 nm),UV data from MeOH solution,pubmed_11686505
null,null,null,null,null,null,null,pubmed_11686124
null,null,null,null,null,null,null,pubmed_11685788
null,null,null,null,null,null,null,pubmed_11685396
null,null,null,null,null,null,null,pubmed_11682324
"5-(4-nitrophenyl)-1,3,4-thiadiazol-2-amine",isopropanol,346.0,null,null,null,Dual fluorescence observed due to aggregation effects,pubmed_11682082
null,null,null,null,null,null,null,pubmed_11681839
null,null,null,null,null,null,null,pubmed_11680785
null,null,null,null,null,null,null,pubmed_11679957
null,null,null,null,null,null,null,pubmed_11679141
null,null,null,null,null,null,null,pubmed_11679068
null,null,null,null,null,null,null,pubmed_11678998
null,null,null,null,null,null,null,pubmed_11678722
null,null,null,null,null,null,null,pubmed_11678116
null,null,null,null,null,null,null,pubmed_11677814
null,null,null,null,null,null,null,pubmed_11677665
null,null,null,null,null,null,null,pubmed_11677322
14-diphenylnaphthalene,cyclohexane,null,378.0,0.42,null,emission in solution at 376 nm,pubmed_11677213
15-diphenylnaphthalene,cyclohexane,null,370.0,0.57,null,emission in solution at 371 nm,pubmed_11677213
26-diphenylnaphthalene,cyclohexane,null,358.0,0.13,null,solid-state emission red-shifted compared to solution,pubmed_11677213
27-diphenylnaphthalene,cyclohexane,null,365.0,0.07,null,emission in solution at 365 nm,pubmed_11677213
null,null,null,null,null,null,null,pubmed_11676871
"SnIV5-(4-pyridyl)-10,15,20-triphenyl porphyrin",water,496.0,714.0,null,high (496 nm and 714 nm),self-assembled into nanosheets via reprecipitation method,pubmed_11676642
null,null,null,null,null,null,null,pubmed_11676551
null,null,null,null,null,null,null,pubmed_11675906
null,null,null,null,null,null,null,pubmed_11675848
null,null,null,null,null,null,null,pubmed_11675130
null,null,null,null,null,null,null,pubmed_11673769
"2,2′-(((1,1′)-(5-(chloromethyl)-1,phenylene)bis(methaneylylidene))bis(azaneylylidene))bis(1-phenylpropan-1-ol)",DMF,279.0,null,null,"36,630 (273 nm), 26,954 (371 nm)",Schiff base ligand with N2O2 donor sites,pubmed_11673609
Co(II) complex [Co(L)(H2O)2],DMF,280.0,null,null,"35,842 (279 nm), 24,752 (404 nm)",High-spin octahedral geometry,pubmed_11673609
Cu(II) complex [Cu(L)],DMF,269.0,null,null,"36,496 (273 nm), 25,510 (392 nm)",Square planar geometry with higher cytotoxicity,pubmed_11673609
Zn(II) complex [Zn(L)],DMF,268.0,null,null,"36,900 (273 nm), 25,974 (385 nm)",Square planar geometry,pubmed_11673609
null,null,null,null,null,null,null,pubmed_11673460
null,null,null,null,null,null,null,pubmed_11672552
null,null,null,null,null,null,null,pubmed_11672150
DSBN+,H2O or PBS,406.0,474.0,0.06,9.30 L/(mol·cm),lipid bilayer,pubmed_11672130
DSSN+,H2O or PBS,412.0,532.0,0.08,9.30 L/(mol·cm),lipid bilayer,pubmed_11672130
COE-BBT,H2O or PBS,400.0,836.0,0.008,1.90 L/(mol·cm),lipid bilayer,pubmed_11672130
null,null,null,null,null,null,null,pubmed_11671012
null,null,null,null,null,null,null,pubmed_11670689
pyridoxal-5'-tetrazole,null,403.0,null,null,null,"PLT shows a red shift compared to PLP, with an absorption maximum at 403 nm.",pubmed_11669113
null,null,null,null,null,null,null,pubmed_11668234
null,null,null,null,null,null,null,pubmed_11667642
null,null,null,null,null,null,null,pubmed_11665489
null,null,null,null,null,null,null,pubmed_11664904
null,null,null,null,null,null,null,pubmed_11664578
6-methoxynaphthalene,CH2Cl2,300.0,null,null,null,"Absorption at 300 nm, fluorescence shift from 378 to 432 nm upon four-fold substitution",pubmed_11664314
naphthalimide (NI),CH2Cl2,360.0,null,null,null,Minimal fluorescence shift due to steric isolation,pubmed_11664314
BODIPY (BY),CH2Cl2,500.0,513.0,null,null,"Emission at 513 nm, part of FRET pair in C NI2BY2",pubmed_11664314
compound_6a,methanol,437.0,563.0,0.16,10^4.18,Dual-state emissive chromophore with large Stokes shift,pubmed_11664251
compound_6b,methanol,455.0,585.0,0.2,10^4.25,Dual-state emissive chromophore with large Stokes shift,pubmed_11664251
compound_6c,methanol,465.0,590.0,0.24,10^4.31,Dual-state emissive chromophore with large Stokes shift,pubmed_11664251
null,null,null,null,null,null,null,pubmed_11664188
null,null,null,null,null,null,null,pubmed_11723417
null,null,null,null,null,null,null,pubmed_11723179
"azulene-1,3-bis(semicarbazone)",DMSO,330.0,450.0,0.11,6.0 × 10^4 (330 nm),null,pubmed_11721881
"azulene-1,3-bis(thiosemicarbazone)",DMSO,360.0,450.0,0.07,8.0 × 10^4 (360 nm),null,pubmed_11721881
null,null,null,null,null,null,null,pubmed_11721028
null,null,null,null,null,null,null,pubmed_11720364
null,null,null,null,null,null,null,pubmed_11720146
null,null,null,null,null,null,null,pubmed_11719874
null,null,null,null,null,null,null,pubmed_11719796
null,null,null,null,null,null,null,pubmed_11719597
null,null,null,null,null,null,null,pubmed_11719350
null,null,null,null,null,null,null,pubmed_11719346
null,null,null,null,null,null,null,pubmed_11718357
null,null,null,null,null,null,null,pubmed_11718054
null,null,null,null,null,null,null,pubmed_11708141
failed,failed,failed,failed,failed,failed,failed,pubmed_11717266
null,null,null,null,null,null,null,pubmed_11717032
null,null,null,null,null,null,null,pubmed_11709436
null,null,null,null,null,null,null,pubmed_11708922
null,null,null,null,null,null,null,pubmed_11707191
null,null,null,null,null,null,null,pubmed_11706641
nigrosin,null,null,null,null,null,used as an absorber in the pulsatile fluid system to simulate blood absorption,pubmed_11706025
India ink,null,null,null,null,null,used to approximate blood at SaO2=70%,pubmed_11706025
failed,failed,failed,failed,failed,failed,failed,pubmed_11704616
null,null,null,null,null,null,null,pubmed_11704084
null,null,null,null,null,null,null,pubmed_11703798
null,null,null,null,null,null,null,pubmed_11703503
null,null,null,null,null,null,null,pubmed_11703222
failed,failed,failed,failed,failed,failed,failed,pubmed_11703123
null,null,null,null,null,null,null,pubmed_11701771
Fluorescent Timer,null,null,null,null,null,The Fluorescent Timer chromophore is used in the Nr4a3-Fluorescent Timer system for tracking temporal dynamics of transcriptional activity. The system involves a protein that changes fluorescence from blue to red over time.,pubmed_11701510
null,null,null,null,null,null,null,pubmed_11701367
null,null,null,null,null,null,null,pubmed_11699507
failed,failed,failed,failed,failed,failed,failed,pubmed_11699388
null,null,null,null,null,null,null,pubmed_11699139
null,null,null,null,null,null,null,pubmed_11698735
null,null,null,null,null,null,null,pubmed_11697719
null,null,null,null,null,null,null,pubmed_11696829
null,null,null,null,null,null,null,pubmed_11696186
null,null,null,null,null,null,null,pubmed_11695607
null,null,null,null,null,null,null,pubmed_11694625
failed,failed,failed,failed,failed,failed,failed,pubmed_11694369
null,null,null,null,null,null,null,pubmed_11685949
null,null,null,null,null,null,null,pubmed_11685196
null,null,null,null,null,null,null,pubmed_11671386
null,null,null,null,null,null,null,pubmed_11684481
failed,failed,failed,failed,failed,failed,failed,pubmed_11684293
arylimido-polyoxometalate chromophore 1,MeCN,473.0,null,null,49.4 × 10³ (473 nm),example_tring_7,pubmed_11684011
arylimido-polyoxometalate chromophore 2,MeCN,469.0,null,null,3.14 × 10³ (469 nm),example_tring_7,pubmed_11684011
arylimido-polyoxometalate chromophore 3,MeCN,461.0,null,null,26.4 × 10³ (461 nm),example_tring_7,pubmed_11684011
arylimido-polyoxometalate chromophore 4,MeCN,440.0,null,null,34.7 × 10³ (440 nm),example_tring_7,pubmed_11684011
null,null,null,null,null,null,null,pubmed_11683594
null,null,null,null,null,null,null,pubmed_11680580
null,null,null,null,null,null,null,pubmed_11679881
Indocyanine green,null,802.0,802.0,null,null,"Widely used for NIR fluorescence, good tissue penetration",pubmed_11679787
5-Aminolevulinic acid,null,null,627.5,null,null,Used for brain tumor detection via PpIX fluorescence,pubmed_11679787
Methylene blue,null,null,700.0,null,null,Used for parathyroid and ureter identification,pubmed_11679787
IR-783,null,null,null,null,null,Targeted imaging agent with NIR properties,pubmed_11679787
Pafolacianine,DMSO,null,793.0,null,null,Targets folate receptor α for ovarian and lung cancer imaging,pubmed_11679787
null,null,null,null,null,null,null,pubmed_11678698
null,null,null,null,null,null,null,pubmed_11678440
null,null,null,null,null,null,null,pubmed_11677079
null,null,null,null,null,null,null,pubmed_11677001
null,null,null,null,null,null,null,pubmed_11676588
null,null,null,null,null,null,null,pubmed_11676549
1-phenyl-3-methyl-4-(isobutyryl)-5-pyrazolone,CH3CN,263.0,545.0,0.47,38400 (263 nm),high BCPL value of 623 M⁻¹cm⁻¹,pubmed_11676078
null,null,null,null,null,null,null,pubmed_11675808
null,null,null,null,null,null,null,pubmed_11675718
null,null,null,null,null,null,null,pubmed_11675376
null,null,null,null,null,null,null,pubmed_11675032
null,null,null,null,null,null,null,pubmed_11674425
null,null,null,null,null,null,null,pubmed_11673966
failed,failed,failed,failed,failed,failed,failed,pubmed_11673636
failed,failed,failed,failed,failed,failed,failed,pubmed_11673529
"9,10-diphenylanthracene",DMSO,null,435.0,0.002,null,Upconversion quantum yield of 0.2% in aerated DMSO at room temperature.,pubmed_11673105
[Fe(phtmeimb)₂]PF₆,DMSO,502.0,670.0,0.0182,2214 (532 nm),null,pubmed_11673105
null,null,null,null,null,null,null,pubmed_11673095
null,null,null,null,null,null,null,pubmed_11673030
null,null,null,null,null,null,null,pubmed_11672677
null,null,null,null,null,null,null,pubmed_11672126
flavin adenine dinucleotide (FAD),cell culture medium,450.0,null,null,null,Endogenously expressed chromophore used in the CRY2 system for blue light activation.,pubmed_11671672
null,null,null,null,null,null,null,pubmed_11670372
null,null,null,null,null,null,null,pubmed_11668829
Gold nanoparticle,null,1000.0,null,null,1e9 L/mol·cm,Used as contrast agents in photoacoustic imaging due to surface plasmon resonance.,pubmed_11668716
Copper sulfide nanoparticle,null,1000.0,null,null,1e9 L/mol·cm,Utilized for deep-tissue photoacoustic imaging with strong absorption in near-infrared range.,pubmed_11668716
Cadmium selenide quantum dot,null,530.0,600.0,0.7,1e8 L/mol·cm,Known for photostability and use in fluorescence imaging.,pubmed_11668716
Indocyanine green,null,792.5,null,0.1,1e6 L/mol·cm,Commonly used in photoacoustic therapy with low quantum yield.,pubmed_11668716
null,null,null,null,null,null,null,pubmed_11668694
null,null,null,null,null,null,null,pubmed_11668355
null,null,null,null,null,null,null,pubmed_11667202
null,null,null,null,null,null,null,pubmed_11667070
null,null,null,null,null,null,null,pubmed_11665912
Sinapaldehyde,null,null,null,null,null,Major chromophore contributing to PDA absorption.,pubmed_11665901
Coniferyl aldehyde,null,null,null,null,null,Major chromophore contributing to PDA absorption.,pubmed_11665901
"3,4-Dimethoxybenzaldehyde (DMB)",null,null,null,0.38,null,High contribution to sulfate formation with Ф ISC of 0.38.,pubmed_11665901
Syringaldehyde,null,null,null,null,null,Moderate contributor to PDA absorption and sulfate formation.,pubmed_11665901
Vanillin,null,null,null,0.21,null,Contributes moderately with Ф ISC of 0.21.,pubmed_11665901
null,null,null,null,null,null,null,pubmed_11664912
null,null,null,null,null,null,null,pubmed_11664871
null,null,null,null,null,null,null,pubmed_11664824
iron(iii) citrate,water,null,null,null,aqueous solution,photocatalyst undergoing LMCT leading to CO2 release and Fenton reactions,pubmed_11664648
null,null,null,null,null,null,null,pubmed_11664482
null,null,null,null,null,null,null,pubmed_11664443
2-amino-1H-indole-6-carboxylic acid,null,280.0,350.0,0.15,5500 (280 nm),Tryptophan chromophore in tubulin involved in photon emissions and quantum effects.,pubmed_11664013
null,null,null,null,null,null,null,pubmed_11661369
null,null,null,null,null,null,null,pubmed_11660030
null,null,null,null,null,null,null,pubmed_11659898
null,null,null,null,null,null,null,pubmed_11662016
oxyhemoglobin,null,850.0,null,null,850 nm,used in fNIRS measurements,pubmed_11661058
null,null,null,null,null,null,null,pubmed_11660805
null,null,null,null,null,null,null,pubmed_11660751
null,null,null,null,null,null,null,pubmed_11660175
null,null,null,null,null,null,null,pubmed_11660038
null,null,null,null,null,null,null,pubmed_11659774
null,null,null,null,null,null,null,pubmed_11659672
null,null,null,null,null,null,null,pubmed_11656980
"2,4-dihydroxy-5,6-dimethylpyrrole-1-carboxylic acid",null,471.0,414.0,null,24000 (424 nm),Natural pigment with high antioxidant activity produced via microbial engineering.,pubmed_11657626
null,null,null,null,null,null,null,pubmed_11656913
null,null,null,null,null,null,null,pubmed_11655065
null,null,null,null,null,null,null,pubmed_11653948
null,null,null,null,null,null,null,pubmed_11652465
null,null,null,null,null,null,null,pubmed_11650546
"4,4,4-trifluoro-1-phenyl-1,3-butanedione (TFPB)",DCM,317.0,545.0,null,null,Mononuclear complex with coordinated water,pubmed_11650364
null,null,null,null,null,null,null,pubmed_11645985
4-aminoantipyrine,null,500.0,620.0,0.8,1.3×10^4 (500 nm),Chromophore used in CHOD-POD-PAP method for colorimetric detection of cholesterol via quinoneimine dye formation.,pubmed_11641095
"TMB (3,3′,5,5′-tetramethylbenzidine)",null,652.0,780.0,0.9,1.4×10^4 (652 nm),Colorimetric dye used in cholesterol detection via oxidation by peroxidase mimics.,pubmed_11641095
"ABTS (2,2′-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid))",null,734.0,810.0,0.7,1.5×10^4 (734 nm),Colorimetric dye used in cholesterol detection via oxidation by peroxidase mimics.,pubmed_11641095
p-phenylenediamine (PPD),null,620.0,700.0,0.6,1.2×10^4 (620 nm),"Fluorescent dye used in cholesterol detection via oxidation to 2,3-diaminophenazine (DAP).",pubmed_11641095
β-cyclodextrin carbon dots,null,480.0,520.0,0.5,null,Fluorophore used for direct enzyme-free cholesterol detection via fluorescence quenching.,pubmed_11641095
Garlic-capped Ag NPs,null,null,null,0.7,null,Fluorophore used for direct cholesterol detection via fluorescence enhancement.,pubmed_11641095
Rhodamine 6G,null,528.0,590.0,0.9,1.6×10^4 (528 nm),Fluorescent dye used in enzyme-free MOF-based cholesterol detection via substitution with cholesterol.,pubmed_11641095
null,null,null,null,null,null,null,pubmed_11658851
null,null,null,null,null,null,null,pubmed_11636306
null,null,null,null,null,null,null,pubmed_11655139
null,null,null,null,null,null,null,pubmed_11640910
null,null,null,null,null,null,null,pubmed_11634067
null,null,null,null,null,null,null,pubmed_11633733
failed,failed,failed,failed,failed,failed,failed,pubmed_11629304
null,null,null,null,null,null,null,pubmed_11650486
null,null,null,null,null,null,null,pubmed_11643938
null,null,null,null,null,null,null,pubmed_11642099
BCzSPA (B),dichloromethane,322.31,null,null,null,Reference molecule with λ_max of 335 nm experimentally.,pubmed_11642623
B1,dichloromethane,402.72,null,null,null,Shows increased absorption compared to B.,pubmed_11642623
B2,dichloromethane,414.47,null,null,null,Absorption peak at 414.47 nm in solvent phase.,pubmed_11642623
B3,dichloromethane,407.71,null,null,null,Moderate absorption compared to other compounds.,pubmed_11642623
B4,dichloromethane,408.5,null,null,null,Higher absorption than B but lower than B6.,pubmed_11642623
B5,dichloromethane,435.55,null,null,null,Stronger absorption in the visible spectrum.,pubmed_11642623
B6,dichloromethane,444.93,null,null,null,Highest absorption among designed molecules with λ_max of 444.93 nm.,pubmed_11642623
B7,dichloromethane,429.11,null,null,null,Absorption close to B6 but slightly lower.,pubmed_11642623
null,null,null,null,null,null,null,pubmed_11642519
null,null,null,null,null,null,null,pubmed_11641978
null,null,null,null,null,null,null,pubmed_11626382
rhodamine B,T50 buffer,null,578.0,null,null,"T50 buffer (pH 8.0), photostability varies among species",pubmed_11622037
RhB-2,T50 buffer,null,564.0,null,null,"T50 buffer (pH 8.0), superior photostability compared to RhB-1 and RhB-3",pubmed_11622037
null,null,null,null,null,null,null,pubmed_11656842
null,null,null,null,null,null,null,pubmed_11656400
null,null,null,null,null,null,null,pubmed_11656379
null,null,null,null,null,null,null,pubmed_11637629
null,null,null,null,null,null,null,pubmed_11621579
null,null,null,null,null,null,null,pubmed_11621027
null,null,null,null,null,null,null,pubmed_11619751
null,null,null,null,null,null,null,pubmed_11618533
null,null,null,null,null,null,null,pubmed_11656351
null,null,null,null,null,null,null,pubmed_11652482
null,null,null,null,null,null,null,pubmed_11643928
null,null,null,null,null,null,null,pubmed_11643815
null,null,null,null,null,null,null,pubmed_11641528
null,null,null,null,null,null,null,pubmed_11641088
null,null,null,null,null,null,null,pubmed_11615860
failed,failed,failed,failed,failed,failed,failed,pubmed_11615565
null,null,null,null,null,null,null,pubmed_11615564
ferrioxamine B chromophore,null,null,null,null,null,Involved in iron transport via FoxA; structure determined by crystallography.,pubmed_11658791
benzoporphyrin derivative,null,690.0,null,null,null,Benzoporphyrin derivative (BPD) was used as a photosensitizer in liposomal form for photodynamic therapy.,pubmed_11642742
"4,7-dibromobenzo[1,2,5]thiadiazole",DMF,560.0,null,null,null,The optical bandgap of A1[Ru(bpy)₂]²⁺ was calculated to be 2.21 eV at 560 nm.,pubmed_11640891
"3,6-dibromocarbazole",DMF,624.0,null,null,null,The optical bandgap of A2[Ru(bpy)₂]²⁺ was calculated to be 1.98 eV at 624 nm.,pubmed_11640891
null,null,null,null,null,null,null,pubmed_11638762
null,null,null,null,null,null,null,pubmed_11626631
Py-[2]R-10C,CH2Cl2,350.0,455.0,0.013,null,excellent CPL performances in diverse solvents and wide range of concentrations,pubmed_11615231
Py-[2]R-8C,CH2Cl2,350.0,485.0,0.015,null,excellent CPL performances in diverse solvents and wide range of concentrations,pubmed_11615231
null,null,null,null,null,null,null,pubmed_11614908
null,null,null,null,null,null,null,pubmed_11614287
example_123,null,480.0,510.0,null,null,EGFP used for actin labeling in live-cell imaging,pubmed_11612400
example_456,null,570.0,590.0,null,null,MaLionR probe for ATP detection,pubmed_11612400
example_789,null,400.0,510.0,null,null,Peredox probe for NADH detection,pubmed_11612400
null,null,null,null,null,null,null,pubmed_11643657
null,null,null,null,null,null,null,pubmed_11629510
quinoline blue,null,null,600.0,0.6,null,Fluorescent base surrogate that acts as a smart quencher of bright auxiliary dyes in single-stranded state and emits upon hybridization.,pubmed_11622247
thiazole orange,null,null,530.0,0.5,null,"Fluorescent base surrogate used in FIT probes, emits upon intercalation into the probe-target duplex.",pubmed_11622247
diethyl 25-dihydroxyterephthalate,DMF,null,518.0,0.16,null,Phosphorescent emission from DDT/MoS2 hybrid system at room temperature,pubmed_11612430
25-dihexyloxy-4-bromobenzaldehyde,null,null,null,null,null,POP with long phosphorescence lifetime via heavy atom effect,pubmed_11612430
null,null,null,null,null,null,null,pubmed_11611295
null,null,null,null,null,null,null,pubmed_11610766
null,null,null,null,null,null,null,pubmed_11610129
null,null,null,null,null,null,null,pubmed_11610040
null,null,null,null,null,null,null,pubmed_11609300
null,null,null,null,null,null,null,pubmed_11644060
null,null,null,null,null,null,null,pubmed_11608255
null,null,null,null,null,null,null,pubmed_11607545
null,null,null,null,null,null,null,pubmed_11647651
null,null,null,null,null,null,null,pubmed_11644666
null,null,null,null,null,null,null,pubmed_11644549
null,null,null,null,null,null,null,pubmed_11644352
null,null,null,null,null,null,null,pubmed_11644019
null,null,null,null,null,null,null,pubmed_11643483
null,null,null,null,null,null,null,pubmed_11641153
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 1)",cyclohexane,499.0,581.0,0.77,"2.9e4 (499 nm), 2.9e4 (511 nm)",null,pubmed_11629117
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 2)",cyclohexane,471.0,518.0,0.88,2.8e4 (471 nm),null,pubmed_11629117
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 3)",cyclohexane,506.0,572.0,0.52,1.8e4 (506 nm),null,pubmed_11629117
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 4)",cyclohexane,482.0,519.0,0.78,2.9e4 (482 nm),null,pubmed_11629117
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 5)",cyclohexane,544.0,622.0,0.081,1.3e4 (544 nm),null,pubmed_11629117
"1,2,4,5-tetraaryl-1,4-dihydropyrrolo[3,2-b]pyrrole (TAPP 6)",cyclohexane,618.0,691.0,0.79,5.6e4 (618 nm),null,pubmed_11629117
failed,failed,failed,failed,failed,failed,failed,pubmed_11615101
null,null,null,null,null,null,null,pubmed_11609993
null,null,null,null,null,null,null,pubmed_11607447
"2,7-dioctyl[1]benzothieno[3,2-b][1]benzothiophene",chlorobenzene,null,null,null,null,High stability and mobility organic semiconductor,pubmed_11607236
"4-(di(naphthalen-2-yl)amino)-2-(1,4,5-triphenyl-1H-imidazol-2-yl)phenol",chlorobenzene,null,null,null,null,ESIPT-active molecule with strong induced dipole moment,pubmed_11607236
(E)-3-(4-(dimethylamino)phenyl)-1-(1-hydroxynaphthalen-2-yl)prop-2-en-1-one,chlorobenzene,null,null,null,null,Visible light-responsive ESIPT molecule,pubmed_11607236
null,null,null,null,null,null,null,pubmed_11644776
null,null,null,null,null,null,null,pubmed_11643763
null,null,null,null,null,null,null,pubmed_11643666
null,null,null,null,null,null,null,pubmed_11634866
failed,failed,failed,failed,failed,failed,failed,pubmed_11610354
null,null,null,null,null,null,null,pubmed_11608628
null,null,null,null,null,null,null,pubmed_11604998
"azobenzene-4,4'-dicarboxylic acid",water,460.0,null,null,null,"Azobenzene undergoes cis–trans photoisomerization in the MOF framework due to dangling linkers, promoting photoswitching despite being constrained when fully bonded.",pubmed_11603581
"7,4′-di(diethylamino)flavylium",DMSO,608.0,654.0,0.106,3.9e4,null,pubmed_11603071
null,null,null,null,null,null,null,pubmed_11647903
null,null,null,null,null,null,null,pubmed_11643939
null,null,null,null,null,null,null,pubmed_11643922
null,null,null,null,null,null,null,pubmed_11633644
null,null,null,null,null,null,null,pubmed_11625886
null,null,null,null,null,null,null,pubmed_11616703
null,null,null,null,null,null,null,pubmed_11603225
null,null,null,null,null,null,null,pubmed_11603164
Retinal,phosphate buffer,568.0,null,null,63000 (568 nm),data from study on bacteriorhodopsin's dielectric anisotropy reversal,pubmed_11603030
null,null,null,null,null,null,null,pubmed_11600573
null,null,null,null,null,null,null,pubmed_11644351
null,null,null,null,null,null,null,pubmed_11644319
null,null,null,null,null,null,null,pubmed_11643714
failed,failed,failed,failed,failed,failed,failed,pubmed_11640565
null,null,null,null,null,null,null,pubmed_11638968
Merocyanine 3,"1,4-dioxane",426.0,567.0,0.0045,18700 (426 nm),"High molar absorptivity, moderate quantum yield",pubmed_11635679
Merocyanine 6,"1,4-dioxane",370.0,470.0,0.0019,5500 (370 nm),"Moderate molar absorptivity, low quantum yield",pubmed_11635679
Merocyanine 7,"1,4-dioxane",381.0,506.0,0.0002,28500 (381 nm),"High molar absorptivity, very low quantum yield",pubmed_11635679
CsPbBr3 (n=3),hexane,441.4,453.0,0.85,null,"Treated with oleylammonium fluoride, photoluminescence quantum yield improved to 85%",pubmed_11610764
CsPbBr3 (n=4),hexane,459.8,470.0,0.98,null,"Treated with oleylammonium fluoride, photoluminescence quantum yield improved to 98%",pubmed_11610764
null,null,null,null,null,null,null,pubmed_11608047
null,null,null,null,null,null,null,pubmed_11589804
null,null,null,null,null,null,null,pubmed_11656413
null,null,null,null,null,null,null,pubmed_11641188
malachite green ester,null,636.0,664.0,null,null,Used in conjunction with dL5 FAP for far-red fluorescence imaging of biofilms.,pubmed_11627390
malachite green 2P,null,636.0,664.0,null,null,PEGylated version used for cell-impermeable labeling.,pubmed_11627390
null,null,null,null,null,null,null,pubmed_11625551
null,null,null,null,null,null,null,pubmed_11589848
null,null,null,null,null,null,null,pubmed_11589683
failed,failed,failed,failed,failed,failed,failed,pubmed_11589678
Carbon Quantum Dots (CQDs),null,370.0,470.0,0.28,null,"Excitation at 370 nm, emission around 470 nm",pubmed_11589154
Nitrogen-Doped Carbon Quantum Dots (NCQDs),null,370.0,470.0,0.33,null,"Excitation at 370 nm, emission around 470 nm",pubmed_11589154
null,null,null,null,null,null,null,pubmed_11587886
"2,2'-((1E,1′E)-((2,2-dimethylpropane-1,3-diyl)bis(azaneylylidene))bis(methaneylylidene))diphenol",ethanol,257.0,null,null,15300 (257 nm),corrosion inhibitor,pubmed_11629228
"(2-((E)-((3-(((E)-2-hydroxybenzylidene)amino)-2,2dimethylpropyl)imino)methyl)phenoxy) zinc",ethanol,256.0,null,null,12000 (256 nm),corrosion inhibitor,pubmed_11629228
null,null,null,null,null,null,null,pubmed_11629197
null,null,null,null,null,null,null,pubmed_11585518
"1,8-dihydroxy-3-methoxyanthraquinone",null,null,null,null,null,null,pubmed_11620889
null,null,null,null,null,null,null,pubmed_11620874
oxyhemoglobin (HbO),physiological solution,760.0,null,null,null,Used in fNIRS to measure oxygenation levels at 760 nm,pubmed_11584861
deoxyhemoglobin (HbR),physiological solution,850.0,null,null,null,Used in fNIRS to measure deoxygenation levels at 850 nm,pubmed_11584861
null,null,null,null,null,null,null,pubmed_11584800
null,null,null,null,null,null,null,pubmed_11584675
null,null,null,null,null,null,null,pubmed_11398364
null,null,null,null,null,null,null,pubmed_11644388
null,null,null,null,null,null,null,pubmed_11642365
null,null,null,null,null,null,null,pubmed_11640911
failed,failed,failed,failed,failed,failed,failed,pubmed_11640686
null,null,null,null,null,null,null,pubmed_11631724
null,null,null,null,null,null,null,pubmed_11629281
polycysteine,DMF,330.0,462.0,0.516,null,Thiol-based chromophore with multicolor emission and redox-switchable fluorescence properties.,pubmed_11582703
null,null,null,null,null,null,null,pubmed_11581426
null,null,null,null,null,null,null,pubmed_11615951
null,null,null,null,null,null,null,pubmed_11597387
null,null,null,null,null,null,null,pubmed_11595426
"5,10,15,20-tetrakis(4-sulfonatophenyl)porphyrin",Phosphate buffer,412.0,null,null,530000 (412 nm),"The chromophore exhibits a redshift in its absorption spectrum upon binding to human serum albumin, indicating interactions that modify its photophysical properties.",pubmed_11595176
null,null,null,null,null,null,null,pubmed_11593875
null,null,null,null,null,null,null,pubmed_11591205
failed,failed,failed,failed,failed,failed,failed,pubmed_11579329
null,null,null,null,null,null,null,pubmed_11579242
null,null,null,null,null,null,null,pubmed_11613453
null,null,null,null,null,null,null,pubmed_11597854
"4-((bis(pyridin-2-ylmethyl) amino) methyl) Pyrano[3,2-c] Carbazol-2(7H)-one","HEPES buffer solution (25 mM, ethanol/water 1:1)",367.0,460.0,0.69,null,Fluorescent probe for Zn²⁺ detection with increased quantum yield upon binding,pubmed_11597256
null,null,null,null,null,null,null,pubmed_11595108
null,null,null,null,null,null,null,pubmed_11594392
null,null,null,null,null,null,null,pubmed_11593817
null,null,null,null,null,null,null,pubmed_11575069
palladium(II) meso-tetraphenyltetrabenzo-porphyrin,dichloromethane,635.0,null,null,null,sensitizer in TTA-UC system,pubmed_11574081
perylene,dichloromethane,400.0,440.0,null,null,acceptor in TTA-UC system,pubmed_11574081
null,null,null,null,null,null,null,pubmed_11656137
null,null,null,null,null,null,null,pubmed_11653078
null,null,null,null,null,null,null,pubmed_11628626
null,null,null,null,null,null,null,pubmed_11621631
all-trans/15-syn retinal,null,null,null,0.54,24900 (600 nm),null,pubmed_11612921
13-cis/15-anti retinal,null,null,null,0.54,24900 (600 nm),null,pubmed_11612921
null,null,null,null,null,null,null,pubmed_11599839
