iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,comments,paper,TP/TN/FP/FN,Notes
isoprene,null,null,null,null,null,"Isoprene is a volatile C5 hydrocarbon produced via cyanobacterial photosynthesis. It undergoes photodimerization with dinaphthylmethanone as a photosensitizer to form C10 cycloalkanes, which are hydrogenated into jet fuel equivalents.",chemrxiv_10.26434_SLASH_chemrxiv-2022-wh442-v4,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-20zjq-v2,,
"2-phenyl-1,3-cyclopentadienone","dichloromethane, benzophenone",null,null,null,null (wavelength not specified),Cyclopentadienone-based chromophore used in single-molecule conductance studies with radical injection effects.,pubmed_11529717,,
null,null,null,null,null,null,null,pubmed_10460436,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11350141,,
null,null,null,null,null,null,null,pubmed_9696173,,
null,null,null,null,null,null,null,pubmed_9150715,,
1-naphthalene,null,null,null,null,4.0 ×10⁻⁸ L/(mol·cm) at 270 nm,Naphthalene is a known chromophore with reported UV-Vis absorption properties.,pubmed_9215700,,
null,null,null,null,null,null,null,pubmed_9404518,,
alkannin,"ethanol, acidified ethanol, and various NADES solutions",null,null,null,null (wavelength not provided),Extracts from alkanet roots have applications as natural food coloring agents; alkannins are naphthoquinones with antioxidant effects.,pubmed_11854224,,
catechol,null,237.05,282.81,0.86,null (absorption peak at ~250-400 nm),Pigments synthesized from catechol exhibit black coloration and UV-Vis absorbance between 230-900 nm; FT-IR spectra show peaks indicative of aromatic C-H bends and C=C-C stretching; SEC profiles indicate high molecular mass materials with retention times around 12-14 minutes.,chemrxiv_10.26434_SLASH_chemrxiv.5645674.v1,,
malvidin-3-O-glucoside,Acetonitrile and Methanol,null,null,null,null (wavelength not specified),Anthocyanins are red pigments with various glucosides; their composition varies significantly between skin and juice of different teinturier varieties.,pubmed_9689461,,
inophyllum B,methanol,310.5,640.2,0.45,6.8 × 10^4 L/(mol·cm),Alkaloid with antimicrobial and antiviral effects; used in shrimp farming applications.,pubmed_9605323,,
cy3-et,methanol/water mixtures or specific solutions,null,null,null,"null (wavelengths span visible, near-infrared, and shortwave infrared ranges)","cyanine dyes show tunable photophysical properties across a broad spectral range; used as model systems for photosynthetic energy transfer, imaging, and non-linear optics",chemrxiv_10.26434_SLASH_chemrxiv.12609398.v1,,
null,null,null,null,null,null,null,pubmed_9849336,,
tricore B,null,324,null,null,58970 (312 nm),"The paper describes tricore B as a MAA chromophore with UV absorption at 312 nm and molar extinction coefficient ε = 58,970 L mol⁻¹cm⁻¹.",pubmed_10510106,,
null,null,null,null,null,null,null,pubmed_10724562,,
"4,5-bis(arylethynyl)-1,2,3-triazole",null,350,450,0.5,null,"4,5-bis(arylethynyl)-1,2,3-triazole with high fluorescence quantum yield and adjustable emission properties",pubmed_9147796,,
PB2,toluene,507,530,0.43,null,"PB2 is a bisBODIPY dye with twisted configuration, showing two emission peaks around 530 and 615 nm, with quantum yields ranging from 0.27 to 0.43.",pubmed_10413364,,
null,null,null,null,null,null,null,pubmed_10312525,,
null,null,null,null,null,null,null,arxiv_2208.10187v2,,
null,null,null,null,null,null,null,pubmed_11809228,,
null,null,null,null,null,null,null,pubmed_10865876,,
"2-(4’-N,N-diphenylamino[1,1’-biphenyl]-4-yl)-quinazolin-4(3 H)-one",toluene,410,430,0.89,null,High quantum yield of 89% in toluene solution.,pubmed_9658551,,
null,null,null,null,null,null,null,pubmed_11766051,,
null,null,null,null,null,null,null,pubmed_10295864,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.5382781.v1,,
null,null,null,null,null,null,null,pubmed_11061108,,
superparamagnetic iron oxide nanoparticles,null,null,null,null,null,superparamagnetic iron oxide nanoparticles encapsulating curcumin for pancreatic cancer treatment,pubmed_10536303,,
meta-nitroaniline,null,null,null,null,null,"The paper discusses hyperpolarizability trends of para-nitroaniline (pNA), ortho-nitroaniline (oNA), and meta-nitroaniline (mNA) in various computational and experimental studies, including solvent effects and optimal gap tuning of range-separated hybrid functionals.",chemrxiv_10.26434_SLASH_chemrxiv-2022-7wdbg,,
null,null,null,null,null,null,null,pubmed_9684146,,
null,null,null,null,null,null,null,pubmed_11168303,,
NKX-2586,null,null,null,null,null,null,arxiv_1209.1900v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.14747850.v1,,
null,null,null,null,null,null,null,pubmed_9639001,,
null,null,null,null,null,null,null,arxiv_1802.06616v1,,
null,null,null,null,null,null,null,pubmed_10475732,,
[Co(η⁵-C₅H₅)(PPh₃)(phen)][CF₃SO₃]₂,dichloromethane,467,null,null,2.28×10⁻⁴ L/(mol·cm),Lowest relative IC50 in A2780; high selectivity.,pubmed_10988555,,
GFP(Y66L),Dulbecco’s Modified Eagle Medium,510,550,null,null,Protein construct with GFP(Y66L) tag recognized by NbEGFP-Atto488.,pubmed_10735187,,
Bi(MePDP Ph)Cl,THF,501,610,0.005,3.8×10^3 M⁻¹cm⁻¹ (501 nm),"Emissive with low quantum yield, absorption at 501 nm.",pubmed_11771734,,
pyrene core,null,450,580,null,null,Multi-chromophoric conjugated system with a pyrene core and fluorene/carbazole branches.,pubmed_11339953,,
AB3TPP-Por-C4,THF,424,556,0.13,5.51 (424 nm),AB3TPP-Por-C4 exhibits typical fluorescence properties with moderate quantum yield.,pubmed_9631755,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v0q44,,
null,null,null,null,null,null,null,pubmed_10768957,,
benzene,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qzfqq-v2,,
fusaripyridines A and B,null,280,310,0.25,1.5 ×10⁴ (280 nm),Inhibits Candida albicans with MIC values down to 8.0 µM.,pubmed_10143917,,
coumarin,chloroform,null,null,null,null,Study of coumarin adsorption on TiO2 nanowires and its impact on photovoltaic properties.,arxiv_1407.1331v1,,
Sn-Fla-Sm,CDCl3,null,null,null,null,Fully thioether-substituted flavylium salts with discotic properties.,pubmed_9400860,,
null,null,null,null,null,null,null,pubmed_9508230,,
null,null,null,null,null,null,null,pubmed_11225921,,
null,null,null,null,null,null,null,pubmed_9709353,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-b7vz3,,
"thieno[3,4-d]pyrimidin-4(1H)-thione","phosphate buffered solution (PBS) at pH 7.4, acetonitrile (MeCN)",944.07,null,null,"11,500 ± 300 M⁻¹ cm⁻¹ (367 nm in both solvents)","Thieno[3,4-d]pyrimidin-4(1H)-thione is a nonfluorescent photosensitizer with absorption maxima around 367 nm in both PBS and MeCN. It efficiently populates the triplet state and has high molar absorptivity.",chemrxiv_10.26434_SLASH_chemrxiv.14775096.v1,,
null,null,null,null,null,null,null,pubmed_10251746,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lpfs9,,
9-phenyl acridine,null,804.45,439.02,0.99,null,9-phenyl acridine induces apoptosis in A375 melanoma cells via photo-cleavage of DNA and ROS production.,pubmed_9822522,,
null,null,null,null,null,null,null,pubmed_11263656,,
null,null,null,null,null,null,null,pubmed_10393863,,
null,null,null,null,null,null,null,pubmed_11848997,,
TPE-FA,solid form,480,490,null,0.036 mg/m³,A fluorescence turn-on response through aggregation-induced emission; detection limit of 0.036 mg/m³.,pubmed_10157691,,
null,null,null,null,null,null,null,pubmed_9520538,,
ATP,null,532,null,null,null,ATP detection using bacteriorhodopsin-based photoelectric transducer with AuNPs and DNA strand displacement for sensitive and quantitative analysis.,pubmed_10490725,,
ACR-AgNPs,null,1030.36,243.45,0.81,null (SERS detection),ACR-AgNPs demonstrated high selectivity and sensitivity for Hg(ii) ions,pubmed_11167620,,
null,null,null,null,null,null,null,pubmed_10802266,,
gardenia blue,buffered acidic solution (pH 3-6),594,null,null,null,"Gardenia blue is a natural chromophore used for dyeing wool yarn without mordants, with reported absorption at 594 nm.",pubmed_9723110,,
null,null,null,null,null,null,null,pubmed_9824163,,
null,null,null,null,null,null,null,pubmed_9440324,,
null,null,null,null,null,null,null,pubmed_9503722,,
aminoanthraquinone,null,null,null,null,null,null,pubmed_10096341,,
supercharged YFP,Tris-HCl,514,530,null,null (absorption not explicitly provided),Fluorescent protein biosensors engineered for robust lanthanide detection.,pubmed_11502933,,
benzophenone,null,253,null,null,"22,000 (363 nm)",Benzophenone is a traditional UV-sensitive photoinitiator with good photoinitiation ability under UV light.,pubmed_9860695,,
null,null,null,null,null,null,null,pubmed_10226116,,
null,null,null,null,null,null,null,pubmed_10846575,,
NIR-photoCORM,solvent not specified,967.05,1035.9,0.77,[value (wavelength nm) or just the value if wavelength is not specified],Photochromic CO donor for NIR imaging,pubmed_11181996,,
null,null,null,null,null,null,null,pubmed_11209686,,
null,null,null,null,null,null,null,pubmed_9490748,,
dihydroazulene,Various,350,null,null,null,Dihydroazulene (DHA) is a photoswitchable molecule that undergoes a ten π-electron retro-electrocyclisation to form the higher energy meta-stable vinylheptafulvene (VHF).,pubmed_10846599,,
null,null,null,null,null,null,null,pubmed_10023959,,
perylene bisimide,aqueous with methanol,null,null,null,null,The research highlights the importance of supramolecular structure and solvent environment in determining the photocatalytic performance of PBIs for hydrogen evolution reactions.,chemrxiv_10.26434_SLASH_chemrxiv.12570923.v1,,
cp43-chlorophyll-1,null,null,null,null,null,cp43 role in excitation energy transfer to reaction center,pubmed_11095388,,
null,null,null,null,null,null,null,pubmed_11816538,,
null,null,null,null,null,null,null,pubmed_9916439,,
null,null,null,null,null,null,null,pubmed_10568458,,
4-trimethylsilylethynylaniline,null,null,null,0.2,null,"Aniline derivative used in [2 + 2] CA–RE reactions, known for its reactivity and optical properties.",pubmed_10825803,,
null,null,null,null,null,null,null,pubmed_11492319,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12820238.v1,,
null,null,null,null,null,null,null,pubmed_9147057,,
zinc(II) meso-tetrakis(4-carboxyphenyl)porphyrin,"water, α,α,α-trifluorotoluene",413,530,null,null,Successful formation of porphyrin interfacial nanostructures (Por-INs) at soft interfaces with high photocurrents and reduced concentration quenching.,chemrxiv_10.26434_SLASH_chemrxiv.9120017.v1,,
hexyne,null,null,null,null,null,Hexyne (C6H10) is an alkyne with one triple bond. It exhibits significant NSOR effects.,chemrxiv_10.26434_SLASH_chemrxiv.12366308.v1,,
DHN-2-2′-dimer (DHN 2),null,null,null,null,null,Pre-resonant Raman enhancement for DHN 2-based chromophores when excited at 532 nm.,pubmed_9817083,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12493757.v1,,
"N,N'-bis(4,4'-bistyryl-2,2'-bipyridin-4-yl) ruthenium(II) chloride",CH3CN,288,619,null,69.3 M⁻¹cm⁻¹ at 288 nm,Two-photon-absorbing ruthenium complex for photocatalysis.,pubmed_9051202,,
2-nitrophenol,water,351,279,0.95,value (279 nm),Comments: Protonated form with significant ESIPT and photolysis in water.,pubmed_9866910,,
2-Phenylethylamine,null,null,null,null,null (1.5 ×10^4 L/(mol·cm) at 400 nm),Polycatecholamine coatings synthesized from 2-phenylethylamine for surface modification of medical devices.,pubmed_9631876,,
bicyclic porphyrinoid,null,500,500,0.05,null,"A 3D porphyrinoid with BODIPY arrays and BF2 complexes, non-fluorescent, low quantum yield.",pubmed_9214847,,
null,null,null,null,null,null,null,pubmed_10993603,,
null,null,null,null,null,null,null,pubmed_11467741,,
plblaze-alkyne,null,575,null,null,null,PLBlaze-alkyne is a light-orange fluorescent molecule used for selective bacterial labeling and membrane permeability studies.,pubmed_10592883,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11628932,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-sbg6w,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.7761791.v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-m1wp6,,
Os(bptpy)22+,"dichloromethane (DCM), N,N-dimethylformamide (DMF), dimethyl sulfoxide (DMSO), acetonitrile, methanol",688,null,0.084,2.66×10^4 M⁻¹cm⁻¹ at 688 nm,Os(bptpy)22+ used as a photosensitizer in triplet-triplet energy transfer with BODIPY-Cb prodrug.,pubmed_10703928,,
acid blue-113,null,null,null,null,null (wavelength not specified),Acid blue-113 showed a maximum COD removal efficiency of 81.9% and colour removal of 99% under optimal conditions using stainless-steel electrodes.,pubmed_11865942,,
null,null,null,null,null,null,null,pubmed_10574183,,
null,null,null,null,null,null,null,pubmed_10751730,,
null,null,null,null,null,null,null,pubmed_10649806,,
null,null,null,null,null,null,null,pubmed_10389804,,
failed,failed,failed,failed,failed,failed,failed,pubmed_11014547,,
null,null,null,null,null,null,null,pubmed_10835655,,
null,null,null,null,null,null,null,pubmed_10292198,,
"2-(1-isoquinolinyl)-9,10-anthraquinone",dichloromethane,null,618,null,null,"Two novel ionic red/near-infrared Ir(III) complexes (Ir1 and Ir2) were designed using 2-(1-isoquinolinyl)-9,10-anthraquinone as the main ligand... both complexes showed bright phosphorescence in solution (peak at 618 nm with a shoulder at 670 nm).",pubmed_10342365,,
null,null,null,null,null,null,null,arxiv_2305.17265v2,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.12847913.v1,,
null,null,null,null,null,null,null,pubmed_10286308,,
null,null,null,null,null,null,null,pubmed_10786454,,
null,null,null,null,null,null,null,pubmed_10385384,,
null,null,null,null,null,null,null,pubmed_10466327,,
null,null,null,null,null,null,null,pubmed_10082596,,
null,null,null,null,null,null,null,pubmed_11054383,,
null,null,null,null,null,null,null,pubmed_11326160,,
null,null,null,null,null,null,null,pubmed_10931793,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10052243,,
null,null,null,null,null,null,null,pubmed_9736758,,
null,null,null,null,null,null,null,pubmed_10042835,,
null,null,null,null,null,null,null,pubmed_9959106,,
null,null,null,null,null,null,null,pubmed_10935074,,
null,null,null,null,null,null,null,pubmed_11060662,,
[Ir(C^N)2(N^S)],CHCl3/DMSO-d6 (99:1),null,490,0.26,null,Neutral iridium complex with thiourea-based ligands; exhibits green emission with a peak at 490 nm and shoulder at 514 nm.,chemrxiv_10.26434_SLASH_chemrxiv.8312450.v1,,
null,null,null,null,null,null,null,pubmed_9631161,,
hexanedinitrile,null,null,null,null,Polyamide 6 undergoes hydrolysis leading to molecular weight decrease and increased crystallinity.,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-96k5d,,
trisubstituted alkene 7e,CH2Cl2,null,null,null,null,Synthesized via Wittig reaction from aldehydes.,chemrxiv_10.26434_SLASH_chemrxiv.8267837.v3,,
null,null,null,null,null,null,null,pubmed_9573448,,
Pd(Et₈-porphyrin),null,450,600,0.6,1.2 × 10⁴ L/(mol·cm),Palladium porphyrin complex used in photodynamic therapy and singlet oxygen generation.,pubmed_10054068,,
null,null,null,null,null,null,null,pubmed_10343733,,
"2′,7-dimethoxyluteolin",null,null,null,null,null,null,pubmed_11721769,,
"2,2′-(1-(o-Tolyl)dec-3-en-1-yne-3,4-diyl)bis(4,4,5,5-tetramethyl-1,3,2-dioxaborolane)",THF,null,null,null,null,Unsymmetrical diyne with tolyl substituents.,pubmed_9396666,,
all-trans-retinol,aqueous buffered solution with potassium bromide,320,null,null,8.85 × 10^9 L/(mol·cm),Retinoid cation radical scavenging by zeaxanthin.,pubmed_10779001,,
linoleic acid,null,366,590,null,null,Linoleic acid is another endogenous fluorophore used in AF spectroscopy with peak emission around 590 nm under excitation at 310 or 366 nm. Its levels also increase in I/R models and decrease with OCA treatment.,pubmed_10180479,,
null,null,null,null,null,null,null,pubmed_10858056,,
null,null,null,null,null,null,null,pubmed_10024780,,
null,null,null,null,null,null,null,pubmed_11534619,,
Reactive Yellow C4GL,null,null,null,null,null (wavelength not specified),Microwave-assisted methods efficiently strip Reactive Yellow C4GL with high stripping percentages and minimal fabric damage.,pubmed_11064145,,
arylazo sulfone 1g,null,751.86,751.86,0.0516,null (λ=751 nm),Promising visible-light PAG for acid release and protection reactions.,pubmed_10204067,,
null,null,null,null,null,null,null,pubmed_9736222,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6chtt,,
null,null,null,null,null,null,null,pubmed_11615860,,
fmoc,null,270,320,null,null,Fmoc is a fluorophore used in peptide synthesis; it exhibits fluorescence at 270 nm (excitation) and 320 nm (emission). Its hydrophobicity and aromaticity promote self-assembly of peptides.,pubmed_10199221,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-83gph,,
[bppmCu2I 2] 2,"methanol, acetonitrile",360,638,0.982,null,red-emitting Cu(I)-halide cluster phosphor with near-unity photoluminescence efficiency for high-power wLED applications,pubmed_9318059,,
null,null,null,null,null,null,null,pubmed_11070848,,
"p-hydroxybenzylidene-2,3-dimethylimidazolinone",water,480,510,0.75,1.6e4 (480 nm),"GFP is a widely used genetically-encoded fluorescent tag in biological systems that features a covalently attached chromophore formed by an autocatalytic reaction following folding. The chromophore's fluorescent properties are strongly influenced by its environment. For that reason, it is useful to study its behavior in a variety of environments, including water and other solvents. The system consists of the anionic GFP chromophore with 167 solvating waters for a total of 528 atoms in a periodic orthorhombic cell.",arxiv_2310.03121v2,,
null,null,null,null,null,null,null,pubmed_10706490,,
"4-cyano-2-(5-(4-N,N-diphenylaminophenyl)thiophen-2-yl)quinazoline",toluene,360,400,0.65,null,Moderate quantum yield of 65% in toluene solution.,pubmed_9658551,,
null,null,null,null,null,null,null,pubmed_10154449,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-mg64g,,
null,null,null,null,null,null,null,pubmed_10630242,,
aY-derived cpGFP,Bacterial culture media (TB or DMEM),521,590,0.14,48.7 mM⁻¹cm⁻¹,Optimization of aY-cpGFP expression and engineering for enhanced brightness and redshift.,pubmed_10813706,,
null,null,null,null,null,null,null,pubmed_10616986,,
tcah4,dichloromethane,340.4,null,0,null (wavelength not specified),Thiazole-based hydrazone with 4-chlorobenzylidene substituent.,pubmed_10398866,,
null,null,null,null,null,null,null,pubmed_10228081,,
null,null,null,null,null,null,null,pubmed_9820815,,
null,null,null,null,null,null,null,pubmed_10478580,,
double-squaraine,null,600,null,null,null,"Double squaraine dye (DSQ) exhibits strong solvatochromism and is used for metal ion sensing, particularly Cu²⁺, with a 2:1 stoichiometry in DMF/ACN solvent system.",pubmed_9571602,,
null,null,null,null,null,null,null,pubmed_11011376,,
null,null,null,null,null,null,null,pubmed_9942118,,
null,null,null,null,null,null,null,pubmed_9763561,,
null,null,null,null,null,null,null,pubmed_11371400,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.13491135.v1,,
p-terphenyl,null,null,null,null,1.8 ×10⁻⁷ L/(mol·cm) at 280 nm,p-Terphenyl exhibits strong UV absorption and is commonly used in chromophore studies.,pubmed_9215700,,
null,null,null,null,null,null,null,arxiv_2108.13337v1,,
bis azo dyes derived from benzidine,DMF,null,408,null,null,These are bis azo dyes with varying λ max based on their structure and tautomeric forms. They exhibit pH-dependent absorption due to protonation/deprotonation equilibria.,pubmed_10185538,,
"naphthalene-1,5-diamine-based donor chromophore (ND9)",acetonitrile,362,null,null,0.350 (362 nm),"Naphthalene-1,5-diamine-based donor chromophores (ND1–ND9) synthesized through condensation reaction between amines and substituted aldehydes, used as hole transport materials in perovskite solar cells.",pubmed_11493133,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lkl5t-v4,,
failed,failed,failed,failed,failed,failed,failed,pubmed_10608541,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2025-4s8qr-v2,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-vxfzh,,
null,null,null,null,null,null,null,pubmed_10063778,,
carboxysome,none,null,null,null,none,null,pubmed_11482911,,
OaPAC BLUF domain,H₂O and D₂O,480,550,null,null,BLUF domain with FMN-Gln-Tyr motif used in PCET studies,pubmed_9245699,,
null,null,null,null,null,null,null,pubmed_11876016,,
null,null,null,null,null,null,null,pubmed_11267142,,
Protoporphyrin IX (PPIX),null,600,550,0.7,null (wavelength 600 nm),null,pubmed_10854993,,
figure-eight macrocycle,THF,384,633,1,4900 M⁻¹cm⁻¹ (384 nm),figure-eight macrocycle shows aggregation-induced emission behavior due to restricted motion of phenyl rings.,pubmed_11186326,,
Lutein,absolute ethanol,450,500,null,1e8 (wavelength 450 nm),"Study investigates the stability and interaction of lutein with glycosylated soy protein isolate, focusing on binding mechanisms and thermodynamic parameters.",pubmed_9172447,,
null,null,null,null,null,null,null,pubmed_9774412,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-klzq3-v2,,
platimum(II) complex with CC-TPA ligand,CH₂Cl₂,515,null,null,value (wavelength nm),Ethynyl bridges show similar behavior as thiophene.,pubmed_10951951,,
null,null,null,null,null,null,null,pubmed_9117156,,
null,null,null,null,null,null,null,pubmed_9696974,,
null,null,null,null,null,null,null,pubmed_9823557,,
null,null,null,null,null,null,null,pubmed_9385773,,
null,null,null,null,null,null,null,pubmed_11321468,,
null,null,null,null,null,null,null,pubmed_9114485,,
null,null,null,null,null,null,null,pubmed_11794114,,
null,null,null,null,null,null,null,arxiv_0902.3775v4,,
null,null,null,null,null,null,null,pubmed_9389849,,
tobacco mosaic virus,null,577.08,919.46,0.95,null,TMV nanoparticles loaded with indocyanine green near-infrared imaging agent,pubmed_9863966,,
null,null,null,null,null,null,null,pubmed_9729880,,
BODIPY 12,H2O,460,520,0.65,1.8e4 (460 nm),PEGylated with ethyl groups at positions 2 and 6.,chemrxiv_10.26434_SLASH_chemrxiv-2023-8v4gb,,
failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-w7v23,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2021-86w18,,
null,null,null,null,null,null,null,pubmed_11463626,,
null,null,null,null,null,null,null,pubmed_10633975,,
2-bromo-9-phenyl-9H-carbazole,null,530,null,0.58,null,Brominated carbazole derivative synthesized via Ullmann reaction; exhibits high afterglow efficiency under visible light due to direct S0→T1 absorption.,pubmed_10934877,,
null,null,null,null,null,null,null,arxiv_1410.5066v1,,
null,null,null,null,null,null,null,pubmed_10766202,,
null,null,null,null,null,null,null,pubmed_11708879,,
AzP1,null,450,560,null,null,Hypoxia-activated prodrug releasing SN-38 via azo bond reduction under hypoxic conditions.,pubmed_11054426,,
null,null,null,null,null,null,null,pubmed_9715539,,
Green Fluorescent Protein,null,null,null,null,null,The GFP variants discussed in the paper are supercharged proteins that can assemble into ordered supramolecular structures driven by electrostatic interactions. The variants with different surface charge distributions show varying degrees of assembly depending on solution conditions and salt concentration.,pubmed_9523778,,
"1,3,5-trihydroxybenzene",null,null,null,null,null,"Phloroglucinol protected C2C12 myoblasts against H2O2-induced oxidative stress by activating the Nrf2/HO-1 pathway, demonstrating its antioxidant activity.",pubmed_10003575,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.8008934.v1,,
null,null,null,null,null,null,null,pubmed_10458277,,
poly(ethoxyethyl glycidyl ether)-block-poly(propylene oxide)-block-oligonucleotide,DMF,950,850,0.4,7.5 × 10^3 L/(mol·cm),"This polymer is used in nucleic acid-polymer conjugates, with absorption peaks in the near-infrared region.",pubmed_11719597,,
null,null,null,null,null,null,null,pubmed_10669418,,
null,null,null,null,null,null,null,pubmed_10235999,,
curcumin,water,330,null,null,null,"The interplay between intersystem crossing and hydrogen transfer in photoexcited curcumin was studied, revealing competition between these processes affecting its photophysical properties.",chemrxiv_10.26434_SLASH_chemrxiv-2021-313b1,,
phenylalanine,null,266,null,null,null,"Aromatic amino acid chromophore, absorbs UV light at 266 nm, emits fluorescence.",pubmed_11339992,,
"3,3-(4-methoxyphenyl)-ferrocenyl-4-cyanomethylbenzoic acid",CH2Cl2,null,null,null,12147 (242 nm),null,pubmed_10041148,,
null,null,null,null,null,null,null,pubmed_10949242,,
null,null,null,null,null,null,null,pubmed_10788912,,
Acrylodan,null,null,null,null,Prodan derivatives (Acrylodan) exhibit glucose-dependent color switching via carbonyl twisting in protein environments.,null,pubmed_10439942,,
hexafluoro-2-butene,null,null,null,null,Hexafluoro-2-butene is a highly fluorinated alkene used in photochemical studies due to its strong absorption properties and unique reactivity under UV light.,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v13tv,,
bodipy-5-i,null,null,null,null,null,BODIPY-5-I is an iodine-containing derivative forming 1D tubular structures via halogen bonding.,chemrxiv_10.26434_SLASH_chemrxiv.12501665.v1,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12278780.v1,,
yevonus,unknown,480,510,0.6,unknown,fluorescent protein used with PEST degron for controlled degradation,pubmed_10300134,,
null,null,null,null,null,null,null,pubmed_10630020,,
anthocyanin,methanol,465,520,0.5,null,"Anthocyanins are bioengineered into tomatoes to enhance their anti-cancer properties. The study highlights the potential of anthocyanin-enriched tomatoes in preventing colorectal cancer through modulation of key signaling pathways such as NFκB, Wnt/β-catenin, and others.",pubmed_11430996,,
null,null,null,null,null,null,null,pubmed_11397349,,
"all-trans-3,4-didehydroretinol","DMEM supplemented with 10% FCS and other supplements, Panserin 293A medium with 0.4 μM all-trans-retinol",486.8,602.4,null,null,Cyp27c1 expression leads to red-shift in spectral sensitivity of ChR2 and ReaChR when incubated with vitamin A 2.,pubmed_10730639,,
14DPN,null,null,null,0.49,null,14DPN showed similar emission spectra in both solution and solid state.,pubmed_11677213,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv.12346823.v5,,
(R-2),(THF/water),360,404,0.15,5e3 L/(mol·cm),Plasmonic nanoparticles boost upconversion and chiroptical properties.,pubmed_9816153,,
null,null,null,null,null,null,null,pubmed_10733189,,
null,null,null,null,null,null,null,pubmed_10950823,,
maytansine I,null,445.82,412.96,0.42,null,Maytansine I is a tubulin inhibitor used in early ADC development.,pubmed_11677665,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-2h1nc,,
null,null,null,null,null,null,null,pubmed_10013779,,
FAP-I,aqueous solution,645,662,null,5 × 10^3 L/(mol·cm),A turn-on fluorescence response through inhibition of spirocyclization upon reaction with formaldehyde; detection limit of 5 μM.,pubmed_10157691,,
9-phosphorylacridine,DMSO,null,null,null,null,"Aromatized acridines show weak or no inhibition against BChE, but their ability to self-associate through π-π stacking may compete with binding to Aβ 42.",pubmed_10466253,,
polyethylene terephthalate (PET),null,null,null,null,null,"PET and polyamide are the dominant chromophores identified in the effluents, contributing to microplastic contamination.",pubmed_11478531,,
null,null,null,null,null,null,null,pubmed_11265584,,
Diadinoxanthin,null,null,null,null,null,Xanthophyll involved in light energy dissipation.,pubmed_10626154,,
rubterolones A–F,null,620.7,null,0.4,null (620 nm),Rubterolone polyketides with anti-inflammatory and antimicrobial activities.,pubmed_10951976,,
anthocyanin,null,null,null,null,null,"Chromophores used in intelligent packaging indicators for food spoilage, including anthocyanins and polyaniline (PANI), which exhibit color changes indicating freshness, shelf life, and pH levels.",pubmed_9145781,,
null,null,null,null,null,null,null,pubmed_11044273,,
Poly(acrylonitrile),DMF,null,null,0.5,null,PAN exhibits distinct photophysical properties based on polymerization method; emission ranges from 400 to 630 nm in solid state.,chemrxiv_10.26434_SLASH_chemrxiv-2023-pmc1l,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sxp2x,,
F 30Zn 2U,PMMA in anisole,null,null,null,null,Cavity polariton formation using porphyrin-based chromophores for suppression of energetic disorder.,pubmed_10926155,,
