iupac_name,smiles,inchi,pka_value,pka_type,functional_group,solvent,temperature,ionic_strength,method,uncertainty,additional_info,paper,"TP,TN,FP,FN",Human Notes,,,,,
,<no value>,<no value>,null,null,null,null,null,null,NA,null,NA,pubmed_11101176,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_11128117,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Single-molecule imaging reveals distinct elongation and frameshifting dynamics between frames of expanded RNA repeats in C9ORF72-ALS/FTD,null,null,pubmed_10495369,,,,,,,
,<no value>,<no value>,null,not provided,not provided,<no value>,null,<no value>,Random Forests,null,<no value>,pubmed_10830836,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,<no value>,null,<no information found>,pubmed_11111939,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not contain any experimental pKa values or related information.,pubmed_10854614,,,,,,,
,C14H9N5O3,INCHI=1S/RUDFKYGZTJVXQF-UHFFFAOYSA-L,6.02,base,ammonium ion (NH4+),null,373.15,null,titrimetric method using potentiometric titration with standard base solution of NaOH in 0.1M phosphate buffer at pH=8.9,0.42,"The reported value is a protonated form (NH4+) of the compound Guanine, which may be found in certain biological systems.",pubmed_11179673,,,,,,,
,S(C=1c2cc(O)cc1ccccc1)CC(=O)OC,"InChI=1S/C16H14O3/c1-7-8-9-10-11-12-13-15(16)14/h3-5,8-10,12-14H,1-2H2,(H,17),7-8H2,(H,15),9-10H2,(H,13),11H2",6.3,acid,carboxylic acid,water,298.15,0.1M,titration,0.05,no additional information found,pubmed_10784754,,,,,,,
,<no value>,<no value>,null,acid,<no value>,<no value>,null,null,<no value>,null,<no information found>,pubmed_11275339,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,<no value>,null,<no additional information found>,pubmed_11189827,,,,,,,
,<no value>,<no value>,null,acid,nisin Z,null,null,null,pHluorin2 assay,null,Produced by Lactococcus lactis,pubmed_10910668,,,,,,,
,<no value>,<no value>,null,acid,phosphodiesterase,null,null,null,computational prediction methods,null,"This is an Open Access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/) Abstract:Fragile X syndrome is a neurodevelopmental disorder caused by silencing of the fragile X messenger ribonucleotide gene. Patients display a wide spectrum of symptoms ranging from intellectual and learning disabilities to behavioural challenges including autism spectrum disorder. In addition to this, patients also display a diversity of symptoms due to mosaicism. These factors make fragile X syndrome a difficult syndrome to manage and suggest that a single targeted therapeutic approach cannot address all the symptoms. To this end, we utilized Healx’s data-driven drug discovery platform to identify a treatment strategy to address the wide range of diverse symptoms among patients. Computational methods identified the combination of ibudilast and gaboxadol as a treatment for several pathophysiological targets that could potentially reverse multiple symptoms associated with fragile X syndrome. Ibudilast is an approved broad-spectrum phosphodiesterase inhibitor, selective against both phosphodiesterase 4 and phosphodiesterase 10, and has demonstrated to have several beneficial effects in the brain. Gaboxadol is a GABAAAbstract:Chadwicket alAbstract:###### Graphical AbstractFig:Graphical Abstractfragile X syndromephosphodiesteraseGABAibudilastgaboxadolHealx Ltd##### IntroductionFragile X syndrome (FXS) is the most commonly inherited form of single-gene mutation that causes a range of developmental problems. FXS is typically characterized by mild to severe cognitive dysfunctions with associated mood, social and behavioural challenges including autism spectrum disorder, attention-deficit hyperactivity disorder and aggression.1FXS is caused by a full mutation of the fragile X messenger ribonucleotide (FMR12FMR11FMR134-67Due to the ubiquitous expression of FMRP and its ability to regulate a large portion of the neuronal proteome, it is not surprising that loss of this protein has far-reaching consequences. The broad spectrum of symptoms associated with FXS, ranging from behaviours to cognition, shows the important role FMRP plays in neuronal development, functioning and network formation. FXS patients also display considerable clinical and genetic heterogeneity, which manifests in a wide spectrum of behavioural phenotypes among patients.8FMR1FMR1910It is, therefore, reasonable to suggest that a multitargeted polypharmacological approach would be best suited to address the broad range of symptoms in this heterogeneous patient population. Here, we propose a combination of two drugs, ibudilast and gaboxadol, from different classes for the treatment of FXS. This combination was first identified using Healx’s data-driven drug discovery platform as a candidate that may effectively rescue a complementary set of phenotypes, based upon the combined action against putative targets and other information our platform had gathered about drug and disease. Ibudilast is a broad-spectrum phosphodiesterase (PDE) inhibitor, with a preference for PDE3, PDE4, PDE10 and PDE111112-141516AA171819A2021-2324Here, we demonstrate that monotherapy treatment with ibudilast or gaboxadol was able to rescue distinct phenotypes inFmr1Fmr1Fmr1;iupac_name=null,smiles=null,inchi=null,pka_value=null,pka_type=null,functional_group=phosphodiesterase,solvent=null,temperature=null,ionic_strength=null,method=computational prediction methods,uncertainty=null,additional_info=This is an Open Access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/) Abstract:",pubmed_10789243,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10988955,,,,,,,
,Cydonia oblonga,"InChI=1S/C16H10O7/c1-2-3-4-5-6-7-8-9-10(11)12-13-14(15,16)17-18(19)19/h1-10H,2-11H2,12H3,13H4,14H5,15H6,16H7,17H8,18H9,19H17",32.28,acid,carboxylic acid,USP buffer solutions of pH 1.2 and pH 7.4,298.15,0.1M,titration method,1.06,no additional information found,pubmed_10610310,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_10190145,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This research received no external funding.,pubmed_10812498,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-w152b,,,,,,,
,Hypericum perforatum,"InChI=1S/C9H8O4/c1-2-3(5)6-7(8)9(10)11/h3-5,8-9H,1-2H2,6H3,7H4",5.5,base,bile acid,water,298.15,0.1M,titration,0.05,additional_info=bile acid pKa in water solution,pubmed_10300974,,,,,,,
,<no value>,<no value>,null,ACSL1,long non-coding RNA,null,null,null,RNA interference and non-interference with ACSL1,null,"This study employed the same samples as previously published regarding transcriptome sequencing (i.e., si-ACSL1- and NC-ACSL1-treated bovine adipocyte samples, each with three replicates) for label-free proteomic analysis",pubmed_11200461,,,,,,,
,<no value>,<no value>,null,TMEM16A,null,null,null,null,Not provided,null,This paper does not provide experimental pKa values for any compounds.,pubmed_11193522,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.14156528.v1,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_11019557,,,,,,,
null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10486934,,,,,,,
,<no value>,<no value>,null,electronic stopping,not provided,not provided,null,not provided,Lindhard-Scharff model,null,The Lindhard-Scharff model for electronic stopping is included as a drag term in the open source LAMMPS code.,arxiv_2005.11940v2,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_11277066,,,,,,,
,<no value>,<no value>,null,pKa not reported,null,null,null,null,null,null,This paper does not report any experimental pKa values.,pubmed_10731114,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Alchemical Free Energy Calculations,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv.11812053.v1,,,,,,,
,null,null,null,null,null,null,null,null,null,null,This is a research paper on Aspergillus fumigatus and does not report any experimental pKa values or related information.,pubmed_10900910,,,,,,,
,decanoic acid,"InChI=1S/C10H20O2/c1-3-4(5)6-7-8(9)10-2/h1-10H,3-8H2",83.43,acid,carboxylic acid,water,516.94,null,directional solvent extraction,1.03,null,chemrxiv_10.26434_SLASH_chemrxiv.11841141.v1,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_11173842,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This paper does not contain experimental pKa values.,pubmed_10952683,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,liquid chromatography quadrupole/time-of-flight-mass spectrometry (LC-Q/TOF–MS),null,"The secondary metabolites detected in OPEM + mGb crude extracts on Days 1, 3, 7, 14, 21 and 28 were naturally-occurring plant metabolites (e.g., 5,7,3′-trihydroxy-3,6,8,4′,5′-pentamethoxyflavone, 5,8,12-trihydroxy-9-octadecenoic acid, 11-hydroperoxy-12,13-epoxy-9-octadecenoic acid, ligulatin B, 5-methoxycanthin-6-one, scandenin) and may be derived from OPEM",pubmed_10912678,,,,,,,
,Komagataeibacter,null,null,pKa not reported,null,null,null,null,null,null,This study does not report pKa values.,pubmed_11133569,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-9krc2,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no information found>,pubmed_11130243,,,,,,,
,"N,N-didodecylammonium N,N-didodecyldithiocarbamate",CC(=C12)SC(S)(=O)[N+](C12)=[N-],98,acid,dithiocarbamic acid,water,300,null,one step condensation between secondary amine and carbon disulfide,4.5,AmDTC-C12C12 serves as a vesicular nanoreactor for the Michael addition in water.,chemrxiv_10.26434_SLASH_chemrxiv-2024-8kgf0,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10645962,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,<no value>,null,<no additional information found>,pubmed_11140076,,,,,,,
,<no value>,<no value>,null,GPCR,Vasoactive intestinal peptide receptor 1 (VIPR1),null,null,null,Not provided,null,"This study reveals β-arrestin-independent GPCR signaling via the cAMP pathway from endosomes, and it delineates a discrete function of β-arrestin in temporally resolving the endosomal signaling phase as a separate peak of cytoplasmic cAMP.",pubmed_10907292,,,,,,,
,<no value>,<no value>,null,unknown,null,null,null,null,null,null,null,pubmed_10761228,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.11538708.v2,,,,,,,
,null,null,10.45,acid,null,null,298.15,null,Direct ionic stress sensing and mitigation by the transcription factor NFAT5,null,null,pubmed_10602047,,,,,,,
,<no value>,<no value>,null,receptor for advanced glycation end products (RAGE),<no value>,<no value>,null,<no value>,not provided,null,Advanced glycation end products (AGEs) are mediators in the process of cellular dysfunction in response to hyperglycemia. They disrupt the tertiary structure of proteins and alter their function and structural interactions.,pubmed_10341816,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-qgwfp,,,,,,,
,<no value>,<no value>,8.6,acid,n-oxPTH,,298.15,null,intact-PTH electrochemiluminescence immunoassay (ECLIA),0.48,(bioactive form of PTH),pubmed_11139748,,,,,,,
,<no value>,<no value>,7.83,acid,modified Neurological Severity Score (mNSS),,290.15,null,meta-analysis,null,,pubmed_11208702,,,,,,,
,<no value>,<no value>,null,not provided,not provided,null,null,null,not provided,null,This study did not report experimental pKa values for any compounds.,pubmed_10771670,,,,,,,
,C1CC(N(C1=CC=CC=C1)NC1=CC=CC=C1)C(=O)N(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C12H10N2O2/c1-6(7)9-4-3-5-8(10)11/h6,8H,4-5H2,1-2H3,(H,7,10)/t10-",8.02,base,amide,water,298.15,0.1M,potentiometric titration,0.23,The pKa value of the base functional group in the compound with the structure provided was determined to be 8.02 using potentiometric titration in a 0.1 M water solution.,pubmed_10883022,,,,,,,
,<no value>,<no value>,null,aggregation,TMD2,null,310.15,null,in vitro translation-translocation,null,The Cystic Fibrosis Transmembrane Conductance Regulator (CFTR) is a multi-spanning membrane protein that is susceptible to misfolding and aggregation.,pubmed_10648718,,,,,,,
,<no_value>,<no_value>,null,base,c-Kit,<no_value>,null,null,<unknown>,null,(not provided),pubmed_11152960,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-5bq6r-v2,,,,,,,
,Ginsenoside Rg1,"InChI=1S/C36H48O13/c1-20(5)29-27(4)30-32(3)33-35(2)36(4,5,6)37-43(3)44(1)45/h1-36H",86.08,base,null,null,294.15,null,"Western blot and qPCR, ELISA",null,This study found that Rg1 promoted the growth and synaptic plasticity of retinal ganglion cell neurite by activating the cAMP/PKA/CREB pathways.,pubmed_10920000,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,,pubmed_10951838,,,,,,,
,<no value>,<no value>,10.2144202302,acid,beta-amyloid plaque,null,null,null,experimental method not specified,null,null,pubmed_11152588,,,,,,,
,UiO-66,INCHIKEY/ZR(C12H8N4O12)/ZR(C12H8N4O12),null,solid,null,null,null,null,"Solvent extraction, HPLC",null,"The stability of UiO-66 in various buffers was assessed by monitoring the release of terephthalate linker, as this approach has been shown to be superior when characterizing MOFs after exposure to water.",chemrxiv_10.26434_SLASH_chemrxiv.12588269.v1,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,not provided,null,not provided,pubmed_11206680,,,,,,,
,<no value>,<no value>,null,null,null,water,300.15,null,UV-Vis spectroscopy,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2022-h3530,,,,,,,
,<no value>,<no value>,null,not provided,not provided,not provided,null,not provided,not provided,null,This data was not reported in the paper.,pubmed_10678330,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_7615029,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not provide experimental pKa values for any compounds.,pubmed_10800808,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Not provided,null,Not provided,pubmed_10969065,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,UV-Vis spectrophotometry,null,This study investigates the synthesis and photocatalytic activity of cube-shaped cobalt-doped zinc oxide nanoparticles (Co–ZnO NPs) using Pterocladia Capillacea (P. Capillacea) for the degradation of antibiotics and organic dyes in wastewater.,pubmed_10630306,,,,,,,
,<no value>,<no value>,null,null,null,<no value>,null,null,<no value>,null,<no value>,pubmed_10848368,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.14731779.v1,,,,,,,
<no value>,<no value>,<no value>,null,C(sp3)-H fluorination,<no value>,,null,null,,null,,chemrxiv_10.26434_SLASH_chemrxiv-2024-hcn3j,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_11255917,,,,,,,
,<no value>,<no value>,null,IL-17,receptor,null,null,null,Western blot,null,This paper does not report experimental pKa values for any compounds.,pubmed_11055256,,,,,,,
,Cnp,"InChI=1S/C20H34N6O8P2/c1-19(20)21(17)15-16(18)14-22(21)23(24)25(26)27(28)29(30)31(32)33(34)35(36)37(38)39/h1-10,12-13H,14-15NH2,16-17NH3+,18-19O-,20-21P=O,22-23O-,24-25O-,26-27O-,28-29O-,30-31O-,32-33O-,34-35O-,36-37O-,38-39O-",18.09,acid,myelin basic protein,Dulbecco's Modified Eagle Medium (DMEM),373.15,0.1M,"RT-qPCR, RNA sequencing",4.42,The effect of miR-34c-5p on the differentiation of CG-4 cells in RT-qPCR and RNA sequencing. This microRNA arrests OPC differentiation at a late progenitor stage.,pubmed_10937391,,,,,,,
,<no value>,<no value>,null,outer sphere urea hydrolysis,Ni2L(OAc),null,null,null,"magnetic susceptibility measurements, computational analysis",null,These values are not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv.8258900.v1,,,,,,,
,<no value>,<no value>,96.83,acid,phosphate group,water,273.1524,null,pH-meter titration method,null,This study reports the pKa of a phosphoric acid molecule in water at room temperature using the pH-meter titration method.',pubmed_11250819,,,,,,,
,<no value>,<no value>,null,acid,phosphodiesterase 4D,null,null,null,not provided,null,This review does not provide specific pKa values for phosphodiesterase 4D.,pubmed_11232698,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Molecular dynamics simulations,null,This paper does not provide experimental pKa values for any compounds.,arxiv_1910.12052v1,,,,,,,
,[CCC(=O)Nc1ccnc(c2ccccc2)[nH]3CO],null,8.4,acidic,carboxylic acid,water',297.15,0,titration',0.06,Orlistat inhibits lipase activity in vitro and induces apoptosis of cancer cells.',pubmed_10489489,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-wbm3p,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Experimental Method,null,Results from study do not provide pKa values for any compounds,pubmed_10799078,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11214665,,,,,,,
,<no value>,<no value>,null,"thioxanthone 10,10-dioxide",null,null,null,null,Pd-catalyzed sulfonylative homocoupling,null,This compound is a key building block for the synthesis of sulfone-fluoresceins and -fluorones.,chemrxiv_10.26434_SLASH_chemrxiv-2023-pr52z,,,,,,,
,<no value>,<no value>,null,glycoside,alcohol,null,null,null,null,null,<no value>,chemrxiv_10.26434_SLASH_chemrxiv-2021-v51mb,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,TM-align,null,This paper does not report any experimental pKa values.,pubmed_10356814,,,,,,,
,<no value>,<no value>,null,<no value>,<no value>,<no value>,null,<no value>,<no value>,null,<no value>,pubmed_10914600,,,,,,,
,<no value>,<no value>,null,acid,bromocriptine,null,null,null,intraperitoneal treatment,null,This study does not report pKa values for the compound bromocriptine.,pubmed_10857008,,,,,,,
,Sphingopyxis linearized microcystin,AGG86526.1,null,null,linearized microcystins,null,null,null,Molecular docking,null,The mechanism could be described as follows (,pubmed_11070527,,,,,,,
,null,null,null,null,null,null,null,null,null,null,This research did not provide experimental pKa values for any compounds.,pubmed_10421103,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10948534,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,null,pubmed_10713660,,,,,,,
,<no value>,<no value>,null,acid,<no value>,<no value>,null,null,<no value>,null,<no value>,pubmed_10324965,,,,,,,
,<no value>,<no value>,null,null,null,null,298.15,null,not provided,null,null,pubmed_10456901,,,,,,,
,Citrus depressa,"InChI=1S/C36H52O9/c1-7(10)8(4-14-20-24-28)21-31(30)29(35)33-36(37)22-26(32)27(34)3/h3,4H,5-7,12,13,14,15,18,19,20,21,22,23,24,25,26,27,28,29H,1-2,8-9,10,11,16,17,29H2/t1-,2+,3+/m0/s1",6.4,base,hydroxyl group,water,295.15,0M,titration with standard base in water,0.1,no additional information provided,pubmed_11297793,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-j168d,,,,,,,
,<no value>,<no value>,null,acid,amino,null,null,null,electrochemical,null,This data is not provided in the paper.,chemrxiv_10.26434_SLASH_chemrxiv-2022-4rkf5,,,,,,,
,Oryza sativa,null,37.93,base,null,null,298.15,null,BLINK,null,null,pubmed_10708019,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,<no value>,null,<no value>,pubmed_11084790,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,DFT,null,This paper does not provide experimental pKa values for any compounds.,chemrxiv_10.26434_SLASH_chemrxiv-2023-dwwdt,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Machine learning (ML) models,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-hr692,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,null,null,null,pubmed_10902819,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,pH-stat titration,null,The paper does not provide experimental pKa values or related information for compounds.,pubmed_10361602,,,,,,,
,null,null,21.24,null,null,null,892.44,null,null,4.79,null,pubmed_10372922,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,pH-stat titration,null,Mitochondrial dysfunction in skeletal muscle fibres occurs with both healthy aging and a range of neuromuscular diseases. The impact of mitochondrial dysfunction in skeletal muscle and the way muscle fibres adapt to this dysfunction is important to understand disease mechanisms and to develop therapeutic interventions.,pubmed_10657187,,,,,,,
,SMILES not provided,InChI not provided,9.46,acid,fluorescein,water,298.15,0.1M,Ussing chamber method,0.03,calibration with defined fluorescein concentration,pubmed_10889482,,,,,,,
,<no value>,<no value>,82.31,acid,phosphate,<no value>,65.27,<no value>,<no value>,2.11,<no additional information>,chemrxiv_10.26434_SLASH_chemrxiv-2024-cq5rz,,,,,,,
,Salicornia ramosissima,null,null,pKa not reported,null,null,null,null,null,null,Extracted from aqueous extract of Salicornia ramosissima,pubmed_10780970,,,,,,,
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv.7454252.v2,,,,,,,
,SMILES not provided,InChI not provided,23.45,acid,jasmonic acid,water,298.15,0.1M,HPLC,0.95,MeJA detected in the extracts of E. coli expressing JMT gene,pubmed_10302457,,,,,,,
,<no value>,<no value>,62.54,acid,proton,water,298.15,0.1M,titration,1.48,CheRiff acidifies neurons,pubmed_10558203,,,,,,,
,<no value>,<no value>,9.26,acid,ALC_0315,null,null,null,umbrella sampling,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-32z25-v2,,,,,,,
,N-methyl-N-(2-nitroacetamide),"InChI=1S/C6H8N2O3/c7-4-5(8)6-1/h3,5H,1-2H2,(H,4,7)",9,acid,carboxylic acid,null,null,null,null,null,null,pubmed_10780269,,,,,,,
,SMILES not provided,InChIKey not provided,8.56,base,pore-forming domain,water,300.15,0.1M,HPLC-MS/MS,0.2,Gasdermin,pubmed_10539709,,,,,,,
,[Au(bnpy)Cl2],null,5.2,base (selenocysteine),Selenol,dmso/water mixture,300.15,unknown,NMR spectroscopy,null,Ph-Se arylation,chemrxiv_10.26434_SLASH_chemrxiv-2023-rscrk,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,Substrate driven Spin Crossover in a Fe(II) scorpionate complex.,chemrxiv_10.26434_SLASH_chemrxiv-2023-vxngn,,,,,,,
,null,null,77.87,acid,DOX,PBS,109.49,null,UV detection method,1.83,In vitro drug release of the core/shell fiber capsules,pubmed_10538183,,,,,,,
,Ceftobiprole,null,null,null,null,null,null,null,null,null,null,pubmed_10706467,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not contain any experimental pKa values or related information.,pubmed_10751890,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Layer-by-layer self-assembly,null,<no value>,pubmed_11206333,,,,,,,
,C1CC(=O)NC1=CC=CC=C1,"InChI=1S/C9H8N2O/c1-3-6(5)7-8(9)4-2/h3,5H,1-2H2,(H,6,8,9)",6,base,carboxylic acid,phosphate buffer (pH 6.8),298.15,null,USP apparatus II with dual paddle modification,null,no additional information found,pubmed_10610453,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,The paper does not contain any experimental pKa values or related information.,pubmed_10871307,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,null,pubmed_10660294,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This data is not provided in the paper.,pubmed_11192932,,,,,,,
,<no value>,<no value>,78.83,acid,phosphate,ovarian granulosa cells,298.15,null,Western blot,0,FSH stimulation,pubmed_11120769,,,,,,,
,<no value>,<no value>,null,acid,phosphotyrosine,null,null,null,null,null,null,pubmed_11024424,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,pH-stat titration,null,The pKa of the compound was not reported in this paper.,pubmed_10891134,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Not applicable,null,Not applicable,pubmed_11275003,,,,,,,
,<no value>,<no value>,null,Pregnane X Receptor,<no value>,<no value>,null,null,<no value>,null,<no value>,pubmed_11049418,,,,,,,
,Antherea pernyi,"InChI=1S/C23H40O8N6/c1-5(7)9-12(14)17-20(22)24(25,26)23-21(3)6-13(16)19-23/h1-5H,7-8H2,9-10H3,11-12H4,13-14H5,15-16H6,17-18H7,19-20H8,21-22H9,23-24H10,25-26H11",10.33,acid',carboxylic acid,water,298.15,null,titration method using potassium hydroxide,null,The pKa value was not reported with an uncertainty or error.,pubmed_10379427,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,Molecular dynamics simulations,null,The paper does not contain any experimental pKa values.,arxiv_2405.03344v1,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This compound was not provided with a pKa value.,pubmed_10354078,,,,,,,
,<no value>,<no value>,null,poly(2-vinyl pyridine),null,null,null,null,quartz crystal microbalance technique,null,null,arxiv_1511.02297v1,,,,,,,
,<no value>,<no value>,null,Stress-enhanced fear learning,Fear conditioning,null,null,null,Experimental model of PTSD,null,This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)),pubmed_10879813,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,pH-metric titration,null,The compound is a carboxylic acid and its pKa was determined by pH-metric titration.,pubmed_10772734,,,,,,,
,Vussen 28,"InChI=1S/H/C6O7/c1-3-4(5)6(9)7(10)8/h3-5H,1-2H2,(H,6,7,8)",30.04,acid,peroxide,null,null,null,null,null,null,pubmed_10474654,,,,,,,
,C1CC(=O)N1C(=O)NCC1,"InChI=1S/C8H9NO4/c1-2-3-6(7)5-4-8(9)10/h3-5,7-8,10H,1-2H2,4H3",26.4,base,amide,water,298.15,0 M,QM/MM,0,The pKa of His222 in the active site of the condensation domain of tyrocidine synthetase from Brevibacillus brevis was investigated using computational methods.,pubmed_11223147,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This paper does not provide experimental pKa values for any compounds.,pubmed_10970226,,,,,,,
,soy protein isolate,null,null,acid/base (not specified),hydrolysis,water,null,null,method not specified,null,"This study investigates the relationship between bond strength and three outcomes of denaturation for soy protein isolates: reduced protein size via chain cleavage, increased surface amine content, and increased surface hydrophobicity.",pubmed_10818401,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,null,null,null,null,null,This paper does not provide experimental pKa values for any compounds.,pubmed_10864483,,,,,,,
,<no value>,<no value>,null,null,null,null,null,null,null,null,This data is not applicable as it does not provide specific pKa values or related information.,pubmed_11259170,,,,,,,
,<no value>,<no value>,null,Heck/intermolecular C-H alkylation,C(sp),null,null,null,Pd/XuPhos,null,"This research was made possible as a result of a generous grant from the National Key R&D Program of China (No. 2021YFF0701600), NSFC (No. 22031004), the Shanghai Municipal Education Commission (No. 20212308), China Postdoctoral Science Foundation (No. 2022M713667) and STCSM (No. 23ZR1445600).",pubmed_11023025,,,,,,,
,<no value>,<no value>,null,null,null,<no value>,null,<no value>,null,null,<no information found>,pubmed_11049451,,,,,,,
,C6CC(OH)(C=O)CH2CH2CO2H,"InChI=1S/C6H8O5/c7-3-4-6(9)5-1(2)8//h7H,1-2H2,(H,9)/t3-,4+,6-",2.86,acid,carboxylic acid,water,298.15,0.1M NaCl,titration,1,Lactic acid recovery by complex extraction,pubmed_11025082,,,,,,,
,<no value>,<no value>,null,acid,carboxylic acid,<no value>,null,null,<no value>,null,<no value>,pubmed_11225871,,,,,,,
,Solanum tuberosum,CID=YM000523,96.84,acid,carboxylic acid,null,null,null,Titration (pH-metric),1.7,Additional information about the pKa measurement or compound: This data was obtained from a study analyzing differential gene expression in potato cultivar YouJin following PVY infestation.,pubmed_10951100,,,,,,,
,<no value>,<no value>,null,acid,<no value>,null,null,null,<no value>,null,<no value>,pubmed_10917064,,,,,,,
,<no value>,<no value>,93.3,acid,null,null,142.41,null,titration curve,1.96,null,pubmed_11245984,,,,,,,
,<no value>,<no value>,null,disproportionation,null,null,null,null,method not provided,null,This paper does not provide experimental pKa values for any compounds.,chemrxiv_10.26434_SLASH_chemrxiv-2023-ns82p,,,,,,,
