iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,"TP, TN, FP, FN",Human Notes,,,,,
null,null,null,null,null,null,null,pubmed_10942426,,,,,,,
null,null,null,null,null,null,null,pubmed_11077050,,,,,,,
null,null,null,null,null,null,null,pubmed_10859922,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-z0js4,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-drdpr,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8sc6z-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-7x71w,,,,,,,
null,null,null,null,null,null,null,pubmed_10818454,,,,,,,
null,null,null,null,null,null,null,pubmed_10707139,,,,,,,
null,null,null,null,null,null,null,pubmed_10965464,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-b105f,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-ksj5j-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_10649728,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rchb2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pj4b8,,,,,,,
null,null,null,null,null,null,null,pubmed_11193518,,,,,,,
null,null,null,null,null,null,null,pubmed_11443315,,,,,,,
null,null,null,null,null,null,null,pubmed_10744493,,,,,,,
null,null,null,null,null,null,null,pubmed_10552208,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xtmjk,,,,,,,
null,null,null,null,null,null,null,pubmed_10987667,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-7zd44-v3,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nm4rh,,,,,,,
null,null,null,null,null,null,null,pubmed_11411305,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dbw0z,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bd24m,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m0tj1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-k317r,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-33sfl-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_11000013,,,,,,,
null,null,null,null,null,null,null,pubmed_10801355,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-79285,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r58cx,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6pdxr,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zqbjt,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6lc2c,,,,,,,
null,null,null,null,null,null,null,pubmed_11185739,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-lm42x,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5td92,,,,,,,
null,null,null,null,null,null,null,pubmed_10526964,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-f61jq,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-b8pxv,,,,,,,
null,null,null,null,null,null,null,pubmed_11199699,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-mrrgq,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1lbpg-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hwh2g,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m3g5r,,,,,,,
null,null,null,null,null,null,null,pubmed_10656490,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1w0d2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qxn0j-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_10745934,,,,,,,
null,null,null,null,null,null,null,pubmed_11492796,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s1dj5-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3q2k1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-1dfb0,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-08t4w,,,,,,,
null,null,null,null,null,null,null,pubmed_10669836,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-lh8vr-v3,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dpbq3,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bf7wr,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-32h0p,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-zff3q-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-ddxlh,,,,,,,
null,null,null,null,null,null,null,pubmed_11320390,,,,,,,
null,null,null,null,null,null,null,pubmed_11089398,,,,,,,
null,null,null,null,null,null,null,pubmed_11206291,,,,,,,
null,null,null,null,null,null,null,pubmed_10420910,,,,,,,
null,null,null,null,null,null,null,pubmed_10478475,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jxsfc,,,,,,,
null,null,null,null,null,null,null,pubmed_11236177,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-klv3z,,,,,,,
null,null,null,null,null,null,null,pubmed_10378296,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-1wg9b-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v69tq,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-ffv8z,,,,,,,
null,null,null,null,null,null,null,pubmed_11335301,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r2m12,,,,,,,
null,null,null,null,null,null,null,pubmed_10376966,,,,,,,
null,null,null,null,null,null,null,pubmed_11157271,,,,,,,
null,null,null,null,null,null,null,pubmed_11484629,,,,,,,
null,null,null,null,null,null,null,pubmed_11430550,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ml728,,,,,,,
null,null,null,null,null,null,null,pubmed_10819804,,,,,,,
null,null,null,null,null,null,null,pubmed_10567722,,,,,,,
null,null,null,null,null,null,null,pubmed_10512657,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7w5km,,,,,,,
null,null,null,null,null,null,null,pubmed_11337681,,,,,,,
null,null,null,null,null,null,null,pubmed_10498449,,,,,,,
null,null,null,null,null,null,null,pubmed_11003654,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hpt9x,,,,,,,
null,null,null,null,null,null,null,pubmed_10609718,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-5l0sj,,,,,,,
null,null,null,null,null,null,null,pubmed_10428567,,,,,,,
null,null,null,null,null,null,null,pubmed_10911839,,,,,,,
null,null,null,null,null,null,null,pubmed_11189258,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-84kwb,,,,,,,
null,null,null,null,null,null,null,pubmed_10392702,,,,,,,
null,null,null,null,null,null,null,pubmed_11084293,,,,,,,
null,null,null,null,null,null,null,pubmed_10615615,,,,,,,
null,null,null,null,null,null,null,pubmed_10847102,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-tbjtw,,,,,,,
null,null,null,null,null,null,null,pubmed_10685568,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dd752,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hb4v1-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9fm01,,,,,,,
null,null,null,null,null,null,null,pubmed_10476181,,,,,,,
null,null,null,null,null,null,null,pubmed_11167897,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jndvt,,,,,,,
null,null,null,null,null,null,null,pubmed_11185168,,,,,,,
null,null,null,null,null,null,null,pubmed_10854223,,,,,,,
null,null,null,null,null,null,null,pubmed_11388336,,,,,,,
null,null,null,null,null,null,null,pubmed_10906008,,,,,,,
null,null,null,null,null,null,null,pubmed_10466379,,,,,,,
null,null,null,null,null,null,null,pubmed_10656483,,,,,,,
null,null,null,null,null,null,null,pubmed_11066047,,,,,,,
null,null,null,null,null,null,null,pubmed_10739856,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4t9hj,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w6kxl,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pr94t,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-8hfnv,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x1fmf,,,,,,,
null,null,null,null,null,null,null,pubmed_10976296,,,,,,,
null,null,null,null,null,null,null,pubmed_11051086,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r8h2d,,,,,,,
null,null,null,null,null,null,null,pubmed_10604117,,,,,,,
null,null,null,null,null,null,null,pubmed_11423278,,,,,,,
null,null,null,null,null,null,null,pubmed_11419124,,,,,,,
null,null,null,null,null,null,null,pubmed_11049971,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hjnxh,,,,,,,
null,null,null,null,null,null,null,pubmed_10610486,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wsx35,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-fvvlt,,,,,,,
null,null,null,null,null,null,null,pubmed_11164105,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-483m8,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rjdlq-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-j5l9x,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pkskv,,,,,,,
null,null,null,null,null,null,null,pubmed_11124264,,,,,,,
null,null,null,null,null,null,null,pubmed_10855042,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bxxhh-v4,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-2xh03,,,,,,,
null,null,null,null,null,null,null,pubmed_11009240,,,,,,,
null,null,null,null,null,null,null,pubmed_11315857,,,,,,,
null,null,null,null,null,null,null,pubmed_11315327,,,,,,,
null,null,null,null,null,null,null,pubmed_11314645,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bjd3r,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d74sw,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9k7kc,,,,,,,
null,null,null,null,null,null,null,pubmed_10745536,,,,,,,
null,null,null,null,null,null,null,pubmed_10455153,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n2v3r,,,,,,,
null,null,null,null,null,null,null,pubmed_10995676,,,,,,,
null,null,null,null,null,null,null,pubmed_11433423,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0jfnj,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-ps4dx,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xvtmq,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-q6wxq,,,,,,,
null,null,null,null,null,null,null,pubmed_10946325,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sd4b2-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-02bj5,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sm9h2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-q0xtq,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rkkms,,,,,,,
null,null,null,null,null,null,null,pubmed_10602574,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-69p99,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wk0nc,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-3mwbk,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bg1f9,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2nmx6,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4cdx6-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cpspw,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s6hbz,,,,,,,
null,null,null,null,null,null,null,pubmed_10899249,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r461c,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-t95cn,,,,,,,
null,null,null,null,null,null,null,pubmed_11223481,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fdzbj,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-m4c1v,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-zvh74,,,,,,,
null,null,null,null,null,null,null,pubmed_11134681,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jchct,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-x62zz,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dnqpd,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-sbp4r,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rsh7w-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-g7l32,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-1mwn2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hltm9,,,,,,,
null,null,null,null,null,null,null,pubmed_11311968,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3d5f7,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rwrd1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-nz3kn,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-kn0jg,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-w50m1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9cqk6,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0b4fn-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-m8g96,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qcqx2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-xdl01,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sxxx1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cs31x,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-b92s3,,,,,,,
null,null,null,null,null,null,null,pubmed_10952342,,,,,,,
null,null,null,null,null,null,null,pubmed_11352306,,,,,,,
null,null,null,null,null,null,null,pubmed_11339396,,,,,,,
null,null,null,null,null,null,null,pubmed_10990174,,,,,,,
null,null,null,null,null,null,null,pubmed_10923667,,,,,,,
null,null,null,null,null,null,null,pubmed_11118382,,,,,,,
null,null,null,null,null,null,null,pubmed_10751729,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-bzpnd-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_11049837,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bnp66,,,,,,,
null,null,null,null,null,null,null,pubmed_10888695,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n89hr-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_10956112,,,,,,,
null,null,null,null,null,null,null,pubmed_11009477,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-44qm1-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-tp95r-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dkjt6-v3,,,,,,,
null,null,null,null,null,null,null,pubmed_10384072,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2w7w7,,,,,,,
null,null,null,null,null,null,null,pubmed_11238343,,,,,,,
null,null,null,null,null,null,null,pubmed_10666222,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-121k1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-dq6hn-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rk4qx,,,,,,,
null,null,null,null,null,null,null,pubmed_10591477,,,,,,,
null,null,null,null,null,null,null,pubmed_10665326,,,,,,,
null,null,null,null,null,null,null,pubmed_11368759,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sz64b,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jhbh4,,,,,,,
null,null,null,null,null,null,null,pubmed_11172067,,,,,,,
null,null,null,null,null,null,null,pubmed_10530820,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-65rbb-v2,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5mlml,,,,,,,
null,null,null,null,null,null,null,pubmed_10916432,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qv8jh,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-l2969,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-b37sc,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9qv8w,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rtsmv,,,,,,,
null,null,null,null,null,null,null,pubmed_11297689,,,,,,,
null,null,null,null,null,null,null,pubmed_11357764,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5q956,,,,,,,
null,null,null,null,null,null,null,pubmed_11438327,,,,,,,
null,null,null,null,null,null,null,pubmed_10549231,,,,,,,
null,null,null,null,null,null,null,pubmed_10673405,,,,,,,
null,null,null,null,null,null,null,pubmed_10883036,,,,,,,
null,null,null,null,null,null,null,pubmed_10473776,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-d7mx0,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-z1hq1,,,,,,,
null,null,null,null,null,null,null,pubmed_11060587,,,,,,,
null,null,null,null,null,null,null,pubmed_10853991,,,,,,,
null,null,null,null,null,null,null,pubmed_11033325,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-zxzfw,,,,,,,
null,null,null,null,null,null,null,pubmed_10887660,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-j8pxp,,,,,,,
null,null,null,null,null,null,null,pubmed_10834762,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-64n4r,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-1mssg,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-wls6x,,,,,,,
null,null,null,null,null,null,null,pubmed_10726475,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-9r018,,,,,,,
null,null,null,null,null,null,null,pubmed_11422139,,,,,,,
null,null,null,null,null,null,null,pubmed_10468879,,,,,,,
null,null,null,null,null,null,null,pubmed_10370204,,,,,,,
null,null,null,null,null,null,null,pubmed_10869496,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-7g4z2,,,,,,,
null,null,null,null,null,null,null,pubmed_11056994,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-ff7s8,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-p8mb4,,,,,,,
null,null,null,null,null,null,null,pubmed_11151932,,,,,,,
null,null,null,null,null,null,null,pubmed_10552410,,,,,,,
null,null,null,null,null,null,null,pubmed_10817611,,,,,,,
null,null,null,null,null,null,null,pubmed_11372198,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-501qf,,,,,,,
null,null,null,null,null,null,null,pubmed_10535113,,,,,,,
null,null,null,null,null,null,null,pubmed_11160802,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-w6n9n,,,,,,,
null,null,null,null,null,null,null,pubmed_11205187,,,,,,,
null,null,null,null,null,null,null,pubmed_10951886,,,,,,,
null,null,null,null,null,null,null,pubmed_11322477,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qq206-v3,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-bfhnh,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7hkz8,,,,,,,
null,null,null,null,null,null,null,pubmed_11399845,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wd9ft,,,,,,,
null,null,null,null,null,null,null,pubmed_11076911,,,,,,,
null,null,null,null,null,null,null,pubmed_10807275,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-qjq83,,,,,,,
null,null,null,null,null,null,null,pubmed_10379084,,,,,,,
null,null,null,null,null,null,null,pubmed_11351665,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rn7s5,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-z04tm-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_11395698,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pzf57,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-s49kw-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_11141876,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-jt46s,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-tbfns,,,,,,,
null,null,null,null,null,null,null,pubmed_11176346,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4s29q,,,,,,,
null,null,null,null,null,null,null,pubmed_11017246,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fz84h-v2,,,,,,,
null,null,null,null,null,null,null,pubmed_10865462,,,,,,,
null,null,null,null,null,null,null,pubmed_10663207,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-01tn5,,,,,,,
null,null,null,null,null,null,null,pubmed_10813588,,,,,,,
null,null,null,null,null,null,null,pubmed_10481356,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-vcmcl,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wxzt9,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7cp1g-v3,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5w7wp,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3ts6f,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-m9zhf,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5c2gq,,,,,,,
null,null,null,null,null,null,null,pubmed_10767375,,,,,,,
null,null,null,null,null,null,null,pubmed_11173802,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-dhl01,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n0l8q-v3,,,,,,,
null,null,null,null,null,null,null,pubmed_10730244,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6nhr1,,,,,,,
null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lcmkj,,,,,,,
