iupac_name,pka_value,solvent,temperature,functional_group,uncertainty,additional_info,paper,f1,Notes,rand
null,null,null,null,null,null,null,pubmed_11550761,,,0.9230599999
null,null,null,null,null,null,null,pubmed_10153387,,,0.694602788
null,null,null,null,null,null,null,pubmed_10936753,,,0.9939872166
null,null,null,null,null,null,null,pubmed_10680915,,,0.9932284472
null,null,null,null,null,null,null,pubmed_11431957,,,0.3710946674
null,null,null,null,null,null,null,pubmed_11752512,,,0.6320350477
null,null,null,null,null,null,null,pubmed_11732490,,,0.8891793166
null,null,null,null,null,null,null,pubmed_11703553,,,0.9987979578
null,null,null,null,null,null,null,pubmed_11188447,,,0.8431895743
null,null,null,null,null,null,null,pubmed_11309498,,,0.65234137
null,null,null,null,null,null,null,pubmed_11733947,,,0.5020565989
null,null,null,null,null,null,null,pubmed_11312741,,,0.1562431362
dihydrogen_phosphate,7,water,300,phosphate,1.4,dissociative mechanism involving solvent participation and transition state analysis,pubmed_11161780,,,0.2795843568
null,null,null,null,null,null,null,pubmed_11465873,,,0.4622400554
null,null,null,null,null,null,null,pubmed_11201734,,,0.2453551213
null,null,null,null,null,null,null,pubmed_11347137,,,0.7751694883
null,null,null,null,null,null,null,pubmed_11032449,,,0.9972346094
null,null,null,null,null,null,null,pubmed_11239598,,,0.092658859
null,null,null,null,null,null,null,pubmed_11559005,,,0.5743042505
null,null,null,null,null,null,null,pubmed_11193518,,,0.4974504777
SB203580,null,null,298,null,null,No experimental pKa values reported for the compounds in this study,pubmed_11601511,,,0.6910525495
MFN2 suppresses lipid droplet accumulation and tumor progression,null,null,null,null,null,MFN2 suppresses lipid droplet accumulation and tumor progression,pubmed_11145141,,,0.0710623518
null,null,null,null,null,null,null,pubmed_11668877,,,0.0460872313
null,null,null,null,null,null,null,pubmed_11592834,,,0.7709173437
Salvia officinalis,null,null,null,null,null,null,pubmed_11510882,,,0.5049467802
null,null,null,null,null,null,null,pubmed_11430189,,,0.145476483
null,null,null,null,null,null,null,pubmed_11026503,,,0.6159449921
null,null,null,null,null,null,null,pubmed_11325677,,,0.0948618557
null,null,null,null,null,null,null,pubmed_11217521,,,0.8827608284
5+/1H4+,70.3,DMF,298.15,proton transfer,null,Ligand modification affects BDFE and pKa values.,pubmed_11110016,,,0.3927010449
PFOS,null,null,null,carboxylic acid,null,null,pubmed_11190928,,,0.4974100278
null,null,null,null,null,null,null,pubmed_11667146,,,0.8496337566
noPv1,null,null,298.15,null,null,null,pubmed_11121460,,,0.1663437113
quercetin,67,PBS with 5% DMSO,298.15,3-hydroxyflavone,null,Photochemical properties and CO release upon irradiation in PBS buffer,pubmed_11741109,,,0.2085528341
null,null,null,null,null,null,null,pubmed_11160895,,,0.4140545481
null,null,null,null,null,null,null,pubmed_10878017,,,0.1540336777
null,null,null,null,null,null,null,pubmed_11873605,,,0.6823152865
null,null,null,null,null,null,null,pubmed_10961338,,,0.8927697816
null,null,null,null,null,null,null,pubmed_11752782,,,0.0374841951
null,null,null,null,null,null,null,pubmed_11173421,,,0.4337207798
biotin,4.5,null,298,carboxylic acid,null,The pKa value of biotin is reported to be 4.5.,pubmed_11203980,,,0.7018004616
null,null,null,null,null,null,null,pubmed_11173936,,,0.6920781708
paracetamol,null,chloroform/methanol (1:1),null,amide and hydroxyl groups,null,cocrystal formation via hydrogen bonding; XAS studies confirming structure; Hirshfeld surface analysis showing interaction strengths,pubmed_11434482,,,0.9142149368
null,null,null,null,null,null,null,pubmed_11595976,,,0.2449705899
acetaminophen,null,methanol,298.15,phenol,null,null,pubmed_11428081,,,0.4870250439
null,null,null,null,null,null,null,pubmed_11348150,,,0.5371654769
CO 2 Reduction Reaction,null,pH 2 H3PO4 solution,25,electrochemical CO2 reduction,null,In situ spectroscopy measurements show pH changes affecting CO2R efficiency.,pubmed_11403608,,,0.390464542
null,null,null,null,null,null,null,pubmed_10988577,,,0.0640062571
null,null,null,null,null,null,null,pubmed_11229332,,,0.9304584127
null,null,null,null,null,null,null,pubmed_10974948,,,0.7207765672
Doxorubicin,87.43,null,310.15,null,null,null,pubmed_11799237,,,0.64503119
null,null,null,null,null,null,null,pubmed_11252196,,,0.9623752164
null,null,null,null,null,null,null,pubmed_11573852,,,0.8329462868
null,null,null,null,null,null,null,pubmed_11510541,,,0.5328668847
null,null,null,null,null,null,null,pubmed_11223136,,,0.6916442886
null,null,"DMEM supplemented with 10% FBS, penicillin–streptomycin and L-glutamine",310.15,PI3K signaling pathway inhibition,null,Cells were cultured in DMEM supplemented with standard components.,pubmed_11707390,,,0.4805835662
polySUMO,null,polySIM,298.15,null,null,pH-dependent phase separation influenced by histidine protonation states.,pubmed_10859935,,,0.7759564884
glutathione,8.5,null,null,thiol,null,Ellman's reagent for thiol determination,pubmed_11433793,,,0.1168007001
null,null,null,null,null,null,null,pubmed_11416123,,,0.2865187717
null,null,null,null,null,null,null,pubmed_10820133,,,0.5164173441
null,null,null,null,null,null,null,pubmed_11283053,,,0.5640166372
"Poly(2,5-bis(octyloxy)terephthalaldehyde azomethine)",null,Toluene,298,Imine linkage (N=C),null,Degradation rate varies with acid strength; stronger acids (lower pKa) lead to faster degradation.,pubmed_11238594,,,0.695432238
null,null,null,null,null,null,null,pubmed_11238342,,,0.0896946634
failed,failed,failed,failed,failed,failed,failed,pubmed_11434819,,,0.103696214
null,null,null,null,null,null,null,pubmed_11788081,,,0.7555985844
methylene blue,3.8,null,null,aromatic amine,null,pKa value of 3.8 used to adjust pH for MB adsorption,pubmed_11790896,,,0.8655940071
crocus sativus l,null,ethanol-water 70:30 v/v,298.15,null,null,no pka reported in the paper,pubmed_11428576,,,0.6459429751
null,null,null,null,null,null,null,pubmed_11189764,,,0.3102068712
null,null,null,null,null,null,null,pubmed_11082845,,,0.6367895729
null,null,null,null,null,null,null,pubmed_11881046,,,0.0354248655
null,null,null,null,null,null,null,pubmed_11525786,,,0.408914936
null,null,null,null,null,null,null,pubmed_11122685,,,0.973066784
null,null,null,null,null,null,null,pubmed_11613326,,,0.582043878
5-Hydroxymethylfurfural,3.89,DMSO,383.15,Acidic -OH group,null,pKa determined via UV-Vis spectroscopy using a basic indicator and Hammett equation; Brønsted acidity calculated as H° ≈ 3.89,pubmed_10925054,,,0.9486898615
another_string,null,solvent2,300.5,fg2,0.1,info2,pubmed_11620645,,,0.1198970065
null,null,null,null,null,null,null,pubmed_10883921,,,0.6226735171
null,null,null,null,null,null,null,pubmed_11784219,,,0.8951580897
SMO,null,unknown,null,phosphorylated SMO,null,GRK2-mediated phosphorylation of ciliary SMO,pubmed_11322411,,,0.3962447571
Theo,null,"acetonitrile, hexane, ethyl acetate, methanol",294.15,xanthine derivative,null,Pharmacokinetic experiments in rats; noncompartmental analysis,pubmed_11597386,,,0.730919698
null,null,null,null,null,null,null,pubmed_10949864,,,0.5535864469
null,null,null,null,null,null,null,pubmed_11900160,,,0.4137463567
null,null,null,null,null,null,null,pubmed_11678111,,,0.1034926232
null,null,null,null,null,null,null,pubmed_11772528,,,0.30233391
null,null,null,null,null,null,null,pubmed_11904841,,,0.4931058504
null,null,null,null,null,null,null,pubmed_11096370,,,0.3933360411
null,null,null,null,null,null,null,pubmed_11466811,,,0.8979196462
null,null,null,null,null,null,null,pubmed_10905842,,,0.3676642568
fatty acid-containing p(HEMA) hydrogels,null,"deionised water, artificial urine",298.15,carboxylic acid,null,No pKa values reported; methods include CDC Biofilm Reactor Model and Urease Model for encrustation resistance testing.,pubmed_11859241,,,0.9979304597
null,null,null,null,null,null,null,pubmed_11426969,,,0.6100856273
ethanolamine,9.66,ethanolamine,297.15,null,1.8,Postcombustion carbon capture using ethanolamine in thermal regeneration processes.,pubmed_11094790,,,0.8248486007
null,null,null,null,null,null,null,pubmed_10870705,,,0.9883618946
null,null,null,null,null,null,null,pubmed_11068619,,,0.3586173204
null,null,null,null,null,null,null,pubmed_11766713,,,0.2381256213
null,null,null,null,null,null,null,pubmed_11381240,,,0.0891011809
aspergillus nigermk981235 cellulase,null,carrageenan,333.15,null,null,null,pubmed_11785800,,,0.301514362
null,null,null,null,null,null,null,pubmed_11565858,,,0.6082918367
null,null,null,null,null,null,null,pubmed_10865363,,,0.9590647256
null,null,null,null,null,null,null,pubmed_11351445,,,0.6539823853
null,null,null,null,null,null,null,pubmed_10973700,,,0.5319884936
null,null,null,null,null,null,null,pubmed_10991395,,,0.8137218677
failed,failed,failed,failed,failed,failed,failed,pubmed_11154460,,,0.6147554845
null,null,null,null,null,null,null,pubmed_11401360,,,0.9739079638
null,null,null,null,null,null,null,pubmed_10998873,,,0.8220506527
null,null,null,null,null,null,null,pubmed_11404117,,,0.9207241624
null,null,null,null,null,null,null,pubmed_11435238,,,0.4975947321
"3,6-diaminoxanthones",8.507,null,null,amine,0.05,The highest pKa value of amine 10 may facilitate compound’s entry through Gram negative porins.,pubmed_10891989,,,0.2018722526
ciprifloxacin,null,water,null,null,null,null,pubmed_11407339,,,0.0607780479
null,null,null,null,null,null,null,pubmed_11315909,,,0.2253612003
null,null,null,null,null,null,null,pubmed_11177748,,,0.7521077783
null,null,null,null,null,null,null,pubmed_10974229,,,0.0266493126
null,null,null,null,null,null,null,pubmed_10817611,,,0.9872935861
null,null,null,null,null,null,null,pubmed_11525019,,,0.7401189972
null,null,null,null,null,null,null,pubmed_10892972,,,0.1438545978
null,null,null,null,null,null,null,pubmed_11381845,,,0.6152008919
AmQNS,9,null,null,polyketide synthase,null,C164 catalytic cysteine residue's pKa value plays a key role in thioester exchange and enzyme activity.,pubmed_11093982,,,0.0463189695
null,null,null,null,null,null,null,pubmed_10945501,,,0.6292330236
null,null,null,null,null,null,null,pubmed_11231154,,,0.7779346926
null,null,null,null,null,null,null,pubmed_10806912,,,0.7630769322
null,null,null,null,null,null,null,pubmed_11678918,,,0.0578912841
null,null,null,null,null,null,null,pubmed_11686323,,,0.439140928
null,null,null,null,null,null,null,pubmed_11291106,,,0.9186676075
null,null,null,null,null,null,null,pubmed_11230910,,,0.7449639386
null,null,null,null,null,null,null,pubmed_11170524,,,0.647262719
failed,failed,failed,failed,failed,failed,failed,pubmed_11219001,,,0.8883163396
null,null,null,null,null,null,null,pubmed_11298337,,,0.3246886719
null,null,null,null,null,null,null,pubmed_11231655,,,0.5420481625
null,null,null,null,null,null,null,pubmed_10855422,,,0.3697916695
null,null,null,null,null,null,null,pubmed_11603775,,,0.7259489831
null,null,null,null,null,null,null,pubmed_11392204,,,0.6531172539
null,null,null,null,null,null,null,pubmed_11096846,,,0.9613723618
null,null,null,null,null,null,null,pubmed_11170668,,,0.9211889496
null,null,null,null,null,null,null,pubmed_11228662,,,0.0776821249
null,null,null,null,null,null,null,pubmed_11150392,,,0.4003614772
null,null,null,null,null,null,null,pubmed_10976370,,,0.7669822334
null,null,null,null,null,null,null,pubmed_11466818,,,0.6209481119
null,null,null,null,null,null,null,pubmed_11507523,,,0.8313672908
TBOH-F3,35,acetonitrile,355.15,alcohol,null,null,pubmed_11803469,,,0.6619991458
null,null,null,null,null,null,null,pubmed_11021383,,,0.2071561664
caffeic acid,3.43,tetrachloroethane,254.15,phenolic group,4.78,food chemistry,pubmed_11096178,,,0.3528616247
null,null,null,null,null,null,null,pubmed_11174488,,,0.9686738995
null,null,null,null,null,null,null,pubmed_11223513,,,0.4459792133
null,null,null,null,null,null,null,pubmed_11395647,,,0.4706400677
Hydrogen peroxide (H2O2),6.8,null,null,"sulfenic acid, sulfinic acid",null,"The study investigates the redox signaling dynamics of H2O2 and its role in cellular processes, utilizing mathematical modeling to explore ultrasensitivity and bistability in the PTRS system.",pubmed_11852172,,,0.6063571014
Anemarrhena asphodeloides Bunge,null,null,null,null,null,null,pubmed_10932427,,,0.5004936815
null,null,null,null,null,null,null,pubmed_11120542,,,0.1146695421
null,null,null,null,null,null,null,pubmed_11891339,,,0.9613587926
null,null,null,null,null,null,null,pubmed_11653105,,,0.0109489001
null,null,null,null,null,null,null,pubmed_11087781,,,0.3442633839
null,null,null,null,null,null,null,pubmed_10913278,,,0.4111465891
null,null,null,null,null,null,null,pubmed_11232504,,,0.2437163165
Panax Ginseng Volatile Oil,null,null,null,null,null,null,pubmed_11347760,,,0.5123272426
null,null,null,null,null,null,null,pubmed_11517518,,,0.6064561696
failed,failed,failed,failed,failed,failed,failed,pubmed_11234856,,,0.8079051815
null,null,null,null,null,null,null,pubmed_11854021,,,0.8818417408
null,null,null,null,null,null,null,pubmed_11627081,,,0.0822098043
null,null,null,null,null,null,null,pubmed_11519894,,,0.3684563043
null,null,null,null,null,null,null,pubmed_11234824,,,0.9460564761
"bis-1,3-phenyl guanylhydrazone 2a",null,null,null,null,null,"The study focuses on the binding sites of bis-1,3-phenyl guanylhydrazone 2a to the VPS35/VPS29 complex.",pubmed_10937258,,,0.612529482
null,null,null,null,null,null,null,pubmed_11319182,,,0.2567176749
null,null,null,null,null,null,null,pubmed_11484818,,,0.7782086406
null,null,null,null,null,null,null,pubmed_11565076,,,0.0430274645
null,null,null,null,null,null,null,pubmed_11284061,,,0.7230371672
null,null,null,null,null,null,null,pubmed_11276444,,,0.6959997758
null,null,null,null,null,null,null,pubmed_11845025,,,0.8623691103
failed,failed,failed,failed,failed,failed,failed,pubmed_11359152,,,0.2824495386
null,null,null,null,null,null,null,pubmed_10901320,,,0.6954480177
null,null,null,null,null,null,null,pubmed_11342158,,,0.067368662
null,null,null,null,null,null,null,pubmed_11440235,,,0.6624738371
Capsaicin,null,null,298.15,capsaicin,null,thermal hyperalgesia,pubmed_11869436,,,0.8638491118
null,null,null,null,null,null,null,pubmed_11567134,,,0.5792720059
null,null,null,null,null,null,null,pubmed_11664024,,,0.099478476
null,null,null,null,null,null,null,pubmed_11702307,,,0.637084014
null,null,null,null,null,null,null,pubmed_11893764,,,0.1008978172
null,null,null,null,null,null,null,pubmed_10971269,,,0.5928366703
K(FEFK)2,7,water,310.15,"carboxylic acid, amine",null,pKa transitions for K(FEFK)2 peptide during titration experiments.,pubmed_11170954,,,0.3176224004
null,null,null,null,null,null,null,pubmed_11548234,,,0.6586911427
null,null,null,null,null,null,null,pubmed_10819773,,,0.5786784457
null,null,null,null,null,null,null,pubmed_10940666,,,0.5776448066
ceftazidime,null,null,null,beta-lactam antibiotic',2,Model predictions were within 2-fold of observed data (5th–95% range). Uncertainty related to this prediction accuracy.,pubmed_11054561,,,0.236017809
null,null,null,null,null,null,null,pubmed_11532638,,,0.7572118219
null,null,null,null,null,null,null,pubmed_11732827,,,0.2204034515
null,null,null,null,null,null,null,pubmed_11340618,,,0.3731293636
null,null,null,null,null,null,null,pubmed_11223845,,,0.2702187733
null,null,null,null,null,null,null,pubmed_11242374,,,0.6999371864
null,null,null,null,null,null,null,pubmed_11023058,,,0.7987725376
otub1,null,null,null,deubiquitinase,null,no pka reported in this paper,pubmed_11154711,,,0.9078692056
null,null,null,null,null,null,null,pubmed_11193972,,,0.1788556546
null,null,null,null,null,null,null,pubmed_11499432,,,0.2342735133
null,null,null,null,null,null,null,pubmed_10828234,,,0.003085288
null,null,null,null,null,null,null,pubmed_11506979,,,0.7607349064
null,null,null,null,null,null,null,pubmed_10908163,,,0.5996688693
null,null,null,null,null,null,null,pubmed_11017575,,,0.2450336588
different_example_iupac_name,12.34,another_solvent_string,310.2,different_functional_group_or_null,null,more_additional_info,pubmed_11009947,,,0.1848739521
null,null,null,null,null,null,null,pubmed_10856939,,,0.6354589269
null,null,null,null,null,null,null,pubmed_11083742,,,0.382619018
null,null,null,null,null,null,null,pubmed_10945485,,,0.9385906782
null,null,null,null,null,null,null,pubmed_11463210,,,0.644864989
null,null,null,null,null,null,null,pubmed_11116355,,,0.7492288011
null,null,null,null,null,null,null,pubmed_11612233,,,0.9041596942
null,null,null,null,null,null,null,pubmed_10954996,,,0.000403377
null,null,null,null,null,null,null,pubmed_11874020,,,0.9474649527
curvularia-fungus-bromoform-pka,null,curvularia-fungus-culture,null,bromoform-functional-group,null,null,pubmed_11791322,,,0.1926236444
null,null,null,null,null,null,null,pubmed_10826635,,,0.8359720039
null,null,null,null,null,null,null,pubmed_11561666,,,0.0532824416
null,null,null,null,null,null,null,pubmed_11889630,,,0.5907310545
Ac-EKKEDRGDEKKE-CONH 2,null,null,null,null,null,null,pubmed_10949120,,,0.1021884172
null,null,null,null,null,null,null,pubmed_11350731,,,0.965155686
null,null,null,null,null,null,null,pubmed_11206291,,,0.4693663605
null,null,null,null,null,null,null,pubmed_11097621,,,0.4687577828
oryza sativa,null,null,null,phenolic and flavonoid compounds,null,"antioxidant activity in DPPH, ABTS, and ferrous ion assays",pubmed_11244455,,,0.8550262372
null,null,null,null,null,null,null,pubmed_11881134,,,0.2690398607
null,null,null,null,null,null,null,pubmed_11199918,,,0.2844286216
null,null,null,null,null,null,null,pubmed_11840631,,,0.0484984277
failed,failed,failed,failed,failed,failed,failed,pubmed_10891666,,,0.6558953573
null,null,null,null,null,null,null,pubmed_11427779,,,0.3002680186
null,null,null,null,null,null,null,pubmed_11706405,,,0.137545682
lysophosphatidylethanolamine (22:6 [sn-1]),null,null,null,glycerophospholipids,null,null,pubmed_10925467,,,0.2101283295
null,null,null,null,null,null,null,pubmed_11242366,,,0.6800963678
null,null,null,null,null,null,null,pubmed_11470423,,,0.1184798859
null,null,null,null,null,null,null,pubmed_11585812,,,0.8818981624
null,null,null,null,null,null,null,pubmed_10800672,,,0.3558449028
null,null,null,null,null,null,null,pubmed_11095081,,,0.385806489
null,null,null,null,null,null,null,pubmed_11495214,,,0.8665886824
iupac_name,null,null,null,functional_group,4.47,additional_info,pubmed_11441078,,,0.9247126859
null,null,null,null,null,null,null,pubmed_11797948,,,0.9443009365
null,null,null,null,null,null,null,pubmed_10882959,,,0.3304652155
null,null,null,null,null,null,null,pubmed_11677347,,,0.0420889549
null,null,null,null,null,null,null,pubmed_11668169,,,0.570990318
null,null,null,null,null,null,null,pubmed_11405918,,,0.6556095029
null,null,null,null,null,null,null,pubmed_11458853,,,0.6647723
null,null,null,null,null,null,null,pubmed_11848201,,,0.9665317826
null,null,null,null,null,null,null,pubmed_11458159,,,0.7041122229
null,null,null,null,null,null,null,pubmed_11592899,,,0.609935431
null,null,null,null,null,null,null,pubmed_11151483,,,0.5690724624
null,null,null,null,null,null,null,pubmed_11384967,,,0.7426235375
null,null,null,null,null,null,null,pubmed_11231344,,,0.827071775
null,null,null,null,null,null,null,pubmed_11137475,,,0.0457063951
null,null,null,null,null,null,null,pubmed_11363022,,,0.1514657107
null,null,null,null,null,null,null,pubmed_10614741,,,0.6105179468
null,null,null,null,null,null,null,pubmed_11265584,,,0.3817075917
null,null,null,null,null,null,null,pubmed_11408524,,,0.4091268284
NAD +transporter Ndt1p,null,liposomes,298.15,null,null,Reconstitution into liposomes and transport assays using [14C]-NAD +,pubmed_11677788,,,0.2724536643
null,null,null,null,null,null,null,pubmed_11756581,,,0.750044506
null,null,null,null,null,null,null,pubmed_11343776,,,0.8020234236
null,null,null,null,null,null,null,pubmed_11067347,,,0.08753746
null,null,null,null,null,null,null,pubmed_10875805,,,0.2992125319
null,null,null,null,null,null,null,pubmed_11483610,,,0.4547073159
null,null,null,null,null,null,null,pubmed_11110763,,,0.0672681499
null,null,null,null,null,null,null,pubmed_11134542,,,0.350117129
null,null,null,null,null,null,null,pubmed_11656688,,,0.3133693724
null,null,null,null,null,null,null,pubmed_11247864,,,0.0093907057
null,null,null,null,null,null,null,pubmed_10882819,,,0.7931883659
null,null,null,null,null,null,null,pubmed_11143257,,,0.3891474223
null,null,null,null,null,null,null,pubmed_10998858,,,0.4185509484
null,null,null,null,null,null,null,pubmed_11049524,,,0.2359345066
null,null,null,null,null,null,null,pubmed_11727755,,,0.8879865655
null,null,null,null,null,null,null,pubmed_11143426,,,0.9805482612
mangiferin,null,null,null,null,null,null,pubmed_11820055,,,0.6248701594
null,null,null,null,null,null,null,pubmed_10864410,,,0.5971278229
null,null,null,null,null,null,null,pubmed_11271537,,,0.1950351733
null,null,null,null,null,null,null,pubmed_11488512,,,0.5681878929
null,null,null,null,null,null,null,pubmed_11312495,,,0.8036070312
failed,failed,failed,failed,failed,failed,failed,pubmed_11861104,,,0.2791317767
papain-like protease,null,null,null,protease enzyme,null,SARS-CoV-2 study,pubmed_11266423,,,0.3607174426
null,null,null,null,null,null,null,pubmed_11826989,,,0.009687078
null,null,null,null,null,null,null,pubmed_11088543,,,0.9259229323
null,null,water,295.15,null,null,"The experiments were conducted in aqueous solution using NaBH4 as a weak hydride transfer agent, and the peptide nanotubes enhanced its activity.",pubmed_11130128,,,0.2494487618
null,null,null,null,null,null,null,pubmed_11270306,,,0.5203981122
failed,failed,failed,failed,failed,failed,failed,pubmed_10899265,,,0.5184546029
another_string_1,null,null,274.15,another_string_5,0.3,another_string_7,pubmed_11325370,,,0.7628090994
null,null,null,null,null,null,null,pubmed_11052993,,,0.1481846021
null,null,null,null,null,null,null,pubmed_11273697,,,0.489150519
null,null,null,null,null,null,null,pubmed_10971489,,,0.6984380449
flufenacet,null,null,null,amide,null,null,pubmed_11427894,,,0.262858459
null,null,null,null,null,null,null,pubmed_11120705,,,0.1174124249
null,null,null,null,null,null,null,pubmed_11903436,,,0.3379205745
null,null,null,null,null,null,null,pubmed_11721432,,,0.8754129235
null,null,null,null,null,null,null,pubmed_11486715,,,0.9090199766
null,null,null,null,null,null,null,pubmed_10936679,,,0.9225559679
null,null,null,null,null,null,null,pubmed_11133718,,,0.543123906
bisindolylmethane boronate ester,null,water,298,boronate ester,null,composite material used as sensor for hypochlorite detection in aqueous medium,pubmed_11907283,,,0.089683318
null,null,null,null,null,null,null,pubmed_11173998,,,0.5993480135
null,null,null,null,null,null,null,pubmed_11182523,,,0.5893212063
null,null,null,null,null,null,null,pubmed_11218921,,,0.9748810858
pka_value,null,null,null,null,3.49,Degradation efficiency of BPA under full-spectrum light irradiation,pubmed_11848554,,,0.3845515905
null,null,null,null,null,null,null,pubmed_10815927,,,0.1663479563
null,null,null,null,null,null,null,pubmed_11484174,,,0.0013013266
null,null,null,null,null,null,null,pubmed_11065104,,,0.9603511028
null,null,null,null,null,null,null,pubmed_10993417,,,0.7826188442
null,null,null,null,null,null,null,pubmed_11206486,,,0.8523098039
null,null,null,null,null,null,null,pubmed_11051449,,,0.7398530634
null,null,null,null,null,null,null,pubmed_11265447,,,0.349708556
null,null,null,null,null,null,null,pubmed_11295391,,,0.6811186739
null,null,null,null,null,null,null,pubmed_10826519,,,0.8142719271
failed,failed,failed,failed,failed,failed,failed,pubmed_10930765,,,0.4044493171
null,null,null,null,null,null,null,pubmed_10877303,,,0.8053861978
null,null,null,null,null,null,null,pubmed_10949817,,,0.0456556729
atenolol,9.6,SuspendIt®,298.15,null,4.5,The atenolol concentration remained above 90% of the initial amount after storage.,pubmed_11359931,,,0.5746176727
null,null,null,null,null,null,null,pubmed_11876333,,,0.320803429
failed,failed,failed,failed,failed,failed,failed,pubmed_11103699,,,0.233164876
null,null,null,null,null,null,null,pubmed_11577564,,,0.3815971809
null,null,null,null,null,null,null,pubmed_11613311,,,0.0636962021
null,null,null,null,null,null,null,pubmed_11612276,,,0.2967347503
null,null,null,null,null,null,null,pubmed_11391445,,,0.2176654034
null,null,null,null,null,null,null,pubmed_11811197,,,0.4807237803
null,null,null,null,null,null,null,pubmed_11430938,,,0.0735889883
failed,failed,failed,failed,failed,failed,failed,pubmed_11672702,,,0.9680349228
nicotine,null,buffer solution,310.15,null,null,"Differential scanning calorimetry (DSC), molecular dynamics (MD) simulations, and electron spin resonance (ESR) were used to study nicotine's effects on pulmonary surfactant model membranes.",pubmed_11678188,,,0.9680163101
failed,failed,failed,failed,failed,failed,failed,pubmed_11012731,,,0.2968252916
null,null,null,null,null,null,null,pubmed_11734112,,,0.0663509995
null,null,null,null,null,null,null,pubmed_11168226,,,0.8801296684
null,null,null,null,null,null,null,pubmed_11277066,,,0.5098742859
null,null,null,null,null,null,null,pubmed_10940843,,,0.7296444003
null,null,null,null,null,null,null,pubmed_11300858,,,0.6284468812
null,null,THF,298.15,hydroxyl or amino group,null,"Initiators used include N-carbamate-protected aminoalcohols such as BocEA, CbzEA, FmocEA, and others for ROP of epoxides.",pubmed_11826984,,,0.7054952094
null,null,null,null,null,null,null,pubmed_11104531,,,0.4406513677
Human Erythropoietin,null,null,null,null,null,No pKa value reported in the paper.,pubmed_11007679,,,0.4738615437
null,null,null,null,null,null,null,pubmed_10882265,,,0.4996238472
null,null,null,null,null,null,null,pubmed_11089398,,,0.5147825368
null,null,null,null,null,null,null,pubmed_10814036,,,0.7827116144
null,null,null,null,null,null,null,pubmed_11053294,,,0.9628243842
glutathione,7.3,tris buffer,300.65,thiol group,0.2,antioxidant and detoxifier in plants,pubmed_10899315,,,0.296464978
null,null,null,null,null,null,null,pubmed_11109279,,,0.8415547791
failed,failed,failed,failed,failed,failed,failed,pubmed_11507745,,,0.3737250136
null,null,null,null,null,null,null,pubmed_11165589,,,0.453101082
null,null,null,null,null,null,null,pubmed_11006840,,,0.3481219998
null,null,null,null,null,null,null,pubmed_11785115,,,0.7439593272
null,null,null,null,null,null,null,pubmed_11802684,,,0.7646316024
β-endorphin,10.59,Phosphate buffered saline,298.15,peptide or opiate-related function,null,null,pubmed_11102703,,,0.8898912391
null,null,null,null,null,null,null,pubmed_11344713,,,0.8178891027
null,null,null,null,null,null,null,pubmed_11352859,,,0.3572750173
null,null,null,null,null,null,null,pubmed_11667731,,,0.9417758887
null,null,null,null,null,null,null,pubmed_11297825,,,0.6501745516
null,null,null,null,null,null,null,pubmed_11877635,,,0.7010249505
null,null,null,null,null,null,null,pubmed_11585689,,,0.8317398757
null,null,null,null,null,null,null,pubmed_10898605,,,0.7064607691
null,null,null,null,null,null,null,pubmed_11037392,,,0.7996883378
null,null,null,null,null,null,null,pubmed_10876839,,,0.725343677
null,null,null,null,null,null,null,pubmed_11264232,,,0.9451251912
null,null,null,null,null,null,null,pubmed_11686366,,,0.4810471346
null,null,solvent_string_here,298.15,function_group_or_null,0.5,additional_info_about_pKa,pubmed_11009947,,,0.5747049688
null,null,null,null,null,null,null,pubmed_11523998,,,0.045756897
null,null,null,null,null,null,null,pubmed_11862949,,,0.8450137177
null,null,null,null,null,null,null,pubmed_10887157,,,0.309136373
null,null,null,null,null,null,null,pubmed_11432119,,,0.6618207018
null,null,null,null,null,null,null,pubmed_11651573,,,0.8264254283
null,null,null,null,null,null,null,pubmed_11818881,,,0.8478101024
null,null,null,null,null,null,null,pubmed_11739746,,,0.5667405366
null,null,null,null,null,null,null,pubmed_10937311,,,0.3590307909
null,null,null,null,null,null,null,pubmed_11129193,,,0.5453239679
null,null,null,null,null,null,null,pubmed_11455855,,,0.5730226228
null,null,null,null,null,null,null,pubmed_11414814,,,0.5013717273
null,null,null,null,null,null,null,pubmed_11201532,,,0.4878194891
null,null,null,null,null,null,null,pubmed_11098914,,,0.6810219884
null,null,null,null,null,null,null,pubmed_11466955,,,0.0778739925
4-Nitrophenol,7.2,aqueous,298.15,Nitro group,null,4-nitrophenol reduction in aqueous medium with NaBH4 at pH 9.2,pubmed_11203548,,,0.1156021261
null,null,null,null,null,null,null,pubmed_10935301,,,0.5254060808
null,null,null,null,null,null,null,pubmed_11740000,,,0.0561075206
null,null,null,null,null,null,null,pubmed_11640447,,,0.4767537916
null,null,null,null,null,null,null,pubmed_11297295,,,0.5473693712
Carthamus tinctorius extract,null,dimethyl sulfoxide (DMSO),298.15,peptide,null,Functional group related to peptide interactions and GOAT/ghrelin pathway inhibition,pubmed_11814266,,,0.6650169806
phthalic acid,3.14,acetone,276.15,aromatic ring,null,textile industry applications,pubmed_11096178,,,0.6447798482
null,null,null,null,null,null,null,pubmed_11525668,,,0.1978397628
null,null,null,null,null,null,null,pubmed_10879661,,,0.1068540039
