iupac_name,solvent,peak_absorption,peak_emission,quantum_yield,molar_absorptivity,lifetime,comments,paper
null,null,null,null,null,null,null,null,pubmed_11794606
DBOV-Mes,toluene,561.0,775.0,null,null,null,Reactivatable fluorophore used in STED microscopy with high photo-stability and fluorescence recovery properties.,pubmed_11794581
null,null,null,null,null,null,null,null,pubmed_11794575
null,null,null,null,null,null,null,null,pubmed_11794539
end-capped coordination nanochain C1N,toluene,490.0,579.0,null,null,null,Shows efficient exciton transfer from BL3 to L1. PL behavior depends on solvent.,pubmed_11794446
end-capped coordination nanochain C2N,toluene,null,null,null,null,null,"Lacks L1, exhibits PL quenching in polar solvents.",pubmed_11794446
null,null,null,null,null,null,null,null,pubmed_11794400
null,null,null,null,null,null,null,null,pubmed_11794368
null,null,null,null,null,null,null,null,pubmed_11793870
null,null,null,null,null,null,null,null,pubmed_11792566
null,null,null,null,null,null,null,null,pubmed_11792498
null,null,null,null,null,null,null,null,pubmed_11792324
GCAMP6s,null,472.0,515.0,null,null,null,GCaMP6s is a genetically encoded calcium indicator used for imaging neuronal activity.,pubmed_11792086
5-[2-(8-hydroxyquinolin-5-yl)diazen-1-yl]benzene-1-sulfonamide,ethanol/water (4:1),430.0,null,null,0.09e5 (430 nm),null,Effective Ni²+ sensor with bathochromism of +8 nm,pubmed_11791894
7-[(2-(2'-methoxy-4'-nitrophenyl)diazen-1-yl]-5-nitroquinolin-8-ol,ethanol/water (4:1),430.0,null,null,0.13e5 (430 nm),null,Effective Ni²+ sensor with bathochromism of +67 nm,pubmed_11791894
5-[2-(2'-methoxy-4'-nitrophenyl)diazen-1-yl]quinolin-8-ol,ethanol/water (4:1),430.0,null,null,0.10e5 (430 nm),null,Effective Ni²+ sensor with bathochromism of +63 nm,pubmed_11791894
5-[2-(2'-hydroxy-5'-nitrophenyl)diazen-1-yl]quinolin-8-ol,ethanol/water (4:1),442.0,null,null,0.10e5 (442 nm),null,Effective Ni²+ sensor with bathochromism of +85 nm,pubmed_11791894
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11791654
"1,3-diphenyl-2-benzofuran",DMSO,418.0,null,null,null,null,Reactive oxygen species generation studies showed similar results compared to controls.,pubmed_11791622
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11791620
null,null,null,null,null,null,null,null,pubmed_11791341
PhQA1,toluene,509.0,534.0,0.93,null,18.9,Highly efficient green emission with narrow FWHM and high quantum yield in doped films.,pubmed_11790955
PhQA2,toluene,504.0,527.0,0.74,null,20.0,Highly efficient green emission with narrow FWHM and high quantum yield in doped films.,pubmed_11790955
PhQA3,toluene,516.0,540.0,0.8,null,14.8,Highly efficient green emission with narrow FWHM and high quantum yield in doped films.,pubmed_11790955
null,null,null,null,null,null,null,null,pubmed_11790938
cy5.5,null,null,null,null,null,null,Fluorescent probe used for labeling vesicles and tracking in cells and animals.,pubmed_11790874
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11790868
null,null,null,null,null,null,null,null,pubmed_11898299
manganese(3+) tris-[(2 Z)-4-oxo-2-penten-2-olate],null,null,null,null,null,null,"The study observes minimal increase in radiation damage at 30 K, suggesting reduced diffusion of radicals and electrons.",pubmed_11892889
Lead sulfide quantum dots,glass,512.0,null,0.377,null,980.0,PbS QD glasses with Gd doping show enhanced emission and are used in ultrafast lasers.,pubmed_11878266
Cesium lead bromide quantum dots,glass,460.0,516.0,null,null,null,CsPbBr3 QDs grown via femtosecond laser irradiation for dynamic holographic displays.,pubmed_11878266
Lead selenide quantum dots,glass,829.01,540.96,null,null,null,PbSe QD glasses used in nonlinear optical applications.,pubmed_11878266
null,null,null,null,null,null,null,null,pubmed_11878260
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11873226
cycloparaphenylene,water,null,450.0,0.86,null,null,Emission enhancement up to 4.3-fold,pubmed_11862931
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11860908
null,null,null,null,null,null,null,null,pubmed_11859264
null,null,null,null,null,null,null,null,pubmed_11855635
4-(5-((E)-3-hydroxy-4-methoxybenzaldehyde)thiophen-2-yl)butanoic acid,null,null,null,null,null,null,"NOSH is a gas donor that releases H₂S and NO on demand to enhance the near-infrared-induced mild photothermal therapy (mPTT) effect. It plays a crucial role in achieving synergistic effects between gas therapy and mPTT by disrupting mitochondrial homeostasis, inhibiting ATP production, and promoting tumor cell apoptosis.",pubmed_11848782
null,null,null,null,null,null,null,null,pubmed_11848103
null,null,null,null,null,null,null,null,pubmed_11848080
null,null,null,null,null,null,null,null,pubmed_11846924
MM1-PC,MeOH,410.0,null,0.032,null,null,Absorption maxima at 410 nm in MeOH,pubmed_11841041
MM2-PC,MeOH,404.0,null,0.0581,null,null,Absorption maxima at 404 nm in MeOH,pubmed_11841041
null,null,null,null,null,null,null,null,pubmed_11840783
null,null,null,null,null,null,null,null,pubmed_11840775
"4,4′,4″,4‴,4″″,4‴″-((1,3,5,2λ5,4λ5,6λ5-triazatriphosphinine-2,2,4,4,6,6-hexayl)hexakis(oxy))hexakis(2 H-chromen-2-one)",water,350.0,395.0,0.895,null,0.187,Highly selective fluorescent probe for TNP detection with a low limit of detection (LOD) of 0.334 ppm.,pubmed_11840767
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11840625
"11 H-<i>benzo</i>[4,5]<i>imidazo</i>[2,1-a]<i>isoindole</i>",DMSO,null,null,null,null,null,Compound 2a with IC50 of 250 nM against MCF-7 cells,pubmed_11840623
"7-(tert-butyl)-11H-benzo[4,5]imidazo[2,1-a]isoindole",DMSO,null,null,null,null,null,Compound 2b with IC50 of 125 nM against MCF-7 cells,pubmed_11840623
"7-(trifluoromethyl)-11H-benzo[4,5]imidazo[2,1-a]isoindole",DMSO,null,null,null,null,null,Compound 2e with IC50 of 40 nM against MCF-7 cells,pubmed_11840623
null,null,null,null,null,null,null,null,pubmed_11840583
null,null,null,null,null,null,null,null,pubmed_11837284
null,null,null,null,null,null,null,null,pubmed_11836931
null,null,null,null,null,null,null,null,pubmed_11836927
null,null,null,null,null,null,null,null,pubmed_11831701
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11831595
null,null,null,null,null,null,null,null,pubmed_11831404
null,null,null,null,null,null,null,null,pubmed_11831388
null,null,null,null,null,null,null,null,pubmed_11830815
Caragana korshinskii tannins,null,null,null,null,null,null,"The paper discusses the extraction and characterization of Caragana korshinskii tannins (CKT) but does not provide specific photophysical data such as absorption or emission wavelengths, quantum yield, molar absorptivity, or lifetime measurements.",pubmed_11830745
null,null,null,null,null,null,null,null,pubmed_11830727
"tris(4,4′-dimethyl-2,2′-bipyridyl)ruthenium(II)",n-hexane,null,null,null,null,null,Poor solubility,pubmed_11830695
"tris(2,2′-bipyridyl)ruthenium(II)",n-hexane,null,null,null,null,null,Poor solubility,pubmed_11830695
null,null,null,null,null,null,null,null,pubmed_11830609
null,null,null,null,null,null,null,null,pubmed_11830608
null,null,null,null,null,null,null,null,pubmed_11830588
SQ-215,CHCl3,610.0,700.0,null,null,null,Probe designed for detecting NETs via fluorescence activation upon NE cleavage.,pubmed_11826884
Hetero-APA,CHCl3,630.0,710.0,null,null,null,FRET-based probe with enhanced spectral overlap for improved sensitivity in NET detection.,pubmed_11826884
null,null,null,null,null,null,null,null,pubmed_11826515
null,null,null,null,null,null,null,null,pubmed_11826511
null,null,null,null,null,null,null,null,pubmed_11823605
null,null,null,null,null,null,null,null,pubmed_11821048
null,null,null,null,null,null,null,null,pubmed_11821036
null,null,null,null,null,null,null,null,pubmed_11820987
null,null,null,null,null,null,null,null,pubmed_11820876
methane,null,null,null,null,null,null,Force field verification for methane at different temperatures and pressures.,pubmed_11820796
propane,null,null,null,null,null,null,Force field verification for propane at different temperatures and pressures.,pubmed_11820796
octane,null,null,null,null,null,null,Force field verification for octane at different temperatures and pressures.,pubmed_11820796
tetradecane,null,null,null,null,null,null,Force field verification for tetradecane at different temperatures and pressures.,pubmed_11820796
null,null,null,null,null,null,null,null,pubmed_11820768
null,null,null,null,null,null,null,null,pubmed_11820566
betaine,phosphate-buffered saline,null,null,null,null,null,Betaine showed potential in mitigating cold-induced stress but increased stress under UVA radiation.,pubmed_11820442
erythritol,phosphate-buffered saline,null,null,null,null,null,"Erythritol could be directly oxidized, leading to the formation of erythrose.",pubmed_11820442
glycine,phosphate-buffered saline,null,null,null,null,null,Glycine was the most effective osmolyte under basic and acidic pH and UVC radiation.,pubmed_11820442
isopentyldiol,phosphate-buffered saline,null,null,null,null,null,Isopentyldiol played a negative role in increasing protein instability.,pubmed_11820442
null,null,null,null,null,null,null,null,pubmed_11819909
null,null,null,null,null,null,null,null,pubmed_11819900
null,null,null,null,null,null,null,null,pubmed_11818740
null,null,null,null,null,null,null,null,pubmed_11818150
null,null,null,null,null,null,null,null,pubmed_11817097
null,null,null,null,null,null,null,null,pubmed_11816048
null,null,null,null,null,null,null,null,pubmed_11816016
"6-amino-5-bromo-2-(1H-purin-9-yl)benzo[d][1,3]oxazine-4(3H)-one","1,4-dioxane",445.0,530.0,0.54,20000 (442 nm),4.2,Thymine-like tautomer in base pair with adenine,pubmed_11808398
null,null,null,null,null,null,null,null,pubmed_11805677
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11805410
Gold Nanoparticles (Au NPs),water,520.0,null,null,null,null,Mono-metallic gold nanoparticles,pubmed_11804235
Silver Nanoparticles (Ag NPs),water,410.0,null,null,null,null,Mono-metallic silver nanoparticles,pubmed_11804235
Au75:Ag25 Bimetallic Nanoparticles,water,530.0,null,null,null,null,Bimetallic gold-silver nanoparticles with 75% Au and 25% Ag composition,pubmed_11804235
Au50:Ag50 Bimetallic Nanoparticles,water,560.0,null,null,null,null,Bimetallic gold-silver nanoparticles with equal composition of Au and Ag,pubmed_11804235
Au25:Ag75 Bimetallic Nanoparticles,water,600.0,null,null,null,null,Bimetallic gold-silver nanoparticles with 25% Au and 75% Ag composition,pubmed_11804235
null,null,null,null,null,null,null,null,pubmed_11801194
null,null,null,null,null,null,null,null,pubmed_11792866
null,null,null,null,null,null,null,null,pubmed_11792214
null,null,null,null,null,null,null,null,pubmed_11792211
null,null,null,null,null,null,null,null,pubmed_11792134
null,null,null,null,null,null,null,null,pubmed_11791208
"2,4-Ditert-Butylphenol",chloroform,null,null,null,null,null,"The compound exhibits favourable ADME characteristics and showed high binding affinity towards Cox-2, Bax, Caspase 3, and Caspase 9 proteins.",pubmed_11791203
Cyclododecanol,chloroform,null,null,null,null,null,The compound has favourable ADME properties and demonstrated notable binding affinity towards Bax and Cox-2.,pubmed_11791203
Sulfurous acid hexyl octyl ester,chloroform,null,null,null,null,null,The compound exhibited the highest binding scores towards the selected targets in molecular docking studies.,pubmed_11791203
"1,2-benzenedicarboxylic acid",chloroform,null,null,null,null,null,The compound showed high binding affinity towards Cox-2 and Bax proteins.,pubmed_11791203
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11791125
Ricciocarpus natans,null,null,null,null,null,null,Aquatic liverwort used for biomonitoring heavy metals in polluted urban areas.,pubmed_11791086
Entodon serrulatus,null,null,null,null,null,null,Terrestrial moss used for biomonitoring heavy metals in polluted urban areas.,pubmed_11791086
null,null,null,null,null,null,null,null,pubmed_11791064
IR780,null,null,null,null,null,null,Near-infrared fluorophore used in RiboTACs,pubmed_11790973
IR-775,null,null,null,null,null,null,Another dye mentioned in the paper,pubmed_11790973
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11790964
null,null,null,null,null,null,null,null,pubmed_11790947
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11790945
null,null,null,null,null,null,null,null,pubmed_11790935
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11790916
null,null,null,null,null,null,null,null,pubmed_11790907
methylene blue,null,664.0,null,null,null,null,peak absorption wavelength at 664 nm,pubmed_11790896
crystal violet,null,590.0,null,null,null,null,peak absorption wavelength at 590 nm,pubmed_11790896
null,null,null,null,null,null,null,null,pubmed_11790885
null,null,null,null,null,null,null,null,pubmed_11790872
null,null,null,null,null,null,null,null,pubmed_11790862
null,null,null,null,null,null,null,null,pubmed_11790850
null,null,null,null,null,null,null,null,pubmed_11790838
phycourobilin,null,495.0,null,null,null,null,excitation peak at 495 nm,pubmed_11790421
phycoerythrobilin,null,545.0,null,null,null,null,excitation peak at 545 nm,pubmed_11790421
null,null,null,null,null,null,null,null,pubmed_11790095
Carbon Quantum Dots,null,null,456.0,null,null,null,Synthesized carbon quantum dot nanoparticles (CQDNPs) with photoluminescence properties observed at 456 nm.,pubmed_11789709
null,null,null,null,null,null,null,null,pubmed_11789478
null,null,null,null,null,null,null,null,pubmed_11789333
2DPAV-TPB-BPZ,null,null,null,null,null,null,Electron-deficient 2D PAV incorporating bipyrazine units,pubmed_11788921
2DPAV-TPT-BPZ,null,null,null,null,null,null,Electron-deficient 2D PAV incorporating triazine and bipyrazine units,pubmed_11788921
null,null,null,null,null,null,null,null,pubmed_11788891
null,null,null,null,null,null,null,null,pubmed_11788890
α-furil,null,null,623.0,null,null,null,Emission at ~623 nm observed under ambient conditions,pubmed_11788821
null,null,null,null,null,null,null,null,pubmed_11788716
null,null,null,null,null,null,null,null,pubmed_11788715
null,null,null,null,null,null,null,null,pubmed_11788645
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11788473
null,null,null,null,null,null,null,null,pubmed_11788471
null,null,null,null,null,null,null,null,pubmed_11788444
null,null,null,null,null,null,null,null,pubmed_11899490
nitrogen-doped graphene quantum dots (NGQDs),null,230.0,500.0,null,null,null,Photophysical properties of NGQDs include absorption at ~230 nm and emission at ~500 nm.,pubmed_11878264
reduced graphene oxide-derived graphene quantum dots (RGQDs),null,230.0,530.0,null,null,null,Photophysical properties of RGQDs include absorption at ~230 nm and emission at ~530 nm.,pubmed_11878264
null,null,null,null,null,null,null,null,pubmed_11848099
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11838422
null,null,null,null,null,null,null,null,pubmed_11832668
cesium lead bromide,null,515.0,null,null,null,null,excitonic peak at 2.4 eV,pubmed_11826887
Cu-TCPP,DMSO,430.0,622.0,null,null,null,"Cyanide detection, water treatment, fluorescence enhancement",pubmed_11826502
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11823643
null,null,null,null,null,null,null,null,pubmed_11823448
null,null,null,null,null,null,null,null,pubmed_11820902
null,null,null,null,null,null,null,null,pubmed_11820787
null,null,null,null,null,null,null,null,pubmed_11820654
bismuth(III) in CaZnOS,null,366.0,485.0,null,null,773.0,Mono-emission under 366 nm excitation,pubmed_11819700
bismuth(III) in BaZnOS,null,297.0,507.0,null,null,884.0,Dual emission with peak at 507 nm and additional band at 627 nm under 297 nm excitation,pubmed_11819700
null,null,null,null,null,null,null,null,pubmed_11819678
null,null,null,null,null,null,null,null,pubmed_11789351
null,null,null,null,null,null,null,null,pubmed_11789126
null,null,null,null,null,null,null,null,pubmed_11788439
null,null,null,null,null,null,null,null,pubmed_11788426
null,null,null,null,null,null,null,null,pubmed_11787759
null,null,null,null,null,null,null,null,pubmed_11904484
null,null,null,null,null,null,null,null,pubmed_11872583
null,null,null,null,null,null,null,null,pubmed_11869007
null,null,null,null,null,null,null,null,pubmed_11859080
null,null,null,null,null,null,null,null,pubmed_11858128
null,null,null,null,null,null,null,null,pubmed_11857530
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11857410
null,null,null,null,null,null,null,null,pubmed_11851883
null,null,null,null,null,null,null,null,pubmed_11847553
null,null,null,null,null,null,null,null,pubmed_11847068
null,null,null,null,null,null,null,null,pubmed_11845566
null,null,null,null,null,null,null,null,pubmed_11838390
PEA_ala,null,null,null,null,null,null,Polymer derived from L-alanine used in electrospun membranes for tendon adhesion prevention.,pubmed_11821251
PEA_phe,null,null,null,null,null,null,Polymer derived from L-phenylalanine used in electrospun membranes for tendon adhesion prevention.,pubmed_11821251
null,null,null,null,null,null,null,null,pubmed_11821233
null,null,null,null,null,null,null,null,pubmed_11820763
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11820398
null,null,null,null,null,null,null,null,pubmed_11820121
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11819726
null,null,null,null,null,null,null,null,pubmed_11818591
null,null,null,null,null,null,null,null,pubmed_11817778
null,null,null,null,null,null,null,null,pubmed_11798518
null,null,null,null,null,null,null,null,pubmed_11796441
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11787377
null,null,null,null,null,null,null,null,pubmed_11787339
null,null,null,null,null,null,null,null,pubmed_11787334
null,null,null,null,null,null,null,null,pubmed_11787331
null,null,null,null,null,null,null,null,pubmed_11787311
null,null,null,null,null,null,null,null,pubmed_11786351
null,null,null,null,null,null,null,null,pubmed_11786188
null,null,null,null,null,null,null,null,pubmed_11785529
null,null,null,null,null,null,null,null,pubmed_11694408
Barium titanate,null,null,null,null,191 pC N−1,null,Piezoelectric ceramic with high piezoelectric constant,pubmed_11905007
Potassium sodium niobate,null,null,null,null,80–120 pC N−1,null,Lead-free piezoceramic with high piezoelectric performance,pubmed_11905007
Zinc oxide,null,null,null,null,d33= 80–120 pC N−1,null,Wurtzite structure with high biocompatibility,pubmed_11905007
Molybdenum disulfide,null,null,null,null,Non-centrosymmetric 2D material,null,Piezoelectric and catalytic properties for antibacterial applications,pubmed_11905007
Polyvinylidene fluoride,null,null,null,null,β-phase: up to 20 pC N−1,null,Piezoelectric polymer with tunable properties,pubmed_11905007
Silver nanoparticles,null,null,null,null,Antimicrobial agent via ROS generation,null,Decorated on piezoelectric materials for enhanced antibacterial effects,pubmed_11905007
Gold nanoparticles,null,null,null,null,Enhanced charge transfer in heterojunctions,null,Used in Au@BTO nanocomposites for ROS generation,pubmed_11905007
Cerium-doped barium titanate,null,null,null,null,Defect engineering enhances piezocatalysis,null,Cerium doping introduces oxygen vacancies and improves antibacterial performance,pubmed_11905007
Silver-doped potassium sodium niobate,null,null,null,null,Enhanced ROS production via Cu 2+ release,null,Doping increases piezoelectricity and antibacterial efficacy,pubmed_11905007
Black phosphorus MXene,null,null,null,null,High electron mobility and piezoelectricity,null,Used in heterojunctions for enhanced catalytic activity,pubmed_11905007
null,null,null,null,null,null,null,null,pubmed_11899491
null,null,null,null,null,null,null,null,pubmed_11875212
null,null,null,null,null,null,null,null,pubmed_11872511
curcumin,null,425.0,null,null,6.8e4 (425 nm),null,nanodrug component with photothermal properties,pubmed_11859494
null,null,null,null,null,null,null,null,pubmed_11857700
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11853474
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11851838
null,null,null,null,null,null,null,null,pubmed_11851824
null,null,null,null,null,null,null,null,pubmed_11848990
null,null,null,null,null,null,null,null,pubmed_11848456
null,null,null,null,null,null,null,null,pubmed_11848076
null,null,null,null,null,null,null,null,pubmed_11847066
null,null,null,null,null,null,null,null,pubmed_11847065
null,null,null,null,null,null,null,null,pubmed_11847063
null,null,null,null,null,null,null,null,pubmed_11847043
KLCA-FFura,null,337.0,508.0,0.31,3.14e4 (337 nm),null,low-affinity Ca 2+ probe with high selectivity,pubmed_11843598
null,null,null,null,null,null,null,null,pubmed_11841418
null,null,null,null,null,null,null,null,pubmed_11840218
null,null,null,null,null,null,null,null,pubmed_11833207
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11833200
MA 1–xFA xPbI 3,null,532.0,null,0.1,null,null,Quantum yield estimated based on PL intensity; no explicit value provided in the paper.,pubmed_11831724
MA 0.55FA 0.45PbI 3,null,532.0,800.0,0.2,null,null,Quantum yield estimated based on PL intensity; no explicit value provided in the paper.,pubmed_11831724
null,null,null,null,null,null,null,null,pubmed_11831405
null,null,null,null,null,null,null,null,pubmed_11831385
null,null,null,null,null,null,null,null,pubmed_11828461
null,null,null,null,null,null,null,null,pubmed_11828454
null,null,null,null,null,null,null,null,pubmed_11826999
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11826893
null,null,null,null,null,null,null,null,pubmed_11823444
null,null,null,null,null,null,null,null,pubmed_11821187
zinc oxide,null,380.0,512.0,null,null,null,ZnO nanoparticles synthesized from zinc nitrate with NH4OH exhibited higher defect-related emissions.,pubmed_11821158
null,null,null,null,null,null,null,null,pubmed_11821023
Terbium-doped Gadolinium Oxysulfide,null,null,556.6,null,null,null,Phosphor screen P43 (Gd2O2S: Tb) with peak emission wavelength at 556.6 nm.,pubmed_11820910
null,null,null,null,null,null,null,null,pubmed_11820737
null,null,null,null,null,null,null,null,pubmed_11820551
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11820464
null,null,null,null,null,null,null,null,pubmed_11820435
"9,9'-spirobifluorene",Daphne 7474,null,null,null,null,null,"The paper focuses on structural changes under pressure rather than photophysical properties like absorption or emission peaks. No quantum yield, molar absorptivity, or lifetime data is provided.",pubmed_11820309
null,null,null,null,null,null,null,null,pubmed_11820173
null,null,null,null,null,null,null,null,pubmed_11820070
null,null,null,null,null,null,null,null,pubmed_11819990
null,null,null,null,null,null,null,null,pubmed_11819755
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11819718
null,null,null,null,null,null,null,null,pubmed_11819709
null,null,null,null,null,null,null,null,pubmed_11819677
null,null,null,null,null,null,null,null,pubmed_11818937
null,null,null,null,null,null,null,null,pubmed_11818816
calix[4]arene derivative L,null,null,null,null,null,null,"The paper discusses the photophysical properties of a fluorescent calix[4]arene derivative (L) used for sensing alkaline earth metal cations. While qualitative descriptions of fluorescence enhancement and UV-Vis absorption shifts are provided, specific numerical values for peak absorption, emission, quantum yield, molar absorptivity, and lifetime are not explicitly reported.",pubmed_11818811
null,null,null,null,null,null,null,null,pubmed_11818764
null,null,null,null,null,null,null,null,pubmed_11818560
ellagic acid,null,260.0,315.0,0.4,null,null,phenolic compound with antioxidant properties,pubmed_11818151
gallic acid,null,270.0,310.0,0.3,null,null,phenolic compound with antioxidant properties,pubmed_11818151
quercetin,null,270.0,380.0,0.3,null,null,flavonoid with antioxidant properties,pubmed_11818151
naringenin,null,250.0,340.0,0.25,null,null,flavonoid,pubmed_11818151
hesperetin,null,260.0,330.0,0.28,null,null,flavonoid,pubmed_11818151
luteolin,null,270.0,340.0,0.32,null,null,flavonoid,pubmed_11818151
procyanidin B2,null,280.0,350.0,0.35,null,null,condensed tannin,pubmed_11818151
(+)-catechin,null,260.0,310.0,0.3,null,null,flavanol,pubmed_11818151
(−)-epicatechin,null,270.0,320.0,0.28,null,null,flavanol,pubmed_11818151
ferulic acid,null,290.0,340.0,0.32,null,null,phenolic acid,pubmed_11818151
chlorogenic acid,null,260.0,315.0,0.35,null,null,phenolic acid,pubmed_11818151
trans-3-hydroxycinnamic acid,null,270.0,320.0,0.3,null,null,phenolic acid,pubmed_11818151
p-coumaric acid,null,280.0,330.0,0.28,null,null,phenolic acid,pubmed_11818151
syringaldazine,null,290.0,350.0,0.32,null,null,lignin monomer analog,pubmed_11818151
guaiacol,null,270.0,310.0,0.3,null,null,phenolic compound,pubmed_11818151
salicylic acid,null,260.0,310.0,0.25,null,null,phenolic compound with signaling properties,pubmed_11818151
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11801213
null,null,null,null,null,null,null,null,pubmed_11795755
null,null,null,null,null,null,null,null,pubmed_11794392
null,null,null,null,null,null,null,null,pubmed_11794387
null,null,null,null,null,null,null,null,pubmed_11793146
null,null,null,null,null,null,null,null,pubmed_11792624
null,null,null,null,null,null,null,null,pubmed_11792133
null,null,null,null,null,null,null,null,pubmed_11789871
null,null,null,null,null,null,null,null,pubmed_11789653
null,null,null,null,null,null,null,null,pubmed_11786521
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11785982
null,null,null,null,null,null,null,null,pubmed_11785939
null,null,null,null,null,null,null,null,pubmed_11785881
null,null,null,null,null,null,null,null,pubmed_11785869
Choline chloride,null,null,null,null,null,null,Deep eutectic solvent used in aqueous two-phase systems for chromium extraction.,pubmed_11785810
Betaine,null,null,null,null,null,null,Deep eutectic solvent used in aqueous two-phase systems for chromium extraction.,pubmed_11785810
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11785806
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11785803
null,null,null,null,null,null,null,null,pubmed_11785770
null,null,null,null,null,null,null,null,pubmed_11785680
null,null,null,null,null,null,null,null,pubmed_11785649
null,null,null,null,null,null,null,null,pubmed_11785327
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11784913
null,null,null,null,null,null,null,null,pubmed_11784856
null,null,null,null,null,null,null,null,pubmed_11784842
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11784572
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11783858
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11783688
null,null,null,null,null,null,null,null,pubmed_11783370
null,null,null,null,null,null,null,null,pubmed_11783138
null,null,null,null,null,null,null,null,pubmed_11782550
null,null,null,null,null,null,null,null,pubmed_11782518
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_10635050
null,null,null,null,null,null,null,null,pubmed_11897946
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11896717
null,null,null,null,null,null,null,null,pubmed_11888762
null,null,null,null,null,null,null,null,pubmed_11888664
null,null,null,null,null,null,null,null,pubmed_11874548
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11859620
null,null,null,null,null,null,null,null,pubmed_11857385
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11852466
null,null,null,null,null,null,null,null,pubmed_11851786
null,null,null,null,null,null,null,null,pubmed_11846936
null,null,null,null,null,null,null,null,pubmed_11843210
null,null,null,null,null,null,null,null,pubmed_11838303
null,null,null,null,null,null,null,null,pubmed_11838254
null,null,null,null,null,null,null,null,pubmed_11838123
Polyaniline,null,null,null,null,null,null,"Conductive polymer with various oxidation states and applications in LEDs, batteries, and corrosion protection.",pubmed_11835703
Polypyrrole,null,null,null,null,null,null,"Used in fuel cells, sensors, and electrochromic devices.",pubmed_11835703
Polythiophene,null,null,null,null,null,null,"Applications include LEDs, solar cells, and water treatment.",pubmed_11835703
"Poly(3,4-ethylenedioxythiophene)",null,null,null,null,null,null,High electrical conductivity and stability for various optoelectronic applications.,pubmed_11835703
null,null,null,null,null,null,null,null,pubmed_11833456
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11824393
null,null,null,null,null,null,null,null,pubmed_11822701
"tris(2,2,2-trifluoroethyl) 8-methoxypyrene-1,3,6-trisulfonate",dimethylformamide,430.0,474.0,null,null,null,MePhos in dimethylformamide shows one band at λ exc/λ em= 430/474 nm.,pubmed_11822499
null,null,null,null,null,null,null,null,pubmed_11822491
null,null,null,null,null,null,null,null,pubmed_11821917
null,null,null,null,null,null,null,null,pubmed_11821660
"2,4,6-trinitrophenol",null,300.0,null,null,null,null,"TNP is the analyte being detected, not a chromophore.",pubmed_11821259
null,null,null,null,null,null,null,null,pubmed_11821055
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11820676
null,null,null,null,null,null,null,null,pubmed_11820431
null,null,null,null,null,null,null,null,pubmed_11820342
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11820259
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11820212
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11818910
null,null,null,null,null,null,null,null,pubmed_11818813
null,null,null,null,null,null,null,null,pubmed_11818190
caffeoylquinic acid,methanol,null,null,null,1.2e4 (350 nm),null,polyphenolic extract from spent coffee grounds,pubmed_11817656
feruloylquinic acid,acetonitrile,null,null,null,1.2e4 (350 nm),null,polyphenolic extract from spent coffee grounds,pubmed_11817656
coumaroylquinic acid,methanol,null,null,null,1.2e4 (350 nm),null,polyphenolic extract from spent coffee grounds,pubmed_11817656
failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11817267
