mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TP/TN/FP/FN,Notes,rand
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11278649,,,0.7317214056
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10854009,,,0.7311702487
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9r9hl,,,0.4160832497
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10795182,,,0.3391912212
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-22kh4-v2,,,0.6865741748
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-2smhk,,,0.2213096162
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10871534,,,0.2685114413
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-lkdf3,,,0.1850698986
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0jfnj,,,0.4331188097
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11050524,,,0.8354024563
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-9p6j7,,,0.5485545942
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10909854,,,0.659343004
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-kj4ts,,,0.9991789002
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10823341,,,0.182531809
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2212.08329v1,,,0.7223550864
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_1811.04076v1,,,0.5923903398
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-6dcr9-v3,,,0.9204254395
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l4jb4,,,0.2038290487
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-cvhtp,,,0.5744060634
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-8j991,,,0.8590101253
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-smhv5,,,0.5773285653
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11093717,,,0.3059957852
Metal-Organic Frameworks (MOFs) Study,Zn,TBAPy,Cubic,P 21/c,785.26,0.118,199.05,Synthesis of the pyrene ligand and MOFs,Up to 300 °C,Stable in acidic conditions,Adsorption of CO2 for carbon capture applications,RCSR symbols like pcu,High adsorption capacity at low pressures,pubmed_11261566,,,0.1356158082
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1311.5470v1,,,0.7612528498
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11172994,,,0.5823044605
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-wmrjp,,,0.6978139605
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11234876,,,0.0739081276
null,null,null,null,null,null,null,null,null,null,null,null,null,null,unpaywall_10.21203_SLASH_rs.3.rs-373949_SLASH_v2,,,0.1126953186
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-fzj5t,,,0.4351043925
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7z779,,,0.0291394652
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-3fw8h,,,0.0192094257
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v0c16-v2,,,0.1023751535
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11206574,,,0.1601000377
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10708479,,,0.5830209835
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2309.06933v2,,,0.6771806572
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2301.03711v1,,,0.9869614462
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4h71w,,,0.2807196784
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10822999,,,0.2345046944
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10900526,,,0.6466357289
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qtzzd,,,0.9254966076
CuFeNPZEAGr,Cu-Fe,Poly (vinyl alcohol),cubic,P2 1/c c a b z,6257.71,1.25,8.75,sol-gel spin coating technique,up to 400°C,"stable in acidic, basic, and water environments","dopamine detection, electrochemical sensing",pcu,"high surface area, improved electrical conductivity",pubmed_10559056,,,0.8665250109
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1710.10182v2,,,0.6996023066
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-24nj1,,,0.0070423719
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-xtdd6,,,0.0504525399
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-hn6n1,,,0.6824839017
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-l6d0r,,,0.6062407836
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-2vdkt,,,0.9703190145
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_2107.09543v2,,,0.0096365518
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-689vs-v4,,,0.5078301698
mof_name,null,null,null,null,6283.88,1.71,156.37,electrochemical approach,up to 80 °C (stability not mentioned),"stable in acidic and basic conditions, soluble in organic solvents but insoluble in water at room temperature",biosensors for detecting carcinoembryonic antigen (CEA),dia,"high surface area, high interconnected porosity facilitating biosensor function",pubmed_10458010,,,0.6531223408
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7knv8,,,0.3401724391
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wgz7k,,,0.6150874419
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10817689,,,0.4769453018
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11088785,,,0.3843881993
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-lfr2x,,,0.1038720119
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-sd146-v2,,,0.7313603172
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10726742,,,0.5262551599
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hnqvz,,,0.1310359335
DBIA-CsPbBr3,CsPbBr3,dibromoisocyanuric acid,orthorhombic,P2_1/c,9850.65,4.2,27.35,hot injection methods,up to 300 °C under air,stable in non-aqueous media and inert atmospheres,synthesis of diaryl sulfides and selenides via C-H chalcogenation,pcu,high stability due to fewer crystal defects and higher bromide ion ratios,chemrxiv_10.26434_SLASH_chemrxiv-2023-rs2zh,,,0.8807842366
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11117098,,,0.8366929393
ML-DPBF,methane,O-(CH2)2-O-,cubic,P-1,4129.65,3.7,183.46,covalent connection of two chromophore units using -O-(CH2)2-O- linkers,>= 300 °C,stable in acidic and basic environments,promising for singlet fission applications,pcu,"large S∗-T T effective coupling, small energy gap between bright excitonic state (S∗_2) and triplet state",chemrxiv_10.26434_SLASH_chemrxiv-2023-l5l62,,,0.4610468911
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11311626,,,0.4295676111
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11122666,,,0.6462427685
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10739893,,,0.7133776853
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-13w9r,,,0.6977637566
rGO/PPy/PUF1-BHP,Graphene oxide,Polyurethane foam,Cubic,P 2_1/c,8963.7,1.87,89.6,Biaxial hot pressing,High biaxial stretchability and negative Poisson’s ratios,Reentrant porous structures,Smart thermal management and smart EMI shielding,Negative Poisson’s ratios during stretching,"Flexible electronics, thermal management, EMI shielding",chemrxiv_10.26434_SLASH_chemrxiv-2023-wck4d,,,0.2562263012
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10762333,,,0.639149473
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10780149,,,0.5297191723
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11070169,,,0.3853084531
diafiltration technique,poly(4-vinylbenzyl) trimethylammonium chloride,(4-vinylbenzyl)-trimethylammonium chloride,null,"cubic,null",2089.37,1.65,111.2,free radical polymerization using (4-vinylbenzyl)-trimethylammonium chloride as monomer,up to 300°C in water-based solution,stable under acidic and basic conditions but sensitive to high temperatures,removal of oxytetracycline from aqueous solutions for aquaculture use,pcu,null,pubmed_10608924,,,0.2670192688
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11124334,,,0.4251398284
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11314816,,,0.2799678524
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10938921,,,0.1827791159
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11246507,,,0.40819804
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-r4x57,,,0.9386600917
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11121276,,,0.1018955528
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-r9c2g,,,0.6473269253
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10811484,,,0.3926600842
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11041621,,,0.3194838781
mof_name,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1112.1783v2,,,0.2276713203
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-rrvb6-v2,,,0.6917671973
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10909671,,,0.1585504655
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11124280,,,0.2602462191
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-571kp,,,0.9686411757
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10511194,,,0.2104121305
Unspecified,Unspecified,Unspecified,Unknown,Unknown,null,null,null,None specified,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,chemrxiv_10.26434_SLASH_chemrxiv-2024-h5m89,,,0.6987419163
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11089749,,,0.8452172985
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10770064,,,0.7479276035
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10897157,,,0.6947050006
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10965901,,,0.2204230709
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11304732,,,0.2128895575
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-6l2r1-v2,,,0.9716811602
19MgCl2/4TiCl4/5DEP,TiCl4,DEP,cubic,P 2_1/c,null,null,null,GA-based structure determination,>300 °C,air-sensitive,propylene polymerization,pcu,"DEP's chelation and bridging adsorption on MgCl2 surfaces promotes specific surface motifs, increasing the exposure of {110} surfaces and number of sharp edges. The multiplicity of adsorption modes leads to structural diversity.",chemrxiv_10.26434_SLASH_chemrxiv-2023-mrrgq,,,0.3893638221
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11186733,,,0.8848859586
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-4pl7l-v2,,,0.3672546002
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11181279,,,0.2327596343
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qdcth,,,0.7412847457
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-c44ls,,,0.7014988931
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10975351,,,0.4819556139
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-h754f,,,0.9838003207
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10663882,,,0.4149733826
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10817683,,,0.071185959
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_2303.01748v2,,,0.925611876
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-pv443,,,0.0225251105
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-0jxr0-v2,,,0.3194692286
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11280918,,,0.5091941163
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-sgszv,,,0.6848010065
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jdtlw,,,0.8055501634
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10881831,,,0.7021337282
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hj928-v2,,,0.5805084805
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10763661,,,0.4732005461
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-n59fn-v2,,,0.5853954691
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-38km6,,,0.7855663325
Keto–Enamine-Linked COFs,Metal ions/Clusters,Organic Linkers,Cubic,P 2_1/c,3291.29,0.51,87.73,Solvothermal synthesis,>400 °C,"Stable in acidic, basic, and water environments",Photocatalytic hydrogen evolution,pcu,"Extended π-conjugation, narrowed energy band gaps, enhanced light harvesting, charge separation between donor and acceptor branches",pubmed_10751766,,,0.1804123849
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-0bdn8,,,0.1333483916
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2022-p98xq,,,0.8428297201
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11268468,,,0.7965848604
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10688207,,,0.094154842
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-rf0bz,,,0.8582558429
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-s0s5d,,,0.7303865314
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10901830,,,0.8780040785
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-hw4rb,,,0.5288230455
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_1811.08138v1,,,0.1353917082
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11143175,,,0.4758275147
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10482793,,,0.9208679982
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10897937,,,0.9164470239
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qh6p6,,,0.0903284124
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-fql5t,,,0.3289201946
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-qx7tc,,,0.8368156648
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11186260,,,0.8158349001
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_2102.12553v1,,,0.6562778719
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-vd0b0-v2,,,0.8890780765
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11211356,,,0.3562725422
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11173752,,,0.3652207863
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-gb366,,,0.6133647861
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-v4hx2,,,0.1903001163
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10452855,,,0.691173174
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10707772,,,0.1926143121
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-7fx36,,,0.1620983954
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11213909,,,0.4635975207
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-b1pt5,,,0.4661842068
UiO-66-NH_2,Zr,terephthalic acid,cubic,P 21/c,7839.21,2.18,112.42,microwave-assisted synthesis,up to 500 °C,"stable in acidic, basic, and water environments",hydrogenation of alkenes,pcu,highly defective Pd@UiO-66-NH_2 synthesized via microwave-assisted method for enhanced catalytic properties,pubmed_11082845,,,0.0640708373
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-501qf,,,0.3170893921
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11177942,,,0.0603385207
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-5jml9,,,0.2171826749
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-bzlvv-v2,,,0.0331473588
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-71mvq,,,0.3569446721
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-dgnb2,,,0.2243857204
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-0qf21,,,0.9868467406
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-jpw0c,,,0.8278131175
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10961307,,,0.3113807028
Fe0.1Ni0.9O,nickel chloride,ethanol/acetone,null,cubic,null,null,null,solution combustion synthesis,null,null,null,null,no information found,chemrxiv_10.26434_SLASH_chemrxiv-2024-69059,,,0.8172098096
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-xl6xb,,,0.4065655505
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2402.03617v1,,,0.4788906777
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-24hdp,,,0.4486878768
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-pnm11,,,0.313747162
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10818847,,,0.4167091611
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10745703,,,0.0110605406
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11238307,,,0.1877112943
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11312858,,,0.310301549
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-h8ddb-v2,,,0.6092349165
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11256156,,,0.2994637841
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10934795,,,0.9039191797
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-nkftl,,,0.1256754275
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-5jfcv-v2,,,0.7540020945
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11005726,,,0.7044350239
null,null,null,null,null,null,null,null,null,null,null,null,null,null,arxiv_2111.00272v3,,,0.3505060188
mof_name,null,null,null,P-65,8963.9,0.63,138.78,null,null,null,null,null,null,pubmed_10648225,,,0.8125305844
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-4l3t8,,,0.8889832264
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-n0zz0,,,0.1375729968
Fe-MOF/non-firing aluminosilicate membranes,Fe,SiO2,tetragonal,P4_1/c,null,null,null,non-firing ceramics,null,null,enhancing pesticide filtration and phytochrome removal,pcu,null,pubmed_11173857,,,0.9347330043
mof_name,Naringenin-7-O-glucoside,Prunin,Tetragonal,P4_1/22,563.89,0.95,11.34,AutoDock Vina 1.2.0,Stable up to 350°C,"Resistant in acidic, basic, and water environments",Potential for treating COVID-19-induced lung inflammation and long-haul COVID,RCSR symbol: dia,"Additional properties include antioxidant, antiviral, antibacterial, antimalarial, anticancer effects",chemrxiv_10.26434_SLASH_chemrxiv-2023-4bddw,,,0.6698396744
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11013431,,,0.866322878
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11252300,,,0.4100733155
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10457996,,,0.0997958779
alumina NPMBs,Aluminum,Graphene Oxide (GO),Cubic,P 21/c,null,null,35,Two-step electrochemical anodization technique,Above 400°C,"Resistant to acidic and basic environments, stable in water",Drug delivery systems for controlled release of drugs like donepezil HCl,pcu,Enhanced antifouling properties through GO-MOF impregnated polymer coatings,pubmed_10970893,,,0.2791020924
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-8sc71,,,0.4274479104
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10435461,,,0.9201607308
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-8g61h,,,0.2374515701
NiGraf,nickel,graphene oxide,cubic,P2_1/c,7571.29,2.17,79.9,half-cell experiments for HER and OER in alkaline media,up to 80°C,"stable in acidic, basic, water environments",enhanced electrolysis of water,pcu,"high catalytic activity for both HER and OER, scalable fabrication via easy processes",chemrxiv_10.26434_SLASH_chemrxiv-2023-jzd4r,,,0.0529395421
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-s8fkr,,,0.0019798214
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-vl26d,,,0.6096502992
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-kjrbc-v4,,,0.2351251857
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10460864,,,0.7838405438
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-4x7kx,,,0.7381235049
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2022-hdxdn-v4,,,0.8990058003
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10816811,,,0.7682130921
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-tvnh2,,,0.9388129518
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10856716,,,0.445202878
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-wfqmg,,,0.5670948164
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-nnw1v-v2,,,0.2979687501
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10893255,,,0.6730254211
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2023-xrnp5,,,0.4468508849
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11219424,,,0.7198219423
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11261892,,,0.1744254641
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10823098,,,0.7691772082
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,arxiv_1708.04236v2,,,0.6157318307
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2023-f88g9,,,0.9249146634
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_10938447,,,0.5357177739
null,null,null,null,null,null,null,null,null,null,null,null,null,null,chemrxiv_10.26434_SLASH_chemrxiv-2024-c25fk,,,0.693482484
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11172079,,,0.4248587689
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,chemrxiv_10.26434_SLASH_chemrxiv-2024-s1whk,,,0.1469179885
