mof_name,metal_center,organic_linker,crystal_system,space_group,surface_area,pore_volume,pore_size,synthesis_method,thermal_stability,chemical_stability,applications,topology_code,additional_properties,paper,TFPN,Notes,rand
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901711,,,0.8845155726
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858249,,,0.6453272144
HKUST-1,Cu,"Benzene-1,3,5-tricarboxylic acid",null,null,null,null,null,null,null,High stability in water,Oil/water separation,null,"Hydrophilicity, high stability in water, photocatalytic activity",pubmed_11886428,,,0.3939596904
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905209,,,0.3725353053
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11844257,,,0.2882812251
dia,Zn²⁺,"1,4-benzenedicarboxylate (BDC)",null,null,null,null,null,Solvothermal synthesis,null,Moderately stable under dry conditions; prone to hydrolysis in humid environments,CO2 capture and separation in mixed matrix membranes (MMMs),null,null,pubmed_11833178,,,0.2814333015
Ni- COF366/ CNT,Ni,COF-366 (phthalocyanine-based),null,null,null,null,null,Solvothermal synthesis followed by metalation using Ni acetate salt in methanol-chloroform-DIMAC mixture under argon atmosphere at 80 °C for 24 h,null,Stable in acidic and alkaline conditions,Oxygen reduction reaction (ORR) catalysis in proton exchange membrane fuel cells (PEMFCs) and metal-air batteries,null,Well-defined atomic structure with single-atom Ni centers and improved dispersion of active sites,pubmed_11848820,,,0.1182257917
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11891840,,,0.3038881088
Mn-Organic Framework,Mn²⁺,"2,5-dihydroxyterephthalic acid (DHTA)",cubic,Fm3̄m,200.4,null,58,Hydrothermal synthesis followed by annealing,null,Stable in aqueous environments,Cathode material for aqueous zinc-ion batteries,null,"High surface area, strong MnO-C interactions",pubmed_11848712,,,0.9348039581
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11865906,,,0.8097687673
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11870384,,,0.1589902677
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858423,,,0.0142635754
DCMH,CuCl₂·2H₂O,"Metformin (Met), α-cyano-4-hydroxycinnamic acid (CHCA)",null,null,46.28,1.5,null,"Solvothermal method using CuCl₂·2H₂O, CHCA, and Met in a mixed solvent of water and ethanol with triethylamine as catalyst",null,null,Cancer therapy through synergistic chemo/chemodynamic therapy by remodeling the tumor microenvironment,null,"High loading efficiency (8.12%) and encapsulation efficiency (48.63%), good stability in physiological solutions",pubmed_11837371,,,0.2837908024
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11900449,,,0.404146346
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859980,,,0.9674161477
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904666,,,0.5310528683
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11883404,,,0.6226119082
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11826846,,,0.4548886458
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901876,,,0.5968867582
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11857507,,,0.3820027681
compound_1,[Ni5S6],2-(2-benzimidazolyl)ethanethiol,monoclinic,C2/c,null,null,null,hydrothermal,"room temperature-~100 °C, decomposition at ~330-500 °C",null,iodine adsorption,null,"high iodine adsorption capacity (2.08 g/g for gaseous and 560 mg/g for solution), excellent reusability after several cycles",pubmed_11901886,,,0.6989346449
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904881,,,0.9069388835
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851809,,,0.8533980071
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861530,,,0.7721655383
example_organic_linker,example_metal_center,null,null,null,null,null,null,example_synthesis_method,example_thermal_stability,example_chemical_stability,example_applications,example_topology_code,example_additional_properties,pubmed_11872572,,,0.9262683736
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11835777,,,0.8590360153
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11912327,,,0.9634991672
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11877417,,,0.6652552024
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887472,,,0.0351325769
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11860020,,,0.4423911499
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11828699,,,0.3137281544
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11841485,,,0.1231981285
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11867967,,,0.8243937138
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858424,,,0.3360771576
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11822184,,,0.2972028176
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11897126,,,0.3958662297
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11880720,,,0.5584143342
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11905824,,,0.2614159994
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11897165,,,0.5578452167
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901564,,,0.8219280138
MIL-101(Cr)-PY,Cr,pyridine (-PY),null,null,null,null,null,null,null,null,degradation of methylene blue (MB),null,null,pubmed_11901548,,,0.1857648508
DUT-8(Ni),Ni,"ndc, dabco",null,null,null,null,null,null,null,sensitive to water and alcohols,null,null,exhibits gating behavior,pubmed_11912024,,,0.5759869504
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11846537,,,0.1814855372
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859077,,,0.9514742622
TpPa-SCOF-An,null,"p-phenylenediamine (Pa), 2,4,6-triformylphloroglucinol (Tp)",null,null,933,null,null,Two-step synthesis involving precipitation polymerization followed by solvothermal treatment,null,null,Photocatalytic hydrogen production,null,High surface area and enhanced crystallinity on the surface,pubmed_11850636,,,0.3815821132
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901204,,,0.2851363739
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894209,,,0.8841188145
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858230,,,0.3395597078
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901451,,,0.4798901554
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858819,,,0.986462065
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904201,,,0.5431993927
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11871933,,,0.7544403519
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11913253,,,0.9000547703
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11897657,,,0.1255886364
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11893797,,,0.1438724427
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11851274,,,0.4397112217
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11822353,,,0.8531968542
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886654,,,0.694921365
no_data_found,no_data_found,no_data_found,no_data_found,no_data_found,null,null,null,no_data_found,no_data_found,no_data_found,no_data_found,no_data_found,no_data_found,pubmed_11839462,,,0.0205952921
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858931,,,0.3955706779
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858096,,,0.4511944747
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904652,,,0.4506068474
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858908,,,0.1692710188
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11863789,,,0.7320647521
Lithium-phosphide double helices,"Li, P",null,null,null,null,null,null,Periodic DFT calculations,null,Stable semiconducting framework,Hydrogen storage,null,9.6 wt% hydrogen storage capacity,pubmed_11850393,,,0.7717556639
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861699,,,0.1088895132
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11908496,,,0.9265141948
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902263,,,0.4345327418
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11880057,,,0.2700120199
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11885248,,,0.7030485615
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11885775,,,0.6008371559
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11860079,,,0.768234561
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11809189,,,0.6026754931
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901602,,,0.7836702624
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11840664,,,0.9440940034
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886614,,,0.5629620503
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887813,,,0.6592022944
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11907402,,,0.1685563268
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11830034,,,0.6699736067
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11877513,,,0.7955745251
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11854172,,,0.8227835626
MOF-Phosphate Glass Composite,Titanium (Ti),2-Aminoterephthalate (NH₂BDC),null,null,327,null,null,"Composite formed by combining Ti-MOF with phosphate glass through ball milling, pelletization, and thermal treatment at 180 °C",null,null,"Gas sorption, photocatalysis for amine oxidation to imines",fcu (face-centered cubic unit cell),null,pubmed_11912187,,,0.6982371856
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11835391,,,0.2356577977
Zn-TCPP,Zinc (Zn),Tetrakis(4-carboxyphenyl)porphyrin (TCPP),null,null,null,null,null,"Synthesized using PVP, Zn(NO3)2·6H2O, pyrazine, and TCPP in a DMF/ethanol mixture under reflux conditions at 80°C for 16 hours",null,null,"sono-gene therapy, CRISPRa delivery, obesity treatment",null,Used as a carrier for CRISPRa-UCP1 plasmid and singlet oxygen generation under ultrasound,pubmed_11811159,,,0.5571987755
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901709,,,0.6560732352
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887487,,,0.1682097772
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11855478,,,0.3451172188
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887062,,,0.378538291
ZIF-8,Zn(II),null,null,null,null,null,null,Solventothermal synthesis,null,null,Detection of metronidazole in pharmaceutical samples,null,null,pubmed_11833170,,,0.6438292267
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858107,,,0.0170727377
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902573,,,0.3304012564
MIL-88B(Fe),Iron,Terephthalic acid,null,null,null,null,null,Solvothermal synthesis using FeCl3·6H2O and terephthalic acid in DMF with NaOH,Good thermal stability up to 380°C,null,"Oil bleaching, specifically for Idesia polycarpaMaxim. oil",null,"High porosity, tunable pore structure, good reusability after regeneration",pubmed_11898808,,,0.1795388556
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11885230,,,0.2943439793
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891339,,,0.7429462415
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11863959,,,0.006227114
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11840672,,,0.816746305
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11869165,,,0.0019627947
ZIF-9,Co,benzimidazole (bml),null,null,75.38,null,null,solvothermal synthesis,thermal stability up to 580 °C,stable in neutral pH conditions,"photocatalysis for water treatment, degradation of methylene blue under visible and UVA light",null,"high surface area, photocatalytic activity",pubmed_11868913,,,0.9381460063
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11874039,,,0.6846596531
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859861,,,0.6511625601
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11828348,,,0.887200648
ZIF-8,Zn²⁺,2-methylimidazole,null,null,544.48,null,null,In situ mineralization of ZIF-8 onto bacterial cellulose,Up to 600 °C,High chemical stability in aqueous environments,Wastewater treatment (adsorption of Congo red and Cu²⁺ ions),pcu,"High specific surface area, hierarchical porosity, excellent adsorption capacity, reusability, selectivity",pubmed_11901442,,,0.1235963146
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11857295,,,0.3360727425
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904243,,,0.2932047676
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11907296,,,0.645343174
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11840010,,,0.7830306571
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11855543,,,0.8166079607
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891841,,,0.7952373887
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11904600,,,0.1822028994
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11864181,,,0.2018986386
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873543,,,0.2632778992
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11876544,,,0.3582118833
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902826,,,0.152793804
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11874011,,,0.2081118596
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859697,,,0.223838324
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858120,,,0.8748084139
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11887045,,,0.0350985778
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11886651,,,0.5963528845
K₃GaF₆:Er³+,"Ga, Er",null,cubic,null,null,null,null,co-precipitation,null,null,"biological imaging, laser displays, optical sensing",null,upconversion luminescence,pubmed_11858277,,,0.2969741591
γ-Graphyne nanotubes (γ-GNT),"B, N-doped carbon framework",Graphyne framework,null,null,null,null,null,Functionalization with OLi2 at boron-doped sites,null,Chemical stability under adsorption conditions,Hydrogen storage,null,Enhanced hydrogen binding energies,pubmed_11850393,,,0.3904048908
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11829892,,,0.379455213
NU-2000,[Al(OH)] cluster,"bicyclo[2.2.2]octane-1,4-dicarboxylate (BODCA)",null,null,null,null,null,null,null,null,"gas storage, catalysis, separations",sra,"high mechanical stability, reduced flexibility",pubmed_11808794,,,0.1749308601
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901863,,,0.2152177508
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11877942,,,0.7504651537
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11836329,,,0.0105060148
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902688,,,0.013959036
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11901484,,,0.6820506307
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902470,,,0.8706955251
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902495,,,0.6522610972
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11811728,,,0.2227972716
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11879985,,,0.3271617303
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858398,,,0.7351518143
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11909133,,,0.0316957256
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11859541,,,0.7310784874
Ti-TCPP MOF,Ti,TCPP (tetracarboxylphthalocyanine),hexagonal,null,513,0.24,null,solvothermal synthesis,thermal stability up to 300°C,stable in acidic and basic conditions,"nitrogen reduction reaction, energy conversion",dia,"high conductivity, redox-active ligands",pubmed_11886991,,,0.957473808
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11880608,,,0.7975527889
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11871205,,,0.2639727818
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11840952,,,0.322889721
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859955,,,0.2220874561
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11865426,,,0.4083582617
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11836431,,,0.1739112011
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11853894,,,0.9348940859
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11851780,,,0.2377834946
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11899533,,,0.4028231925
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11894251,,,0.6436302485
SG-1,null,TAPB and PDA,null,null,1897,null,null,Self-sacrificing guest strategy involving impregnation with ammonium bicarbonate followed by activation,null,High stability in water without residual guest molecules,Adsorption of per- and polyfluoroalkyl substances (PFAS),null,High crystallinity and porosity,pubmed_11868610,,,0.4375386629
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851414,,,0.9786802079
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11869280,,,0.9377356688
AuNPs@G4-SNAzyme,Au,null,null,null,null,null,null,nanoprobe for cTnI detection,null,null,detection of cardiac biomarkers for myocardial infarction diagnosis,null,null,pubmed_11829642,,,0.2782570717
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11851964,,,0.0643697463
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11878011,,,0.3123204971
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861102,,,0.1341029024
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902809,,,0.3001181225
Cs2Mo6Br14,Mo,null,octahedral,P3m1,null,null,17.5,encapsulation within SWCNTs via melting method,null,null,"imaging, sensing, telecommunications",pcu,formation of [Mo2Br6] chains and changes in vibrational properties upon encapsulation,pubmed_11887431,,,0.242045332
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11813723,,,0.2861521
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11912178,,,0.1515587338
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886957,,,0.5830312476
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11891648,,,0.5458845058
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11852683,,,0.1129380206
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11861087,,,0.3528334666
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902015,,,0.4658091324
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11902838,,,0.9878182523
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11822182,,,0.20498387
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11813985,,,0.2538491492
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11850552,,,0.0013732042
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11821909,,,0.5678957843
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11842831,,,0.9052425697
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11843543,,,0.6772616974
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11836371,,,0.9313346695
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11850804,,,0.1989474786
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11875313,,,0.2378372168
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11903330,,,0.394534742
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11825869,,,0.5193597495
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11866049,,,0.0571643827
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11893043,,,0.6847698721
SCOF-2,null,"benzene-1,4-diamine (Pa), 2,5-diaminobenzenesulfonic acid (Pa-SO3H)",null,null,57,null,1.4,Schiff base reaction,up to 800 °C under N2 atmosphere,null,glycopeptide enrichment in serum samples,null,"High hydrophilicity, abundant sulfonate groups, excellent enrichment selectivity, ultralow detection limit (0.01 fmol μL⁻¹), satisfactory recovery rate (89.1%), high adsorption capacity (150 mg g⁻¹), good reusability",pubmed_11900406,,,0.8953897029
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886643,,,0.7340061218
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858132,,,0.2575307698
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11813857,,,0.2830041125
NiO/N-rGO nanohybrids,Nickel (Ni),Nitrogen-doped reduced graphene oxide (N-rGO),Cubic,Fm-3m,null,null,null,Airbrushing of N-rGO and NiO nanoparticles onto electrodes,null,Stable under 70% RH conditions,NO2 gas sensing for environmental monitoring and IoT applications,null,"Enhanced sensitivity to NO2, low limit of detection (<1 ppb)",pubmed_11902665,,,0.0739691609
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11856669,,,0.6532398893
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11903802,,,0.9582023397
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902673,,,0.5841520007
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902022,,,0.4482078326
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11822169,,,0.3124181544
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901503,,,0.4689256074
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11897319,,,0.3110396145
ZIF-8,Zn,Imidazolate,null,null,null,null,null,null,null,Moderate stability in water,Oil/water separation,null,"Hydrophobicity, moderate stability in water, high chemical and thermal stability, functionalizable",pubmed_11886428,,,0.7178990257
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11885155,,,0.1575739491
ZIF-67,Co,Dimethylimidazole,null,null,null,null,null,null,null,Excellent chemical and thermal stability,Oil/water separation,null,"Hydrophobicity, catalytic capacity, excellent chemical and thermal stability, functionalizable",pubmed_11886428,,,0.5063602927
NH2-MIL-101(Fe),Fe,NH2-BDC,null,null,null,null,null,"Synthesized using NH2-BDC and FeCl3·6H2O in DMF, heated at 120°C for 20h",null,Stable under various pH conditions with reduced Fe ion release after CMC modification,"Agricultural applications, iron delivery to rice plants",null,"High specific surface area, hierarchical pore structure, amino groups enhance interactions, CMC modification reduces toxicity and improves iron absorption",pubmed_11901664,,,0.5879239219
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11858081,,,0.7566785139
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11884119,,,0.3236530174
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873912,,,0.6024317807
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11863366,,,0.0069659459
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901448,,,0.7616418023
example_1,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11858949,,,0.4649406727
CP1,Cu(II),"5-methyl-1-(pyridine-4-yl-methyl)-1H-1,2,3-triazole-4-carboxylate",monoclinic,C2/c,null,null,null,Slow diffusion method at the water/n-butanol interface,Decomposes above 50°C,Insoluble in protic and aprotic solvents,Hydrogen evolution reaction (HER) catalysis,null,"Superior HER kinetics, lower Tafel slope",pubmed_11855095,,,0.3492862985
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11830038,,,0.439086573
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11898610,,,0.5802051921
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11886659,,,0.6719376491
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11902779,,,0.2703278249
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11873794,,,0.4034801465
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11897175,,,0.7010282367
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11859843,,,0.7536087479
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11862094,,,0.2295701492
Co-3(HTQ)2,Co,HTQ (tricycloquinazadine),hexagonal,null,613,0.24,null,solvothermal synthesis,thermal stability up to 300°C,stable in acidic and basic conditions,"CO2 reduction, energy storage",pcu,"high conductivity, abundant active sites",pubmed_11886991,,,0.8071568736
mil-121,aluminum,"1,2,4,5-benzenetetracarboxylic acid (h4btec)",null,null,null,null,null,hydrothermal method,>=300 °C,stable under dehydration and calcination,electrolyte scaffold for quasi-solid-state ion conductor,null,lattice distortion upon ion substitution; improved dielectric properties,pubmed_11857909,,,0.6872199322
pb-l-mof,Pb(II),C6H4(CO2H)2,Monoclinic,P21/c,null,null,null,"Hydrothermal, Branch tube, Sonochemical",Crystalline: ~414°C; Amorphous: Lower,null,Photocatalytic degradation of methylene blue,bcu (speculative),High surface area and thermal stability,pubmed_11869037,,,0.2680520972
CC-1,Co/Cu,2-methyl imidazole,null,null,15.36,null,null,step-by-step hydrothermal synthesis,null,null,electrodes for supercapacitors,null,null,pubmed_11912221,,,0.2879339862
AgNPrs,Silver (Ag),None reported,Not specified,Not specified,null,null,null,Various synthesis methods including etching and functionalization,Depends on environment; prone to degradation in certain conditions,"Chemically robust but sensitive to halide ions, polyelectrolytes, or oxidizing agents","Biomedical sensing, environmental monitoring, food safety analysis",Not specified,"High surface area, tunable optical properties, etching effects",pubmed_11831252,,,0.8276339732
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11852938,,,0.5221675702
failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,pubmed_11877355,,,0.671608224
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11870740,,,0.0564923799
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11823592,,,0.2861597119
null,null,null,null,null,null,null,null,null,null,null,null,null,null,pubmed_11901637,,,0.4988438087
